槍彈者大師	Bullet Marker Master	불릿 마커 마스터
拿出解毒劑與材料	Give the Antidote and ingredients	해독제와 재료를 건넨다
分開吃也沒差	Say that you think it will be fine to eat seperately	따로 먹어도 괜찮을 것 같다고 한다
莎勒瑪的白日夢	Sarma's Vain Dreams	사르마의 헛된 꿈
要趕走莎勒瑪	Say that you will follow Sarma	사르마를 쫓아가겠다고 한다
不知道到底在幹嘛要放棄了	Say that you do not wish to pursue Sarma since you do not know what he'll do	무슨 짓을 할지 모르니 그만둔다고 한다
防止擴散	Preventing the spread of poison	확산 방지
會消滅怪物別擔心	Say that you will deal with the monsters	몬스터들을 처치할테니 걱정말라고 한다
就放著吧沒關係	Say that you think it'll be okay even if they are left alone	그냥 둬도 괜찮을 것이라고 한다
不會讓這種事再發生	Never again	다시는 이런 일이 없도록
全都要破壞掉	Say that you will destroy everything	전부 파괴하겠다고 한다
好像不是喔	Say that you think that is overreacting	그건 좀 아니라고 한다
拉伊瑪女神與三重城牆	Laima and Triple-Layered Wall	라이마와 삼중성벽
問在這裡幹嘛	What are you doing here?	이런 곳에서 뭘 하고 있는지 묻는다
搜查內城壁第8區域(1)	Investigate Inner Wall District 8 (1)	내성벽 제 8구역 수사(1)
有關三重城牆	About the Triple Layered Wall	삼중성벽에 대해
搜查內城壁第8區域(2)	Investigate Inner Wall District 8 (2)	내성벽 제 8구역 수사(2)
搜查內城壁第8區域(3)	Investigate Inner Wall District 8 (3)	내성벽 제 8구역 수사(3)
搜查內城壁第8區域(4)	Investigate Inner Wall District 8 (4)	내성벽 제 8구역 수사(4)
保管箱確認中	Checking the chest	보관함 확인 중
資材保管盒破壞中	Destroying the Material Storage Chest	자재 보관함 파괴 중
搜查內城壁第8區域(5)	Investigate Inner Wall District 8 (5)	내성벽 제 8구역 수사(5)
讀取中	Reading	읽는 중
搜查內城壁第8區域(6)	Investigate Inner Wall District 8 (6)	내성벽 제 8구역 수사(6)
搜查內城壁第8區域(7)	Investigate Inner Wall District 8 (7)	내성벽 제 8구역 수사(7)
搜查內城壁第8區域(8)	Investigate Inner Wall District 8 (8)	내성벽 제 8구역 수사(8)
搜查內城壁第8區域(9)	Investigate Inner Wall District 8 (9)	내성벽 제 8구역 수사(9)
內城壁第8區域的意義	The Meaning of Inner Wall District 8	내성벽 제 8구역의 의미
拿出線索筆記，訴說有關這段時間調查的故事。	Explaining your findings	단서메모를 보여주며 조사해 온 것들에 대해 이야기하는 중
保管內城壁相關證據	Preserve the Evidence of the Inner Wall	내성벽의 증거 보존
調查內城壁第9區域(1)	Inspect Inner Wall District 9 (1)	내성벽 제 9구역 조사(1)
正在說跟奎波爾約雷一起推理的內容	Explaining Kupole Jore's deduction	큐폴 요레와 추리한 사실을 이야기하는 중
調查內城壁第9區域(2)	Inspect Inner Wall District 9 (2)	내성벽 제 9구역 조사(2)
調查內城壁第9區域(3)	Inspect Inner Wall District 9 (3)	내성벽 제 9구역 조사(3)
調查內城壁第9區域(4)	Inspect Inner Wall District 9 (4)	내성벽 제 9구역 조사(4)
調查內城壁第9區域(5)	Inspect Inner Wall District 9 (5)	내성벽 제 9구역 조사(5)
調查內城壁第9區域(6)	Inspect Inner Wall District 9 (6)	내성벽 제 9구역 조사(6)
調查內城壁第9區域(7)	Inspect Inner Wall District 9 (7)	내성벽 제 9구역 조사(7)
調查內城壁第9區域(8)	Inspect Inner Wall District 9 (8)	내성벽 제 9구역 조사(8)
火焰放射魔法石啟動中	Igniting Flamethrowing Magic Stone	화염 방사 마법석 시동 중
火焰放射魔法石重新啟動中	Re-igniting Flamethrowing Magic Stone	화염 방사 마법석 재시동 중
火焰放射魔法石運轉中	Operating Flamethrowing Magic Stone	화염 방사 마법석 작동 중
從火焰放射魔法石噴發出強烈的火焰。	The flame erupts from the Flamethrowing Magic Stone	화염 방사 마법석에서 강렬한 불길이 솟아오릅니다
調查內城壁第9區域(9)	Inspect Inner Wall District 9 (9)	내성벽 제 9구역 조사(9)
到兵營去找找線索吧！	Go to the Barrack for clues	병영으로 가서 단서를 찾아보세요
調查內城壁第9區域(10)	Inspect Inner Wall District 9 (10)	내성벽 제 9구역 조사(10)
秘密保管箱確認中	Checking the Secret Storage Chest	비밀 보관함 확인 중
對秘密保管箱使用透明魔法咒語吧。	Use the Scroll of Projection on the Secret Storage Chest	비밀 보관함에 투영의 마법 주문서를 사용하세요
秘密保管箱 開啟中	Opening the Secret Storage Chest	비밀 보관함 여는 중
掏出線索筆記本	Show the clue note	단서 노트를 보여준다
外城壁核心回收計畫(2)	Operation Outer Wall Core Retrieval (2)	외성벽 코어 회수 작전(2)
外城壁核心回收計畫(3)	Operation Outer Wall Core Retrieval (3)	외성벽 코어 회수 작전(3)
防禦壁管理機確認中	Checking the Defensive Wall Maintainer	방어벽 관리기 확인 중
外城壁核心回收計畫(4)	Operation Outer Wall Core Retrieval (4)	외성벽 코어 회수 작전(4)
外城壁核心回收計畫(5)	Operation Outer Wall Core Retrieval (5)	외성벽 코어 회수 작전(5)
紅色啟動魔石使用中	Using the Red Ignition Magic Stone	붉은 시동 마석 사용 중
外城壁核心回收計畫(6)	Operation Outer Wall Core Retrieval (6)	외성벽 코어 회수 작전(6)
第2核心保護裝置確認中	Checking the Secondary Core Protection Device	제 2차 코어 보호장치 확인 중
第2核心保護裝置解除中	Disarming the Secondary Core Protection Device	제 2차 코어 보호장치 해제 중
外城壁核心回收計畫(7)	Operation Outer Wall Core Retrieval (7)	외성벽 코어 회수 작전(7)
第3核心保護裝置確認中	Checking the Tertiary Core Protection Device	제 3차 코어 보호장치 확인 중
第3核心保護裝置解除中	Disarming the Tertiary Core Protection Device	제 3차 코어 방어장치 해제 중
外城壁核心回收計畫(8)	Operation Outter Wall Core Retrieval (8)	외성벽 코어 회수 작전(8)
外城壁核心確認中	Checking the Outer Wall Core	외성벽 코어 확인 중
外城壁核心回收中	Retrieving the Outer Wall Core	외성벽 코어 회수 중
三重城牆事件(1)	Incident on Triple-Layerd Castle Wall (1)	삼중성벽에 있던 일(1)
三重城牆事件(2)	Incident on Triple-Layerd Castle Wall (2)	삼중성벽에 있던 일(2)
談論有關外城壁核心中	Talking about the Outer Wall Core	외성벽 코어에 대해 이야기 중
補給兵最後一項任務(1)	The Supply Soldier's Last Mission (1)	보급병의 마지막 임무(1)
補給兵最後一項任務(2)	The Supply Soldier's Last Mission (2)	보급병의 마지막 임무(2)
那樣就該滿足了吧	Can't you just be content with that?	그 정도로 만족하라고 한다
城壁士兵心中的留戀(1)	Castle Wall Soldier's Unfinished Business (1)	성벽 병사의 미련(1)
城壁士兵心中的留戀(2)	Castle Wall Soldier's Unfinished Business (2)	성벽 병사의 미련(2)
城壁士兵心中的留戀(3)	Castle Wall Soldier's Unfinished Business (3)	성벽 병사의 미련(3)
放下遺物中	Laying the keepsakes down	유품 내려놓는 중
正在將晶球放於祭壇	Putting the orb on the altar	제단에 구슬 놓는 중
受歡迎的人(1)	Welcomed One (1)	환영받는 자(1)
受歡迎的人(2)	Welcomed One (2)	환영받는 자(2)
詢問是否能接受	Can I take some food?	받아도 되는지 물어본다
受歡迎的人(3)	Welcomed One (3)	환영받는 자(3)
戰鬥準備(1)	Preparing for Battle (1)	전투 준비(1)
戰鬥準備(2)	Preparing for Battle (2)	전투 준비(2)
戰鬥準備(3)	Preparing for Battle (3)	전투 준비(3)
戰鬥準備(4)	Preparing for Battle (4)	전투 준비(4)
我會等到作業完成	I'll wait until the job is finished	작업을 마칠 때까지 기다리겠다고 한다
戰鬥準備(5)	Preparing for Battle (5)	전투 준비(5)
一起去設置吧	Let's set it up together	같이 설치하러 가자고 한다
決戰	The Battle	결전
作足對戰魔族的準備	I'm ready to fight the demons	마족을 상대할 준비를 한다
還沒準備好	I'm not ready yet	아직 준비가 안됐다고 한다
聯絡	Contact	연락
殘存的魔族勢力	Remaining Demon Forces	잔존하는 마족 세력
要消滅談魔族殘黨	I'll defeat the demon remnants	마족 잔당을 차치하겠다고 한다
可以信任的人	Trustworthy	신뢰 할 수 있는 자
作業失誤(1)	Setbacks (1)	업무 차질(1)
作業失誤(3)	Setbacks (3)	업무 차질(3)
作業失誤(4)	Setbacks (4)	업무 차질(4)
法師突爾利斯的礦石調查(1)	Wizard Tulis' Ore Research (1)	위저드 튤리스의 광석 조사(1)
問問看在做什麼	What are you doing?	무슨 일을 하고 있는지 물어본다
法師突爾利斯的礦石調查(2)	Wizard Tulis' Ore Research (2)	위저드 튤리스의 광석 조사(2)
問問該幫什麼忙	I'll help you out	무슨 일을 도와줘야 하는지 묻는다
法師突爾利斯的礦石調查(3)	Wizard Tulis' Ore Research (3)	위저드 튤리스의 광석 조사(3)
問問是否有方法	Is there a way?	방법은 있는지 묻는다
淨化劑	Purification Agent	정화제
從雕像中流出的奇怪氣息	Strange Energy Emanating from the Statue	조각상에서 나오는 수상한 기운
村莊的詛咒(1)	Village Curse (1)	마을에 걸린 저주(1)
村莊的詛咒(2)	Village Curse (2)	마을에 걸린 저주(2)
村莊的詛咒(3)	Village Curse (3)	마을에 걸린 저주(3)
村莊的詛咒(4)	Village Curse (4)	마을에 걸린 저주(4)
村莊的詛咒(5)	Village Curse (5)	마을에 걸린 저주(5)
村莊的詛咒(6)	Village Curse (6)	마을에 걸린 저주(6)
村莊的詛咒(7)	Village Curse (7)	마을에 걸린 저주(7)
村莊的詛咒(8)	Village Curse (8)	마을에 걸린 저주(8)
疫病治療劑	Medicine	역병 치료제
村莊居民的不安	Anxiety in the Village	마을 주민의 불안함
被詛咒的雕像們(1)	Cursed Statues (1)	저주 받은 조각상들(1)
被詛咒的雕像們(2)	Cursed Statues (2)	저주 받은 조각상들(2)
被詛咒的雕像們(3)	Cursed Statues (3)	저주 받은 조각상들(3)
被詛咒的雕像們(4)	Cursed Statues (4)	저주 받은 조각상들(4)
被詛咒的雕像們(5)	Cursed Statues (5)	저주 받은 조각상들(5)
卡杜梅爾絕壁的祭壇(1)	The Altars of Kadumel Cliff (1)	카듀멜 절벽의 제단들(1)
卡杜梅爾絕壁的祭壇(2)	The Altars of Kadumel Cliff (2)	카듀멜 절벽의 제단들(2)
後退(1)	Retreat (1)	후퇴(1)
後退(2)	Retreat (2)	후퇴(2)
後退(3)	Retreat (3)	후퇴(3)
後退(4)	Retreat (4)	후퇴(4)
後退(5)	Retreat (5)	후퇴(5)
後退(6)	Retreat (6)	후퇴(6)
破壞魔族的裝置(1)	Destroy the Demons' Device (1)	마족의 장치 파괴(1)
破壞魔族的裝置(2)	Destroy the Demons' Device (2)	마족의 장치 파괴(2)
回到過去(1)	Back in time(1)	시간을 거슬러(1)
回到過去(2)	Back in time(2)	시간을 거슬러(2)
回到過去(3)	Back in time(3)	시간을 거슬러(3)
回到過去(4)	Back in time(4)	시간을 거슬러(4)
回到過去(5)	Back in time(5)	시간을 거슬러(5)
回到過去(6)	Back in time(6)	시간을 거슬러(6)
回到過去(7)	Back in time(7)	시간을 거슬러(7)
萬花筒製作中	Controlling the Kaleidoscope of Time	만화경 조작 중
快速移動(1)	Swift Movement(1)	빠른 이동(1)
收集	Collect	수집한다
不需要	It is useless	필요 없다
魔力供應中	Providing Magic	마력을 공급하는 중
迪比利斯制馭所的魔力源已啟動	The Devries Controller Spell Source has been activated	디브리스 제어소 마력원이 활성화 되었습니다
快速移動(2)	Swift Movement(2)	빠른 이동(2)
中斷	Stop	중단한다
中央研究室 魔力源已成功啟動	The Central Laboratory's Magic Source has been activated	중앙연구실 마력원이 활성화 되었습니다
快速移動(3)	Swift Movement(3)	빠른 이동(3)
已經啟動研究者聚會所的魔力源了。	The Researcher Auditorium's Magic Source has been activated	연구자 공회당 마력원이 활성화 되었습니다
收集莎爾比亞斯森林的魔力	Collect the Magic in Salvia Forest	살비야스 숲의 마력 수집
千里眼	Eyes That See Far	멀리 보는 눈
收集鐘乳洞的魔力	Collect Cave Magic	종유동의 마력 수집
老舊的工具	Old Tool	오래된 도구
某人的善意	Someone's Good Will	누군가의 선의
史巴賓嘉斯森林的不幸	Svalphinghas Forest in Trouble	스팔빈가스 숲의 불행
濃縮魔力的角	Magic Horn	마력이 농축된 뿔
這次一定要	This Time For Sure	이번에야 말로
地下生態界	Underground Ecosystem	지하 생태계
預知眼	Seeing For The First Time	먼저 보는 눈
代為觀測	Surrogate Observer	대리 관측
在皮斯堤斯森林	At Pystis Forest	피스티스 숲에서
箱子的秘密	Secret of the Chest	상자의 비밀
追憶同伴	Honoring Allies	동료들을 기리며
沒根據的處方簽	A wild prescription	근거없는 처방
要收集提尼的發光的角	Say that you will gather the Shining Horns from the Tinis	티니의 빛나는 뿔을 모아주겠다고 한다
有急事所以拒絕	Say that you have something better to do	급한 일이 있다며 거절한다
小心別受傷	Beware of small wounds	작은 상처에도 주의
詢問該怎麼幫忙	Ask how you can help	어떻게 도우면 될지 묻는다
先確保安全最重要	Say that you think remaining calm would be better	일단 안정을 취하는 게 좋겠다고 한다
老弱者優先(1)	Being Considerate to Elders(1)	노약자 배려(1)
路上事情還很多只能拒絕	Decline since you are busy and go on your way	갈 길이 바쁘니 거절한다
老弱者優先(2)	Being Considerate to Elders(2)	노약자 배려(2)
再找找其他適合的方法	Say that you will find something suitable	적절한 것을 찾아보겠다고 한다
我沒時間能幫忙你	Say that you do not have enough time to help	거기까지 도와줄 시간은 없다고 한다
老弱者優先(3)	Being Considerate to Elders(3)	노약자 배려(3)
爽快答應	Happily agree	흔쾌히 수락한다
有急事先走啦	Say that you have more important things to do	급하니 먼저 가보겠다고 한다
準備營養食品	Prepare a solid meal	영양식 준비하기
詢問要找甚麼肉製品過來呢	Ask what type of meat you should gather	어떤 고기를 구해오면 좋을지 묻는다
這裡沒辦法烤肉只好拒絕	Say that there is no way to get meat here	여기서 고기를 구할 방법은 없다며 거절한다
有乾淨飲用水的地方	Where there is clean water	깨끗한 물이 있는 곳
好像很累人所以拒絕	Decline since it is hard work	힘든 일 같으니 거절한다고 말한다
先取暖吧好冷喔	Find a way to stay warm first	추위부터 해결하자
詢問木材在哪	Ask where the tree is	나무가 어디 있는지 묻는다
去附近找找看有沒有樹枝來生火	Light a fire with some twigs and branches	근처 잔가지라도 모아 불을 피우라고 한다
離開的人和留下的人	Those that leave and those that stay	떠나는 자와 남는 자
回去路上的安全	The safety of the way back	돌아가는 길의 안전
得先走囉	Say that you think you have to go	이만 가봐야 할 것 같다고 한다
藏有許多悲痛的記憶	Cold and pain	아픔과 함께 온 추위
會去取得皮革過來	Say that you will get the hides	가죽을 구해다 주겠다고 한다
沒辦法幫你	Say that there is no way to help	도울 방법이 없다고 한다
痛我可以忍但是肌餓就無法	Nothing worse than hunger	아픈 건 참아도 배고픈 건
幫我找點吃的好嗎	Say that you'll find something for him to eat	무언가 먹을 것을 구해주겠다고 한다
身上甚麼都沒有	Say that you don't have anything	가진 것이 아무것도 없다고 한다
身體很痛但事先去安全的地方吧	Pain can wait	아프더라도 안전한 곳에서
回答說知道了	Say that you understand	알았다고 대답한다
自己也很怕怪物所以拒絕了	Say that you are afraid of monsters as well	자신도 몬스터가 두렵다며 거절한다
新手運啦！	It is the blessing of the Divine Tree	신수의 은총입니다
剛好見到了生病的朝聖者	Say that you have seem plagued Pilgrims	마침 병에 걸린 순례자들을 봤다고 한다
有其他事情	Say that you have better things to do	다른 일이 있다고 한다
公布藥的真正內容物	Reveal the medicine's identity	약의 정체 밝히기
從旁觀察看不出有甚麼問題	Say that there doesn't seem to be anything wrong	옆에서 보기엔 아무런 문제가 없어보였다고 한다
越來越可疑	Mounting Suspicions	쌓여가는 의심
露出馬腳(1)	Showing True Colors(1)	마각이 드러나다(1)
當然會那樣做	Say that you will do that	물론 그러겠다고 한다
不想干涉教團內部的事情	Say that you do not wish to interfere with the Order's business	교단 내부의 일에 간섭하고 싶지 않다고 한다
露出馬腳(2)	Showing True Colors(2)	마각이 드러나다(2)
向上層警告	Warning to the Upper Echelon	상층부에 경고를
會充分收集	Say that you will gather enough	넉넉히 모아다 주겠다고 한다
似乎很簡單自己解決吧	Say that they should do it since it is a simple task	간단한 듯 하니 직접 하라고 한다
時間還是不夠	There is still not enough time	아직 시간이 부족해
會自己來解決	Say that you will solve the problem	자신이 대신 해결해주겠다고 한다
很不好意思得先離開了	Say that you do not have time for this	미안하지만 가봐야한다고 한다
憂鬱的殺人犯	Falsely Accused Murderer	억울한 살인범
別退縮快去詢問事情的來龍去脈	Ask about what is happening	물러서지 말고 자초지종을 묻는다
盡量避開這些令人頭痛的事情	Back off and stay out of trouble	골치아픈 일에 엮이지 않도록 물러선다
化解疑心	Lifting Suspicions	의심 풀어주기
是無辜的話就會將事實全盤抖出	Say that you will prove his innocence	그가 결백하다면 진실을 밝히겠다고 한다
會尊重朝聖者們的判斷	Say that you respect the judgement of the Pilgrims	순례자들의 판단을 존중하겠다고 한다
梅伊班修道院的聖珠	Maven Abbey Rosary	메이번 수도원의 묵주
應該有甚麼物品可以證明的	Say that there must be something to prove	뭔가 증명할 것이 있을 것이라고 한다
怎麼想都想不通那樣的東西到底是否存在	Say that you don't know if there is anything that can help	그런게 있을지 자신은 짐작도 안간다고 한다
那不是我的	Not mine	제 것이 아닙니다
用持有物來證明	Prove by using his belongings	소지품으로 증명하기
詢問方法	Ask how you can do so	그 방법을 묻는다
這方法好像太複雜了不需要	Decline since you think it will be complicated	복잡한 방법일 것 같으니 피한다
聖水的確認方法	Checking with Divine Water	성수의 확인 방법
要馬上測試看看	Say that you will test it at once	바로 시험해 보겠다고 한다
詢問能不能先潑灑看看	Ask whether you can't simply spray it first	일단 뿌려보면 안되겠냐고 묻는다
犯人就是魔族嗎？	Are the demons the real culprits?	범인은 마족인가?
那時他的所作所為	What he did then	그때 그가 한 일
垃圾都還有用多了	Even trash has it's uses	쓰레기도 쓸모가 있다
他要自己去找	Say that you will retrieve them	자신이 그것들을 찾아오겠다고 한다
看到骯髒的東西就想吐	Say that you hate dirty things	지저분한 것은 질색이라고 한다
解開誤會	Resolving conflicts	오해가 풀리다
引誘犯人	Luring the culprit	범인 유도하기
沒那種實力	Say that you are not up to the task	그 정도 실력은 되지 않는다고 한다
出現的真正的犯人	The true culprit	나타난 진범
朝聖中斷	Stopping the Pilgrimage	순례 중단
開鑿回去的路	Opening the road back	돌아갈 길 뚫기
請告知那是甚麼	Ask them what it is about	무엇인지 말해 달라고 한다
太艱困的路程必須拒絕	Say that you dislike hard work	힘든 일은 사절한다고 말한다
準備旅行用物資	Gathering goods for the journey	여행 물자 비축
雷普斯兔子的話不算甚麼	Say that Lepusbunnies are nothing to fear	레푸스버니 정도는 별 것 아니라고 한다
害怕那些不簡單的傢伙們	Say that you don't want to help since they are tough	만만치 않은 녀석들이라며 꺼린다
魔族就該從世上消失	Demons must disappear	마족은 사라져야 합니다
要好好消滅魔族	Say that you will deal with the Demons	마족들을 처리하겠다고 한다
最後的希望	The Last Hope	마지막 희망
我就是啟示者	Say that you are a Revelator	자신이 바로 계시자임을 밝힌다
為了找回昔日的修道院	Retaking the Abbey	수도원을 되찾기 위해
借用老舊的道具	Borrowing Old Equipment	오래된 도구 빌리기
詢問是不是感覺有問題	Ask if she isn't mistaken	잘못 느낀게 아닌지 되묻는다
道具使用事前準備	Preparation for using the equipment	도구를 사용하기 위한 준비
詢問補充力氣的方法	Ask if there is a way to charge the power	힘을 충전할 방법을 묻는다
就幫你到這裡了	Say that this is as far as you will help	자신의 도움은 여기까지라고 한다
前往朝聖者營地	To the Pilgrim Camp	순례자 캠프로
來建立更具體的計畫吧	Say that you should have more detailed plans	보다 구체적인 계획을 세워놓자고 한다
黑色水晶的真面目	The Black Crystal's identity	검은 수정의 정체
稍微等一下	Tell her to wait here a while	잠시 기다리고 있으라고 한다
直接去跟他搭話吧	Say that she should do the talking herself	얘기 정도는 직접 걸어보라고 한다
毀謗傳道	Interferance	전도 훼방놓기
詢問是否需要甚麼方法	Ask if there is another way	뭔가 방법이 필요한지 묻는다
教團所建立的物品總覺得好像有點粗糙	Say that you do not wish to do so because it is from the Order	교단이 세운 물건이라 왠지 껄끄럽다고 한다
無法原諒魔族	Demons cannot be forgiven	마족은 용서할 수 없다
抑制神聖力的主體	What Suppresses the Divine Power	신성력을 억누르는 주체
詢問該去哪裡	Ask where you need to go	어디로 가면 되는지 묻는다
拒絕不重要的事	Decline the small tasks	자질구레한 일은 거절한다
解放神聖力	Releasing the Divine Power	신성력 해방시키기
詢問破壞裝置的方法	Ask if there is a way to destroy the Device	장치를 파괴할 방법을 묻는다
看起來不像碎掉的樣子	Say that it does not look destructable	부서질 것처럼 보이지 않았다고 한다
走錯路了	Those that take the wrong path	잘못된 길로 들어선 자
不確定是不是真的在那裏	Say that it is suspicious if it will be there	확실히 그곳에 있을지 미심쩍다고 한다
果然是受了修道士史黛拉的委託沒錯	Say that you are also helping Monk Stella	자신 역시 수도사 스텔라의 부탁을 받았다고 한다
教團的秘密設計	The Order's Scheme	교단의 꿍꿍이
沒辦法只好一起去了	Say that it cannot be helped	어쩔 수 없으니 같이 가자고 한다
無法相信這些教團的人所以拒絕了	Decline stating that you cannot trust those from the Order	교단 사람은 믿을 수 없다며 거절한다
第二次破壞裝置	Destroy the Second Device	두 번째 장치 파괴하기
使喚馬達斯就好了	Tell them to call Mattas to help	마타스를 불러 시키라고 한다
準備可能發生的危險	To prepare for the unknown	혹시 모를 위험에 대비해서
覺得可疑不過還是先幫忙	Help despite having a nagging feeling	뭔가 이상하지만 일단 돕는다
有不詳的預感所以拒絕	Say that you have a bad feeling about this and decline	안좋은 예감이 든다며 거절한다
這不詳的預感不會錯的	Bad Feelings Are Never Wrong	안좋은 예감은 빗나가지 않는다
教團幹部護送計畫	Escorting a high officer of the Order	교단 간부 호송작전
要先將監視對象帶走	Say that you will go to a person that can watch over the high officer	우선 감시할 사람에게 데려가겠다고 한다
無法相信你所說的化	Say that you cannot beleive what they are saying	당신의 말을 믿을 수 없다고 한다
救出被抓走的史黛拉	Rescuing The Captured Stella	붙잡힌 스텔라 구하기
因為事人質目前為止都是安全的	Say that it won't be a problem because she's a hostage	인질이니 별 일은 없을 거라고 한다
監禁囚犯	Restraining the Criminal	죄인 구금
去尋找碎片再過來	Say that you will retrieve the Fragments	파편들을 찾아 오겠다고 한다
碎片應該剩不多了	Say that you do not think the Fragments will be in usable shape	파편들이 제대로 남았을 것 같지 않다고 한다
亡者的遺志	The Wishes of the Deceased	죽은 자의 유지
發事要消滅這裡的魔族	Swear that you will deal with the Demons in the surrounding area	이 근방의 마족을 처치할 것을 맹세한다
只是累了	Keep on going	그냥 지나친다
整理家門口	Clearing up	집 앞 정리
拜託趕快跟上來吧	Ask them to follow you as soon as possible	바로 뒤따라와 주길 부탁한다
說要一起去卻又不動	Argue that you should move together and don't move	같이 가자며 움직이지 않는다
敵方也在準備了	The enemy is also preparing	적도 대비하고 있다
先親眼確認	See for yourself	우선 눈으로 확인하기
當然會那樣說	Say that you will do that	물론 그렇게 한다고 말한다
不想再進去	Say that you do not wish to go any further	더 이상 깊이 들어가기 싫다고 한다
知識的寶庫	Treasure Trove of Knowledge	지식의 보고
趕快進去書庫	Say that you will hurry to the library	서둘러 서고로 가자고 한다
沒辦法一個人找書嗎	Ask if she can't look for the book on her own	책 찾는 일은 혼자 할 수 없겠냐고 한다
閱讀時間	Reading Time	책 읽을 시간
麻煩趕快找	Ask that she hurry	어서 찾아볼 것을 부탁한다
詢問能否躲在別地方閱讀	Ask if she can't hide somewhere while she reads	다른 곳에 숨어서 읽으면 안될지 묻는다
各自的角色	To each his own	각자의 역할
並不困難	Say that it isn't too difficult	어렵지 않다고 한다
要不要一起去呢	Say that going together really seems like the better idea	역시 같이 가는 것이 어떻겠냐고 한다
收集神聖力	Gathering Divine Power	신성력 모으기
怪物就交給我吧	Say that you'll handle the monsters	몬스터는 자신에게 맡기라고 한다
神聖力能把怪物給驅趕走嗎	Ask if the Divine Power won't defeat the monsters	신성력이 몬스터를 물리지 않겠냐고 한다
壓制最後的幹部	Taking Down The Last Executive	마지막 간부 제압
去做個了結	Say that you it's time to finish this	마무리를 지으러 가자고 한다
慢慢復原	Slow Recovery	회복은 천천히
取得沒有腐爛掉的東西	Say that you'll try to find things that aren't spoiled	상하지 않은 것으로 찾아보겠다고 한다
對於有沒有能吃的食物感到懷疑	Say that you are doubtful if there will be anything worthy of consumption	먹을만한게 남아있을지 의문을 표한다
預防這種情況發生	For Times Like These	이럴 때를 대비해서
會趕快帶來	Say that you will hurry and bring the needed goods	서둘러 가져 오겠다고 한다
先觀察看看再行動	Say that you think you should monitor the situation a while	일단 상태를 지켜보자고 한다
敵方還有殘存勢力	The Enemies That Remain	아직 적들이 남아있다
會趕快做個了斷	Say that you'll finish the job	깔끔하게 마무리 짓겠다고 한다
不瞭解自己的靈魂	The Amnesiac Soul	자신을 모르는 영혼
自我覺醒	Find Out Yourself	스스로를 자각하기
從束縛中解脫	Unchained	속박에서 풀려나다
設置慰靈碑	Set up a memorial monument	위령비 세워주기
正在訴說有關夏亞汀的事情	Passing the words of Hayatin	하야틴의 이야기를 전하는 중
詢問該做些甚麼	What needs to be done?	무엇을 해결해야 되는지 묻는다
戰死者的靈魂	The Souls of the Fallens	전사자들의 영혼
公開遺物內容	Dig up the relics	유물 파헤치기
詢問在蕨葉堆尋找的方法	How do I check the bracken pile?	고사리 더미 속을 확인할 방법을 묻는다
有關你發生的事情	About what happpened	당시의 사연에 대해
鑰匙的蹤跡	The Whereabouts of the Key	열쇠의 행방
清白的證明(1)	Proof of Innocence (1)	결백의 증거(1)
詢問鎖定正確位置的方法	How can I know the exact location?	정확한 위치를 알 방법을 묻는다
清白的證明(2)	Proof of Innocence (2)	결백의 증거(2)
交出文件說明中	Explaining the document	문서를 보여주며 이야기 하는 중
為了恢復英雄的名聲	To Restore the Honor of the Hero	영웅의 명예 회복을 위해
劍士的安息	The Rest for Warriors	전사들의 안식
被破壞的平衡	Broken Balance	무너진 균형
問問該幫忙些甚麼	What can I do to help?	무엇을 도와주면 좋을지 묻는다
生態調查	Examine the ecosystem	생태 조사
揠苗助長	Stomp on the Sprouts	싹부터 밟기
詢問該幫忙哪些事情	How can I help you?	어떤 일을 도우면 되는지 묻는다
把摩格蘭強化怎麼樣	How about we enhance the moglan?	모글란을 강화시키면 어떨지 제안한다
能幫你甚麼	What can I do for you?	도와 줄 일이 무엇인지 묻는다
敵方互相利用的方法	An Enemy of Your Enemy Is Your Friend	적의 적을 이용하는 방법
所有事物的淵源	The Cause of All This	모든 것의 원인
詢問最後的方法	What is the final thing to do?	마지막 방법을 묻는다
效果驚人(1)	Effect Too Strong (1)	효과가 지나쳤다(1)
效果驚人(2)	Effect Too Strong (2)	효과가 지나쳤다(2)
食物鏈般的關係	Dog Eat Dog	먹고 먹히는 관계
使用有效手段	Use the Sure Method	확실한 수단 사용
長遠的對策	A Long-Term Plan	보다 장기적인 대책
總算度過危機了	Close Shave	우선 위기는 넘겼다
遠古的遺產	The Relics of the Ancient	먼 옛날의 유산들
詢問該幫忙哪些事情	What needs to be done?	어떤 것을 도와주면 되는지 묻는다
有關她的任務	About her mission	그녀의 임무에 대해
被奪走的羊皮紙	Stolen Parchment	빼앗긴 양피지
策劃騙術	Prepare to Trick	속임수를 위한 준비
詢問收集樹根汁液的方法	How do I extract the juice from tree root?	나무뿌리 즙을 수집할 방법을 묻는다
為了安全進行調查	To Make the Investigation Safe	안전한 조사활동을 위해
羊皮紙愛好者	Parchment Enthusiast	양피지 애호가
正在告訴大家消滅廢都石化蜥蜴的事情	Telling the story of how Fallen City Vasilisk has fallen	폐도 바실리스크를 처치한 이야기를 하는 중
不要玷汙遺物	Do Not Sully The Keepsakes	유품은 더럽히지 말라
最後任務的痕跡	The trace of the final mission	마지막 임무의 흔적
