無_helmet	Empty_helmet	없음_helmet
手鐲	Lord Hamondale's Bracelet	영주 헤먼데일의 브레이슬릿
手鐲	Bracelet	팔찌
騎士團長烏斯卡的手鐲	Knight Commander Uska's Bangle	기사단장 우스카의 뱅글
領主費蒙德爾的手鐲(30天)	Lord Hamondale's Bracelet (30-Days)	영주 헤먼데일의 브레이슬릿(30일)
騎士團長烏斯卡的手鐲(30天)	Knight Commander Uska's Bangle (30-Days)	기사단장 우스카의 뱅글(30일)
健身手鐲(3天)	Health Band (3 Days)	헬스 밴드(3일)
[活動]手環	[EVENT] Bracelet	[이벤트]팔찌
靈媒手鐲(3天)	Psychic Band (3 Days)	사이킥 밴드(3일)
上級健身手鐲(15天)	Superior Health Band (15 Days)	슈페리어 헬스 밴드(15일)
上級靈媒手鐲 (15天)	Superior Psychic Band (15 Days)	슈페리어 사이킥 밴드 (15일)
鬥爭的手鐲 (7天)	Combat Bracelet (7 Days)	투쟁의 팔찌 (7일)
守護的手鐲 (7天)	Guardian Bracelet (7 Days)	수호의 팔찌 (7일)
共鳴的手鐲 (7天)	Resonating Bracelet (7 Days)	공명의 팔찌 (7일)
上級健身手鐲(7天)	Superior Health Band (7 Days)	슈페리어 헬스 밴드(7일)
上級靈媒手鐲(7天)	Superior Psychic Band (7 Days)	슈페리어 사이킥 밴드 (7일)
白色情人節手環(3天)	Sugar Bracelet(3 Days)	화이트데이 팔찌(3일)
白色情人節腕飾(3天)	Sugar Band(3 Days)	화이트데이 밴드(3일)
上級神靈臂環 (7天)	Superior Spirit Band (7 Days)	슈페리어 스피릿 밴드 (7일)
上級聖徒 臂環(7天)	Superior Saint Band (7 Days)	슈페리어 세인트 밴드(7일)
上級簡約臂環(7天)	Superior Solid Band (7 Days)	슈페리어 솔리드 밴드(7일)
上級史詩臂環(7天)	Superior Epica Band (7 Days)	슈페리어 에피카 밴드(7일)
上級疾速臂環(7天)	Superior Swift Band (7 Days)	슈페리어 스위프트 밴드(7일)
上級神靈臂環 (15天)	Superior Spirit Band (15 Days)	슈페리어 스피릿 밴드 (15일)
上級聖徒 臂環(15天)	Superior Saint Band (15 Days)	슈페리어 세인트 밴드(15일)
上級簡約臂環(15天)	Superior Solid Band (15 Days)	슈페리어 솔리드 밴드(15일)
上級史詩臂環(15天)	Superior Epica Band (15 Days)	슈페리어 에피카 밴드(15일)
上級疾速臂環(15天)	Superior Swift Band (15 Days)	슈페리어 스위프트 밴드(15일)
仿造品_Neck	Forgery_Neck	모조품_Neck
凹槽手鐲	Grooved Bangle	홈 파인 뱅글
皮革手鐲	Leather Bangle	레더 뱅글
輕巧羅奈沙手鐲	Light Ronesa's Bangle	라이트 로네사 뱅글
上級羅奈沙手鐲	Superior Ronesa's Bangle	슈페리어 로네사 뱅글
羅奈沙環形手鐲	Ronesa's Ring Bracelet	로네사 링 브레이슬릿
羅奈沙貴族手鐲	Ronesa's Noble Bracelet	로네사 노블 브레이슬릿
生鐵手鐲	Iron Bangle	아이언 뱅글
健康上級手鐲	Superior Bangle of Health	헬스 슈페리어 뱅글
魔氣上級手鐲	Superior Magical Bangle	마기 슈페리어 뱅글
精確上級手鐲	Superior Bangle of Accuracy	어큐러시 슈페리어 뱅글
輕巧上級手鐲	Light Superior Bangle	라이트 슈페리어 뱅글
輕巧生鐵手鐲	Light Iron Bangle	라이트 아이언 뱅글
羅奈沙柯拉佩達手鐲	Ronesa's Klaipeda Bracelet	로네사 클라페다 브레이슬릿
木頭手鐲	Wooden Bangle	우든 뱅글
布貝手鐲	Vubbe Bangle	부베 뱅글
上級手鐲	Superior Bangle	슈페리어 뱅글
環形手鐲	Ring Bracelet	링 브레이슬릿
貴族手鐲	Noble Bracelet	노블 브레이슬릿
佛萊斯特手鐲	Forest Bangle	포레스트 뱅글
洛卡斯手鐲	Rokas Bracelet	로카스 브레이슬릿
柯拉佩達手鐲	Klaipeda Bracelet	클라페다 브레이슬릿
石刻手鐲	Stone Bracelet	스톤 브레이슬릿
銀色手鐲	Silver Bracelet	실버 브레이슬릿
珍珠手鐲	Pearl Bracelet	펄 브레이슬릿
上級珍珠手鐲	Superior Pearl Bracelet	슈페리어 펄 브레이슬릿
符文手鐲	Rune Bracelet	룬 브레이슬릿
上級符文手鐲	Superior Rune Bracelet	슈페리어 룬 브레이슬릿
星星手鐲	Star Bracelet	스타 브레이슬릿
上級星光手鐲	Superior Star Bracelet	슈페리어 스타 브레이슬릿
寶石手鐲	Gem Bracelet	젬 브레이슬릿
上級寶石手鐲	Superior Gem Bracelet	슈페리어 젬 브레이슬릿
壞掉的抗魔手鐲	Broken Anti-Dark Property Bracelet	망가진 안티 다크 브레이슬릿
壞掉的防寒手鐲	Broken Anti-Cold Property Bracelet	망가진 안티 콜드 브레이슬릿
壞掉的坎特拉比手鐲	Broken Kantravi Bracelet	망가진 칸트라비 브레이슬릿
壞掉的泰芙蕾手鐲	Broken Tablet Bracelet	망가진 타블렛 브레이슬릿
水晶手鐲	Crystal Bangle	크리스탈 뱅글
夏因手鐲	Shine Bracelet	샤인 브레이슬릿
戰鬥手鐲	Battle Bracelet	배틀 브레이슬릿
毒藥手鐲	Poison Bangle	포이즌 뱅글
花草手鐲	Plants Bracelet	플랜츠 브레이슬릿
控制手鐲	Control Bangle	컨트롤 뱅글
獵人手鐲	Hunter Bangle	헌터 뱅글
弓手護腕	Bracer of Archer	브레이서 오브 아처
法師手鐲	Wizard Bracelet	위저드 브레이슬릿
急速手鐲	Rapid Bangle	래피드 뱅글
玻璃手鐲	Glass Bracelet	글래스 브레이슬릿
蒙雷幾那手鐲	Merregina Bangle	머레지나 뱅글
貝亞卡拉斯手鐲	Bearkaras Bracelet	베아카라스 브레이슬릿
新手手鐲	Novice Bangle	노비스 뱅글
克蘭托手鐲	Kranto Bracelet	크란토 브레이슬릿
波隆諾手鐲	Bronza Bracelet	브론자 브레이슬릿
亞勒特手鐲	Argint Bracelet	아르진트 브레이슬릿
亞洛手鐲	Auru Bracelet	아우르 브레이슬릿
普拉提那手鐲	Platina Bracelet	플라티나 브레이슬릿
抗魔手鐲	Anti-Dark Property Bracelet	안티 다크 브레이슬릿
防寒手鐲	Anti-Cold Property Bracelet	안티 콜드 브레이슬릿
坎特拉比手鐲	Kantravi Bracelet	칸트라비 브레이슬릿
泰芙蕾手鐲	Tablet Bracelet	타블렛 브레이슬릿
皮爾梅賽手鐲	Fyrmes Bracelet	피르메스 브레이슬릿
弗蕾迪手鐲	Predji Bracelet	프레디 브레이슬릿
角鬥士腕飾	Gladiator Band	글래디에이터 밴드
琳娜手鐲	Bracelet of Linne	브레이슬릿 오브 린네
波拉手環	Pora	포라
波雷手環	Pore	포레
札卡里耶爾手鐲	Zachariel Bangle	자카리엘 뱅글
鐵甲殘魔手鐲	Abomination Bracelet	어보미네이션 브레이슬릿
元素之舞	Elements Dance	엘리멘츠 댄스
大法師手鐲	Archmage Bangle	아크메이지 뱅글
雷瓦珍手鐲	Rhevisan Bracelet	레비잔 브레이슬릿
思莫洛托手鐲	Smurto Bracelet	스머르토 브레이슬릿
依斯敏堤塞手鐲	Ismintis Bracelet	이스민티스 브레이슬릿
賽堤費利亞手鐲	Stipiria Bracelet	스티피리아 브레이슬릿
賽貝蘿瑟手鐲	Svenus Bracelet	스베너스 브레이슬릿
德拉格手鐲	Dhrag Bracelet	드라그 브레이슬릿
戰痕手鐲	Worspej Bracelet	워스르페이 브레이슬릿
波洛堤手鐲	Viproti Bracelet	비프로티 브레이슬릿
派塞梅手鐲	Basme Bracelet	바스매 브레이슬릿
西敏蕾手鐲	Symaere Bracelet	시매레 브레이슬릿
梅伊斯特拉手鐲	Mejstra Bracelet	메이스트라 브레이슬릿
思比艾瑟手鐲	Svijes Bracelet	스비에스 브레이슬릿
亞堤卡手鐲	Atikha Bracelet	아티카 브레이슬릿
瑪努希勒蒂手鐲	Manosierdi Bracelet	마노시르디 브레이슬릿
亞其帕手鐲	Achiva Bracelet	아키바 브레이슬릿
米勒迪手鐲	Mirti Bracelet	미르티 브레이슬릿
烏普泊珍珠手鐲	Ufhor Pearl Bracelet	우프올 펄 브레이슬릿
皮克歐珍珠手鐲	Pik'o Pearl Bracelet	피크오 펄 브레이슬릿
西塞爾手鐲	Sissel Bracelet	시셀 브레이슬릿
羅洛班索手鐲	Lolopanther Bracelet	롤로팬서 브레이슬릿
帕達手鐲	Phada	파다
索爾米奇手鐲(布)	Solmiki Bracelet	솔미키 브레이슬릿(천)
索爾米奇手鐲(皮革)	Solmiki Bracelet (Leather)	솔미키 브레이슬릿(가죽)
索爾米奇手鐲(板金)	Solmiki Bracelet (Plate)	솔미키 브레이슬릿(판금)
波勒派絲手鐲	Varpas Bracelet	바르파스 브레이슬릿
培里歐手鐲	Verijo Bracelet	배리오 브레이슬릿
利嫰奇希特手鐲	Lynnki Sit Bracelet	리느키 시트 브레이슬릿
卡伊特姆歐手鐲	Kite Moor Bracelet	카이트 무어 브레이슬릿
帕希烏泰斯手鐲	Pasiutes Bracelet	파시우테스 브레이슬릿
普利耶努手鐲	Frieno Bracelet	프리에노 브레이슬릿
亞克力歐卡利亞手鐲	Akro Galia Bangle	아크리오 갈리아 뱅글
醒腦手鐲	Aiskus Bracelet	아이스쿠스 브레이슬릿
技能1 手鐲	Skill 1 Bracelet	스킬1 팔찌
技能2 手鐲	Skill 2 Bracelet	스킬2 팔찌
技能3 手鐲	Skill 3 Bracelet	스킬3 팔찌
技能4 手鐲	Skill 4 Bracelet	스킬4 팔찌
加比婭套裝	Gabija Costume	가비야 코스튬
隱藏	secret	히든
奧施莉奈套裝	Ausrine Costume	아우슈리네 코스튬
瓦卡麗涅套裝	Vakarine Costume	바카리네 코스튬
雞蛇套裝	Cockatrice Costume	코카트리스 코스튬
韓服套裝(男)	Hanbok Costume (Male)	전통 혼례복 코스튬(남)
韓服套裝(女)	Hanbok Costume (Female)	전통 혼례복 코스튬(여)
萌漾學園學生服：黑(男)	Bad Kids Black School Uniform (Male)	검정 불량 서클 교복 코스튬(남)
萌漾學園學生服：黑(女)	Bad Kids Black School Uniform (Female)	검정 불량 서클 교복 코스튬(여)
萌漾學園學生服：紅(男)	Bad Kids Red School Uniform (Male)	붉은 불량 서클 교복 코스튬(남)
萌漾學園學生服：紅(女)	Bad Kids Red School Uniform (Female)	붉은 불량 서클 교복 코스튬(여)
萌漾學園學生服：白(男)	Bad Kids White School Uniform (Male)	백골 불량 서클 교복 코스튬(남)
萌漾學園學生服：白(女)	Bad Kids White School Uniform (Female)	백골 불량 서클 교복 코스튬(여)
萌漾學園學生服：綠(男)	Bad Kids Blue School Uniform (Male)	번개 불량 서클 교복 코스튬(남)
萌漾學園學生服：綠(女)	Bad Kids Blue School Uniform (Female)	번개 불량 서클 교복 코스튬(여)
粉嫩水手服(男)	Cherry Blossom Sailor Costume (Male)	벚꽃 로맨스 세일러복 코스튬(남)
粉嫩水手服(女)	Cherry Blossom Sailor Costume (Female)	벚꽃 로맨스 세일러복 코스튬(여)
伴郎套裝(男)	Best Man Costume (Male)	베스트 맨 코스튬(남)
伴娘套裝(女)	Bridesmaid Costume (Female)	브라이드메이드 코스튬(여)
森林妖精套裝(男)	Forest Fairy Costume (Male)	숲의 요정 코스튬(남)
森林妖精套裝(女)	Forest Fairy Costume (Female)	숲의 요정 코스튬(여)
鯊魚海賊團套裝(男)	Shark Pirate Costume (Male)	상어 해적단 코스튬(남)
鯊魚海賊團套裝(女)	Shark Pirate Costume (Female)	상어 해적단 코스튬(여)
心動結婚禮服(男)	Heart-Throb Wedding Costume (Male)	두근두근 웨딩 코스튬(남)
婚紗(女)	My Wedding Dress Costume (Female)	메이 웨딩 드레스 코스튬(여)
燕尾服(男)	My Wedding Tuxedo Costume (Male)	메이 웨딩 턱시도 코스튬(남)
心動結婚禮服(女)	Heart-Throb Wedding Costume (Female)	두근두근 웨딩 코스튬(여)
動物玩偶套裝	Stuffed Animal Costume	동물 인형 코스튬
燕尾服貓咪套裝	Tuxedo Cat Costume	턱시도 냥이 코스튬
奇金捲毛狗套裝	Fried Chicken Poodle Costume	치킨 푸들 코스튬
黑色執事套裝(男)	Black Butler Costume (Male)	블랙 버틀러 코스튬(남)
黑色女僕套裝(女)	Black Maid Costume (Female)	블랙 메이드 코스튬(여)
紅色執事套裝(男)	Red Butler Costume (Male)	레드 버틀러 코스튬(남)
紅色女僕套裝(女)	Red Maid Costume (Female)	레드 메이드 코스튬(여)
藍色執事套裝(男)	Blue Butler Costume (Male)	블루 버틀러 코스튬(남)
藍色女僕套裝(女)	Blue Maid Costume (Female)	블루 메이드 코스튬(여)
低階傭兵套裝(男)	Junior Mercenary Costume (Male)	하급 용병 코스튬(남)
低階傭兵套裝(女)	Junior Mercenary Costume (Female)	하급 용병 코스튬(여)
黃金冠軍套裝(男)	Golden Champion Costume (Male)	골든 챔피언 코스튬(남)
黃金冠軍套裝(女)	Golden Champion Costume (Female)	골든 챔피언 코스튬(여)
黑色冠軍套裝(男)	Black Champion Costume (Male)	블랙 챔피언 코스튬(남)
黑色冠軍套裝(女)	Black Champion Costume (Female)	블랙 챔피언 코스튬(여)
牛仔泳褲(男)	White Shorts Costume (Male)	블루진 코스튬(남)
吊帶比基尼(女) 	Sling Bikini Costume (Female)	슬링 비키니 코스튬(여)
防曬潛水長袖泳衣(男)	Rash Guard Costume (Male)	래쉬가드 코스튬(남)
防曬潛水長袖泳衣(女)	Rash Guard Costume (Female)	래쉬가드 코스튬(여)
四角泳褲(男)	Trunks Costume (Male)	트렁크 코스튬(남)
連身泳裝(女)	One-piece Swimsuit Costume (Female)	원피스 수영복 코스튬(여)
紅鶴泳圈&牛仔泳褲(男)	Flamingo Float White Shorts (Male)	플라밍고 튜브 블루진 코스튬(남)
紅鶴泳圈&吊帶比基尼(女)	Flamingo Float Sling Bikini (Female)	플라밍고 튜브 슬링 비키니 코스튬(여)
黃色小鴨泳圈&防曬潛水長袖泳衣(男)	Duck Float Rash Guard (Male)	오리 튜브 래쉬가드 코스튬(남)
黃色小鴨泳圈&防曬潛水長袖泳衣(女)	Duck Float Rash Guard (Female)	오리 튜브 래쉬가드 코스튬(여)
蛙鞋&四角泳褲(男)	Flippers Trunks Costume (Male)	오리발 트렁크 코스튬(남)
蛙鞋&連身泳裝(女)	Flippers One-piece Costume (Female)	오리발 원피스 코스튬(여)
傭兵修練服套裝(男)	Mercenary Uniform (Male)	용병 수련복 코스튬(남)
傭兵修練服套裝(女)	Mercenary Uniform (Female)	용병 수련복 코스튬(여)
魔登黑免女郎套裝(女)	Modern Black Bunny Girl (Female)	모던 블랙 바니걸 코스튬(여)
魔登黑兔男孩套裝(男)	Modern Black Bunny Boy (Male)	모던 블랙 바니보이 코스튬(남)
熱情紅色免女郎套裝(女)	Hot Red Bunny Girl (Female)	핫 레드 바니걸 코스튬(여)
熱情紅色 兔男孩套裝(男)	Hot Red Bunny Boy (Male)	핫 레드 바니보이 코스튬(남)
俏粉紅免女郎套裝(女)	Lovely Pink Bunny Girl (Female)	러블리 핑크 바니걸 코스튬(여)
俏粉紅兔男孩套裝(男)	Lovely Pink Bunny Boy (Male)	러블리 핑크 바니보이 코스튬(남)
浪漫粉紅小護士套裝(女)	Romantic Pink Nurse (Female)	로맨틱 핑크 간호사 코스튬(여)
浪漫粉紅小護士套裝(男)	Romantic Pink Nurse (Male)	로맨틱 핑크 간호사 코스튬(남)
天空藍小護士套裝(女)	Sky Blue Nurse (Female)	스카이 블루 간호사 코스튬(여)
天空藍小護士套裝(男)	Sky Blue Nurse (Male)	스카이 블루 간호사 코스튬(남)
純白小護士套裝(女)	Pure White Nurse (Female)	퓨어 화이트 간호사 코스튬(여)
純白小護士套裝(男)	Pure White Nurse (Male)	퓨어 화이트 간호사 코스튬(남)
秋天韓服套裝(男)	Chuseok Hanbok Costume (Male)	한가위 한복 코스튬(남)
秋天韓服套裝(女)	Chuseok Hanbok Costume (Female)	한가위 한복 코스튬(여)
吸血鬼套裝(男)	Vampire Costume (Male)	뱀파이어 코스튬(남)
吸血鬼套裝(女)	Vampire Costume (Female)	뱀파이어 코스튬(여)
夜光骷髏套裝	Glow-in-the-Dark Skeleton Costume	야광 해골 코스튬
藍色冬夜套裝(男)	Winter Night Costume (Male)	푸른 겨울밤 코스튬(남)
藍色冬夜套裝(女)	Winter Night Costume (Female)	푸른 겨울밤 코스튬(여)
聖誕套裝(男)	Santa Costume (Male)	산타 코스튬(남)
聖誕套裝(女)	Santa Costume (Female)	산타 코스튬(여)
魯道夫套裝	Rudolph Costume	루돌프 코스튬
拉著聖誕雪橇的馴鹿首領	Leading Reindeer	산타의 썰매를 끄는 리더 순록 
魯道夫	Rudolph	루돌프
白色雪花套裝(男)	Premium Snowflake Costume (Male)	프리미엄 하얀 눈꽃 코스튬(남)
白色雪花套裝(女)	Premium Snowflake Costume (Female)	프리미엄 하얀 눈꽃 코스튬(여)
高地戰士套裝	Highlander Costume	하이랜더 코스튬
輕裝步兵套裝	Peltasta Costume	펠타스타 코스튬
重裝步兵套裝	Hoplite Costume	하플라이트 코스튬
百夫長套裝	Centurion Costume	센츄리온 코스튬
野蠻人套裝	Barbarian Costume	바바리안 코스튬
鐵甲騎兵套裝	Cataphract Costume	캐터프랙트 코스튬
海賊套裝	Corsair Costume	커세어 코스튬
雙酬傭兵套裝	Doppelsoeldner Costume	도펠죌트너 코스튬
圓盾劍士套裝	Rodelero Costume	로델레로 코스튬
侍從套裝	Squire Costume	스콰이어 코스튬
角鬥士套裝	Murmillo Costume	무르밀로 코스튬
忍者套裝	Shinobi Costume	시노비 코스튬
擊劍手套裝	Fencer Costume	펜서 코스튬
龍騎士套裝	Dragoon Costume	드라군 코스튬
聖殿騎士套裝	Templar Costume	템플러 코스튬
槍騎兵套裝	Lancer Costume	랜서 코스튬
鬥牛士套裝	Matador Costume	마타도르 코스튬
鬥牛士特殊套裝	Matador Special Costume	마타도르 스페셜 코스튬
鬥牛士貝比史特套裝	Matador Belbeast Costume	마타도르 벨비스트 코스튬
鬥牛士貝比史特特殊套裝	Matador Belbeast Special Costume	마타도르 벨비스트 스페셜 코스튬
鬥牛士貝拉尼莫套裝	Matador Bellanimal Costume	마타도르 벨라니멀 코스튬
鬥牛士貝拉尼莫特殊套裝	Matador Bellanimal Special Costume	마타도르 벨라니멀 스페셜 코스튬
泰拳套裝	Nak Muay Costume	낙무아이 코스튬
烈焰法師套裝	Pyromancer Costume	파이로맨서 코스튬
寒冰法師套裝	Cryomancer Costume	크리오맨서 코스튬
念力法師套裝	Psychokino Costume	사이코키노 코스튬
鍊金術士套裝	Alchemist Costume	알케미스트 코스튬
巫師套裝	Sorcerer Costume	소서러 코스튬
鎖鏈法師套裝	Linker Costume	링커 코스튬
時空法師套裝	Chronomancer Costume	크로노맨서 코스튬
死靈法師套裝	Necromancer Costume	네크로맨서 코스튬
奇術師套裝	Thaumaturge Costume	쏘마터지 코스튬
元素使套裝	Elementalist Costume	엘리멘탈리스트 코스튬
模仿者套裝	Mimic Costume	미믹 코스튬
賢者套裝	Sage Costume	세이지 코스튬
咒術師套裝	Warlock Costume	워록 코스튬
妖術師套裝	Featherfoot Costume	페더풋 코스튬
符文師套裝	Rune Caster Costume	룬캐스터 코스튬
附魔師套裝	Enchanter Costume	인챈터 코스튬
暗影師套裝	Shadowmancer Costume	섀도우맨서 코스튬
暗影師特殊套裝	Shadowmancer Special Costume	섀도우맨서 스페셜 코스튬
暗影師日蝕套裝	Shadowmancer Sunhider Costume	섀도우맨서 선하이더 코스튬
暗影師日蝕特殊套裝	Shadowmancer Sunhider Special Costume	섀도우맨서 선하이더 스페셜 코스튬
暗影師月蝕套裝	Shadowmancer Lunarhider Costume	섀도우맨서 루너하이더 코스튬
暗影師月蝕特殊套裝	Shadowmancer Lunarhider Special Costume	섀도우맨서 루너하이더 스페셜 코스튬
獵人套裝	Hunter Costume	헌터 코스튬
弩箭手套裝	Quarrel Shooter Costume	쿼렐슈터 코스튬
遊俠套裝	Ranger Costume	레인저 코스튬
工兵套裝	Sapper Costume	새퍼 코스튬
巫蠱師套裝	Wugushi Costume	무고사 코스튬
刀騎兵套裝	Hackapell Costume	하카펠 코스튬
斥候套裝	Scout Costume	스카우트 코스튬
流氓套裝	Rogue Costume	로그 코스튬
黑暗騎兵套裝	Schwarzer Reiter Costume	슈바르츠라이터 코스튬
造箭者套裝	Fletcher Costume	플레쳐 코스튬
吹笛人套裝	Pied Piper Costume	파이드 파이퍼 코스튬
鑑定師套裝	Appraiser Costume	감정사 코스튬
馴鷹者套裝	Falconer Costume	응사 코스튬
重砲手套裝	Cannoneer Costume	캐노니어 코스튬
火槍手套裝	Musketeer Costume	머스킷티어 코스튬
神射手時裝	Mergen Costume	메르겐 코스튬
槍彈者套裝	Bullet Marker Costume	불릿 마커 코스튬
槍彈者特殊套裝	Bullet Special Costume	불릿 마커 스페셜 코스튬
槍彈者邁丘套裝	Bullet Marker Matcher Costume	불릿 마커 매처 코스튬
槍彈者邁丘特殊套裝	Bullet Marker Matcher Special Costume	불릿 마커 매처 스페셜 코스튬
槍彈者威爾套裝	Bullet Marker Wheeler Costume	불릿 마커 휠러 코스튬
槍彈者威爾特殊套裝	Bullet Marker Wheeler Special Costume	불릿 마커 휠러 스페셜 코스튬
聖水祭司套裝	Priest Costume	프리스트 코스튬
聖火祭司套裝	Krivis Costume	크리비 코스튬
邪靈祭司套裝	Bokor Costume	보코르 코스튬
德魯伊套裝	Druid Costume	드루이드 코스튬
聖者套裝	Sadhu Costume	사두 코스튬
雕刻師套裝	Dievdirbys Costume	딥디르비 코스튬
神諭師套裝	Oracle Costume	오라클 코스튬
武僧套裝	Monk Costume	몽크 코스튬
寬恕者套裝	Pardoner Costume	파드너 코스튬
聖殿十字軍套裝	Paladin Costume	팔라딘 코스튬
隨軍牧師套裝	Chaplain Costume	채플린 코스튬
牧羊人套裝	Shepherd Costume	양치기 코스튬
瘟疫醫生套裝	Plague Doctor Costume	플레이그닥터 코스튬
卡巴拉套裝	Kabbalist Costume	카발리스트 코스튬
審判者時裝	Inquisitor Costume	인퀴지터 코스튬
道士套裝	Taoist Costume	도사 코스튬
巫女時裝	Miko Costume	무녀 코스튬
坎諾席時裝	Kannushi Costume	칸누시 코스튬
狂熱者套裝	Zealot Costume	질럿 코스튬
此服裝源於狂熱者教團入門者所學的戰鬥技能的過程。	This costume inspired from the Cult of Zealot's apprentice combat training	질럿교단의 입문자가 배우는 전투 기술을 배우는 과정에서 유래한 의상입니다.
狂熱者特殊套裝	Zealot Special Costume	질럿 스페셜 코스튬
狂熱者肯特里遜套裝	Zealot Contrition Costume	질럿 컨트리션 코스튬
狂熱者肯特里遜特殊套裝	Zealot Contrition Special Costume	질럿 컨트리션 스페셜 코스튬
狂熱者波緹遜套裝	Zealot Petition Costume	질럿 퍼티션 코스튬
狂熱者波緹遜特殊套裝	Zealot Petition Special Costume	질럿 퍼티션 스페셜 코스튬
GM 套裝	GM Costume	GM 코스튬
劍士大師套裝	Swordsman Master Costume	소드맨 마스터 코스튬
輕裝步兵大師套裝	Peltasta Master Costume	펠타스타 마스터 코스튬
高地戰士3階套裝(男)	Highlander Circle 3 Costume (Male)	하이랜더 3서클 코스튬(남)
高地戰士3階套裝(女)	Highlander Circle 3 Costume (Female)	하이랜더 3서클 코스튬(여)
劍士花漾禮服(男)	Warrior's Spring Flower Dress (Male)	전사용 봄맞이 꽃 컨셉 드레스(남)
劍士花漾禮服(女)	Warrior's Spring Flower Dress (Female)	전사용 봄맞이 꽃 컨셉 드레스(여)
烏斯卡套裝	Uska Costume	우스카 코스튬
葳荷米娜套裝	Wilhelmina Costume	빌헬미나 코스튬
歐勒夏士兵套裝(男)	Orsha Soldier Costume (Male)	오르샤 병사 코스튬(남)
歐勒夏士兵套裝(女)	Orsha Soldier Costume (Female)	오르샤 병사 코스튬(여)
劍士黑桃套裝(男)	Trump Swordman Costume (Male)	전사용 트럼프 코스튬(남)
劍士黑桃套裝(女)	Trump Swordman Costume (Female)	전사용 트럼프 코스튬(여)
劍士學院風套裝(男)	Swordsman School Look Costume (Male)	전사용 스쿨룩 코스튬(남)
劍士學院風套裝(女)	Swordsman School Look Costume (Female)	전사용 스쿨룩 코스튬(여)
劍士3階套裝(男)	Swordsman Circle 3 Costume (Male)	소드맨 3서클 코스튬(남)
劍士3階套裝(女)	Swordsman Circle 3 Costume (Female)	소드맨 3서클 코스튬(여)
劍士泳裝套裝(男)	Swordsman Swimwear Costume (Male)	전사용 수영복 코스튬(남)
劍士泳裝套裝(女)	Swordsman Swimwear Costume (Female)	전사용 수영복 코스튬(여)
劍士愛麗絲套裝(男)	Swordsman Wonderland Costume (Male)	전사용 앨리스 코스튬(남)
劍士愛麗絲套裝(女)	Swordsman Wonderland Costume (Female)	전사용 앨리스 코스튬(여)
劍士近衛騎士套裝(男)	Swordsman Royal Guard Costume (Male)	전사용 근위기사 코스튬(남)
劍士水手服套裝(女)	Swordsman Sailor Costume (Female)	전사용 세일러복 코스튬(여)
劍士制服套裝(男)	Swordsman Ceremonial Costume (Male)	전사용 제복 코스튬(남)
劍士制服套裝(女)	Swordsman Ceremonial Costume (Female)	전사용 제복 코스튬(여)
劍士純白套裝(男)	Swordsman White Rose Costume (M)	전사용 순백의 코스튬(남)
劍士純白套裝(女)	Swordsman White Rose Costume (F)	전사용 순백의 코스튬(여)
劍士時尚休閒時裝(男)	Swordsman Smart Casual Costume (Male)	전사용 매니시룩 코스튬(남)
劍士時尚休閒時裝(女)	Swordsman Smart Casual Costume (Female)	전사용 매니시룩 코스튬(여)
劍士聖誕套裝(男)	Swordsman Christmas Costume (Male)	전사용 크리스마스 코스튬(남)
劍士聖誕套裝(女)	Swordsman Christmas Costume (Female)	전사용 크리스마스 코스튬(여)
劍士派對禮服(男)	Swordsman Party Outfit (Male)	전사용 파티 드레스 코스튬(남)
劍士派對禮服(女)	Swordsman Party Outfit (Female)	전사용 파티 드레스 코스튬(여)
劍士簡潔套裝(男)	Swordsman Simple Color Costume (Male)	전사용 심플 컬러 코스튬(남)
劍士簡潔套裝(女)	Swordsman Simple Color Costume (Female)	전사용 심플 컬러 코스튬(여)
觀看者套裝	Beholder Costume	주시자 코스튬
傭兵委託所所長套裝	Mercenary Post Manager Costume	용병의뢰소 소장 코스튬
法師3階套裝(男)	Wizard Circle 3 Costume (Male)	위저드 3서클 코스튬(남)
法師3階套裝(女)	Wizard Circle 3 Costume (Female)	위저드 3서클 코스튬(여)
魔法師花漾禮服(男)	Wizard's Spring Flower Dress (Male)	마법사용 봄맞이 꽃 컨셉 드레스(남)
魔法師花漾禮服(女)	Wizard's Spring Flower Dress (Female)	마법사용 봄맞이 꽃 컨셉 드레스(여)
德慕爾城主套裝	Lord Delmore Costume	델무어 성주 코스튬
法師大師套裝	Wizard Master Costume	위저드 마스터 코스튬
猶勒斯套裝	Jurus Costume	유르스 코스튬
克莉妲套裝	Grita Costume	그리타 코스튬
魔法師方塊套裝(男)	Trump Wizard Costume (Male)	마법사용 트럼프 코스튬(남)
魔法師方塊套裝(女)	Trump Wizard Costume (Female)	마법사용 트럼프 코스튬(여)
魔法師學院風套裝(男)	Wizard School Look Costume (Male)	마법사용 스쿨룩 코스튬(남)
魔法師學院風套裝(女)	Wizard School Look Costume (Female)	마법사용 스쿨룩 코스튬(여)
魔法師兔男孩套裝(男) 	Mage Bunny Boy Costume (Male)	마법사용 바니보이 코스튬(남)
魔法師免女郎套裝(女)	Mage Bunny Girl Costume (Female)	마법사용 바니걸 코스튬(여)
魔法師泳裝套裝(男)	Wizard Swimwear Costume (Male)	마법사용 수영복 코스튬(남)
魔法師泳裝套裝(女)	Wizard Swimwear Costume (Female)	마법사용 수영복 코스튬(여)
