我要如何去相信不相信我的人呢？	How can I trust someone who does not trust me? 	나를 믿어주지 않는 사람을 낸들 어찌 믿겠어요?
什麼？ 不是騙子嗎？	What is it? Are you a fraud? 	뭐죠? 사기꾼 아닌가요?
這乞丐到底想要做什麼大事…	What kind of big plan could a bum come up with?	거렁뱅이가 무슨 큰 일을 도모 하겠다고..
哈勃克的歡迎	Hauberk's Introduction	하우벅의 환영
魔君主哈勃克	Demon Lord Hauberk	마군주 하우벅
燭台	Candlestick	촛대
主教伊蘭	Bishop Ilam	주교 일람
詛咒的本質	Nature of the Curse	저주의 본질
我的使命1	My Mission 1	나의 사명 1
我的使命2	My Mission 2	나의 사명 2
大教堂完工紀念落款	Sign Commemorating the Completion of the Great Cathedral	대성단 완공 기념 서명
某人留下的紙條	Memo Someone Left Behind	누군가 남긴 쪽지
積了灰塵的書	Dusty Book	먼지 쌓인 책
找到最後的鑰匙了嗎?	Did you find the last key?	마지막 열쇠는 찾으셨습니까?
耶？	Huh?	엥?
咦？	Huh?	잉?
嗯？	Huh?	엉?
嗯？	Huh? 	응?
士兵麥克	Soldier Mike	사병 마이크
地道	Underground Tunnel	땅굴
柯拉佩達的賭徒{nl}(AWagererofKlaipeda)	The Gambler of Klaipeda	클라페다의 내기꾼{nl}(A Wagerer of Klaipeda)
探訪礦山村莊	Investigate the Miners' Village	광산 마을 탐문
史可尼斯原野的災厄	Disaster of Saknis Plains	사크니스 벌판의 재앙
比爾那森林的祭壇	Altar of Vilna Forest	빌나 숲의 제단
波塞林奇斯森林的威脅	Threat at Poslinkis Forest	포슬린키스 숲의 위협
大餓鬼路的糧食堆	Food Pile of Starving Demon's Way	큰아귀 길의 식량더미
為了朝聖者	For the Pilgrims	순례자를 위해
詛咒的本質	True Nature of the Curse	저주의 실체
開墾作業	Landfill Work	매립 작업
堅韌的性命	Tough Life	질긴 목숨
需要滋養補品	Needing the Nutritious Tonic	자양강장제가 필요해
想吃正常的食物	I Want to Eat Normal Food	정상적인 음식을 먹고싶다
推卸	Passing it Along	떠넘기기
整理邪惡氣息	Cleaning the Strange Aura	이상한 기운 정리
補充能量	Energy Replenishment	에너지 보충
肯定性證據	Positive Evidence	긍정적 증거
武器供需	Weapon Supply	무기 수급
儲備糧食	Food Reserve	식량 비축
破碎法	Disintegration	파쇄법
喪心病狂的怪物	Monster Gone Wild	미쳐 날뛰는 몬스터
奇怪的短劍	The Suspicious Dagger	수상한 단검
覬覦軍糧的怪物們	Monster Preying on Military Supplies	군량미를 노리는 몬스터들
路易茲的農地	Louise's Farmland	루이즈의 농지
不理想的收成	Unsatisfactory Crops	신통찮은 작황
老舊的種子	Old Seeds	오래된 씨앗
夏頓的固執	Shaton's Stubbornness	샤튼의 고집
星星的石像	Star Statue	별의 석상
控制祭壇	Suppressing Altar	제어 제단
星石	Star Stone	스타스톤
確認區域目標	Zone Object Check	존오브젝트 체크
星之燈	Star Lamp	별의 램프
王陵建立碑	Royal Mausoleum Construction Fee	왕릉 건립비
[寫著秘密場所的內容]	[Things about the secret place is written]	[비밀장소에 대한 내용들이 적혀있다]
魔君主那柯堤斯	Demon Lord Naktis	마군주 나크티스
祝福的重建	Reconstruction of Blessings	축복의 재건
那麼就沒事了。	Then I have no business with you	그럼 일 없소.
有什麼事情嗎？	What is it? 	무슨 일이시오?
我憑什麼相信你呢？	Huh? Why should I trust you? 	그럼 뭘로 당신을 믿으라는 거지?
豪拉奇烏斯真的沒關係嗎…	Is Horacius really okay?	호라치우스는 정말 괜찮은 건가..
要是失敗的話怎麼辦呢？	What happens if it fails? 	만약 실패하면 어떻게 되는거지?
果然不夠嗎？	Is that not enough?	역시 그걸론 부족한가?
夏頓的項鍊	Necklace of Shaton	샤튼의 목걸이
紙條	Memo	쪽지
謎樣的機器裝置	Machine of Riddles	수수께끼의 기계장치
被遺忘的魔法陣	The Forgotten Magic Circle	잊어버린 마법진
你對什麼事情好奇呢？	What do you want to know? 	어떤 것이 궁금하신가요?
傳達員蘭達	Receptionist Ramda	접수원 람다
要開始委託了嗎？	Star commission? 	의뢰를 시작하시겠습니까?
勒肯家族的箱子	Box of Legwyn Family	르귄가문의 상자
泰斯拉呈獻	Tesla's Dedication	테슬라 헌정
某人的紙條	Someone's Memo	누군가의 쪽지
沒有可以更有效阻擋怪物的方法嗎…	Isn't there a more effective way to block the monsters?	몬스터를 좀 더 효과적으로 막을 방법은 없는 걸까..
被治療的佃農	Cured Tenant Farmer	치료된 소작인
倉庫管理員力塔	Storage Keeper Rita	창고지기 리타
傳達員布萊恩登	Receptionist Brandon	접수원 브렌든
被撕碎的紙條	Torn Letter	바스러져 가는 쪽지
被撕破的日記	Ripped Diary	찢어진 일기
最後的紀錄	Last Record	마지막 기록
被丟棄的日記本	Abandoned Diary	버려진 일기장
難民丈夫	Refugee Husband	피난민 남편
難民太太	Refugee Wife	피난민 아내
遺囑	Will	유언장
被燻黑的線索	Blackened Clue	그을린 실마리
因憤怒而被亂畫的日誌	Diary written in Anger	분노로 휘갈긴 일지
皺巴巴紙條	Wrinkled Letter	구겨진 쪽지
阿魯內的日誌	Arune's Diary	아루네의 일지
西基塔的日誌	Sigita's Diary	시기타의 일지
奧施莉奈的命令書	The Command Letter of Ausrine	아우슈리네의 명령서
不知名冒險家的日誌	Unknown Adventurer's Diary	이름 모를 모험가의 일지
貝伊奇爾的回覆	Beikeol's Reply	베이키얼의 답장
訂單明細	Purchase Order	주문 내역서
看守者的墓碑	Watcher's Epitaph	파수꾼의 묘비
札卡里耶爾王的草皮	The Grass of King Zachariel	자카리엘 왕의 사초
禁止無故進入警告標語	Warning Sign for Unauthorized Entrants	무단출입금지 경고문
撤離命令書	Eviction Order	퇴거 명령서
男爵士兵查高斯的日誌	Baron Soldier Chagos' Diary	남작 사병 차고스의 일지
破碎的公文	Crumbling Document	부스러져가는 공문
魔族懲治命令書	Order to defeat the Demons	마족 처단 명령서
已完成的巴奇斯研究資料	Varkis' Complete Research Materials	완성된 바키스의 연구 자료
永遠的探險	The Eternal Adventure	영원한 탐험
修道士洛希	Monk Lotze	수도사 로체
修道士金塔斯	Monk Zidas	수도사 지다스
修道士歐洛泰卡	Monk Ortega	수도사 오르테가
王國宣戰文	Propaganda of the Kingdom	왕국 선전물
叛亂軍的紀錄	Records of the Rebel Army	반란군의 기록
王國軍入伍宣傳	Royal Army Recruit Propaganda	왕국군 입대 선전
師傅自己的相關紀錄	The Records of the Master Himself	스승 자신에 대한 기록
有關弟子拉伊爾斯的紀錄	Records about Disciple Laius	제자 라이어스에 대한 기록
有關弟子宏內斯的紀錄	Records about Disciple Hones	제자 호네스에 대한 기록
有關隱藏物品的紀錄	Records of the Hidden Object	숨겨둔 물건에 대한 기록
師傅的遺產	The Inheritance of the Master	스승의 유산
弟子宏內斯的紀錄	Disciple Hones' Memo	제자 호네스의 메모
靈魂	Spirit	영혼
紀錄費	Memorial Stone	기록비
研究紀錄	Records of Investigation	연구기록
計劃書	Proposal	계획서
設計圖	Design Proposal	설계도면
亞特利尤斯的佈告欄	Adrijus' Notice Board	아드리유스의 알림판
留著汙點的碑石	Stained Tablet	얼룩이 남은 비석
德麥特利烏斯的研究紀錄	Research Records of Demetrius	데메트리우스의 연구 기록
看來似乎沒有收集到和亞比葉黛一樣的東西？	You're not collecting Avietes?	아비에테 같은 건 안 모으시나 봐요?
預言的手抄本	Copy of Prediction	예언의 사본
厚安的碑文	Epitaph of Juan	후안의 비문
柯拉佩達市長	Klaipeda Market	클라페다 시장
香爐	Incense Burner	향로
已經替七彩谷居民靈魂們解開冤屈了嗎？	Can you lay the villagers' spirits to rest in peace?	칠채곡 주민 영혼들의 억울함을 풀어주셨습니까?
點火基礎	The Basics of Ignition	발화 기초
石化進行中	Petrification in Progress	석화 진행중
可疑的男子	Mysterious Man	의문의 남자
有吃過解毒劑了嗎？	Have you tried giving the antidote?	해독제는 먹여 보았소?
看著同伴的獵人	Concerned Hunter	동료를 살피는 헌터
柯拉佩達的賭徒{/}{nl}(AWagererofKlaipeda)	The Gambler of Klaipeda	클라페다의 내기꾼{/} {nl}(A Wagerer of Klaipeda)
雜貨商人	Item Merchant 	잡화 상인
奇怪的碑石	Suspicious Tombstone	수상한 비석
奇怪的石柱	Suspicious Stone Pole	수상한 돌기둥
火的故事	Story of Fire	불의 이야기
女神像說明	About the Goddess Statue	여신상 안내
教壇的聖物	Holy Relic of the Order	교단의 성물
破壞棺木	Coffin destroyed	관 파괴
咒術人偶	Voodoo Doll	주술인형
你現在在做什麼?	What are you doing right now?	지금 뭐하시는 거죠?
獲得樹叢	Obtained the wood	수풀 획득
廢墟遺跡地	Historic Site Ruins	폐허 유적지
聖堂地下城	Underground Chapel Dungeon	성당 지하 던전
衰弱的勒肯家族地下城	Fallen Legwyn Family Dungeon	쇠락한 르권가문의 던전
大魔法師之塔地下城	Archmage Tower Dungeon	대 마법사의 탑 던전
地下墓穴地下城	Catacombs Underground Dungeon	카타콤 지하 던전
倉庫管理員紫檀	Storage Keeper Zadan	창고지기 자단
那邊好像可以看到女神像的頭。	(Is that the head of a Goddess Statue over there?)	저쪽에서 여신상의 머리 같은 것이 보인다.
那邊好像有女神像的翅膀。	(Is that the wing of a Goddess Statue over there?)	저쪽에 여신상의 날개 같은 것이 있다.
哎呀？ 這裡要怎麼上去？	Huh? How did you get up here?	어라? 여긴 어떻게 올라오신거죠?
傳達員利安	Receptionist Liam	접수원 리암
在尋找怎樣的委託呢？	What kind of request are you looking for?	어떤 의뢰를 찾으시나요?
莿棘藤蔓森林	Thorny Vines Forest Dungeon	가시 덩쿨 숲
離開王國	Leaving the kingdom	왕국을 떠나며
槌子? 製作聖所時需要的嗎?	Hammer? You need it to make a sanctum?	망치? 성소를 만드는 데 필요하다고?
卡道拉歐姆商團佈告欄	Kedorlaomer Notice Board	케도라오머 상단 알림판
是下面嗎？	Is it below?	아래쪽인가?
露克立斯部隊員靈魂	Ruklys' Squad Member Spirit	루클리스 부대원 영혼
普利米歐艾米諾特	Premier Eminent	프리미어 에미넌트
露克立斯部隊靈魂	Ruklys' Army Spirit	루클리스 부대 영혼
路克索那內戰2章	2nd page of the Roxona Conflict	록소나 내전 2장
假箱子	Fake Box	가짜 상자
真理的信物	Truth Token	진리의 증표
奇怪的籃子	Suspicious Basket	수상한 바구니
魔君主馬魯若斯	Demon Lord Marnox	마군주 마르녹스
採集發光的苔癬	Collecting the Shiny Moss	빛나는 이끼 채칩 중
圖拉斯	Toras	토라스
精髓變換器	Essence Purifier	정수 변환기
使用火焰結晶	Use Flame Crystal	화염 결정 사용
選擇要召喚的我軍	Select Ally to Summon	소환할 아군 선택
選擇要移動得我軍位置	Select Destination for Ally	이동할 아군 위치 선택
活動獎勵支援兵	Event Reward Volunteer	이벤트 보상 지원병
活動小幫手	Event Helper	이벤트 도우미
馬上前往嗎？	Do you want to go?	바로 가실건가요?
針刺藤蔓森林	Thorny Vines Forest Dungeon	가시 덩굴 숲
傾倒的宅邸	Collapsed Residential Quarters	무너진 저택가
深處的地下監獄	Deep Underground Prison	깊숙한 지하감옥
心願的碑石路	Demon Prison Guild	염원의 비석로
要轉職7階級嗎？	Advance to 7th Rank?	7랭크로 전직하시겠습니까?
巴力斯	Valis	발리스
普羅亞那	Florianna	플로아나
拉希亞	Rosia	라시아
用什麼東西跟你交換呢？	What will you trade these for?	어떤 걸로 교환해드릴까요?
需要幾個？	How many do you need?	몇 개가 필요하신가요?
修女雅伊斯特	Sister Aiste	수녀 아이스테
修女拉薩	Sister Lhasa	수녀 라사
支援初級防守活動	Starter Defense Event Guide	초급 디펜스 이벤트 지원
支援中級防守活動	Medium Defense Event Guide	중급 디펜스 이벤트 지원
鐵匠杰羅斯	Blacksmith Zaras	대장장이 자라스
裝備商人鄧凱爾	Equipment Merchant Dunkel	장비 상인 던켈
雜貨商人米利娜	Item Merchant Mirina	잡화 상인 미리나
飾品商人羅奈沙	Accessory Merchant Ronesa	악세서리 상인 로네사
鐵匠安那	Blacksmith Anna	대장장이 안나
飾品商人約亞那	Accessory Merchant Joana	악세서리 상인 요아나
活動佈告欄	Event Notice Board	이벤트 알림판
髮飾選擇箱	Hair Accessory Selection Box	헤어 악세사리 선택 상자
拍賣場管理員羅吉	Market Manager Logi	마켓 관리인 로지
市場管理員莫倫	Market Manager Molun	마켓 관리인 몰른
信件	Letter	편지
念力法師魔法書1卷	Psychokino Tome Volume 1	사이코키노 마법서 1권
念力法師魔法書2卷	Psychokino Tome Volume 2	사이코키노 마법서 2권
念力法師魔法書3卷	Psychokino Tome Volume 3	사이코키노 마법서 3권
念力法師魔法書4卷	Psychokino Tome Volume 4	사이코키노 마법서 4권
念力法師魔法書5卷	Psychokino Tome Volume 5	사이코키노 마법서 5권
空的卷軸	Empty Scroll	빈 두루마리
看到文字的卷軸	Scroll With Writings	글자가 보이는 두루마리
寫著數字的碑石	Tombstone With Numbers	숫자가 적힌 비석
石燈	Lantern	석등
來歷不明的魔方	Unidentified Cube	정체불명의 큐브
領主護衛兵	Lord's Guard	영주 호위병
隨軍牧師大師	Chaplain Master	채플린 마스터
說明書	Manual	설명서
被丟棄的文件	Discarded Document	버려진 문서
卡特萊	Gatre	가트레
被丟棄的紙條	Discarded Note	버려진 쪽지
寫著符文文字的書	Book written in Runic Characters	룬 문자로 적힌 책
但是為什麼要找這個呢？	Why are you searching for it though?	그런데 이건 왜 찾으시는 거죠?
符文石	Rune Stone	룬 스톤
符文師大師	Rune Caster Master	룬캐스터 마스터
秘密裝置	Secret Device	비밀 장치
接見所碑石	Visiting Room Tombstone	접견소의 비석
牆	Wall	벽
要使用甚麼樣的碎片呢？	What will you use?	어떤 조각을 사용하시겠습니까?
囚犯的信件	Letters of a Prisoner	죄수의 편지
札那斯的邪念	Zanas' Echo	자나스의 사념
你好..	Goodbye?	안녕..
研究用試劑製造機	Reagent Maker	연구용 시약 제조기
你要加工甚麼材料呢？	What materials do you wish to use?	어떤 재료를 가공하시겠습니까?
寫著合成公式的紙	Recipe List	조합식이 적힌 종이
莎勒瑪的研究資料	Sarma's Research Documents	사르마의 연구자료
第一個線索	The First Clue	첫 번째 단서
第二個線索	The Second Clue	두 번째 단서
第三個線索	The Third Clue	세 번째 단서
第四個線索	The Fourth Clue	네 번째 단서
第五個線索	The Fifth Clue	다섯 번째 단서
奎波爾 優雷	Kupole Jore	큐폴 요레
奎波爾 里耶帕	Kupole Liepa	큐폴 리에파
緊急命令書	Emergency Orders	긴급 명령서
預言之日對應方針	Revelation Day Action Plans	예언의 날 대응 지침서
作戰指示書	Operation Orders	작전 지시서
內城壁第8區域設施管理隊長	Inner Wall District 8 Management Book	내성벽 제 8구역 시설관리대장
魔法陣管理部	Magic Circle Maintenance Department	마법진 관리부
神靈石	Divine Spirit Gem	신령석
沒甚麼反應啊..	There isn't much of a reaction?	별다른 반응은 없다..
被棄置的神壇	Abandoned Altar	버려진 신단
沒甚麼反應啊..	There is no reaction?	아무런 반응이 없다..
神靈球	Divine Spirit Sphere	신령구
什麼變化都沒有，神靈球就這樣消失了...	The Divine Spirit Sphere disappeared without any other reaction?	아무런 변화 없이 신령구가 그냥 사라져 버렸다..
巫女大師	Miko Master	무녀 마스터
馬勒托斯貯藏室的箱子	Martuis Storage Room Chest	마르튀스 저장실의 상자
魔法書	Spell Book	마법서
神靈	Divine Spirit	신령
凱都拉商團佈告欄	Kedoran Merchant Alliance Notice Board	케도라 상단 알림판
歐勒夏佈告欄	Orsha Bulletin Board	오르샤 알림판
歐勒夏居民	Orsha Resident	오르샤 주민
移民少女	Girl Settler	이주민 소녀
移民青年	Young Settler	이주민 청년
露克立斯部隊士兵的靈魂	Ruklys Army Soldier's Spirit	루클리스 부대 병사의 영혼
跟蹤	Pursuit	추적
流動商人羅潔	Traveling Merchant Rose	행상인 로제
流動商人拉米瑞	Traveling Merchant Ramille	행상인 라밀레
實驗受害者帝爾尼斯	Experiment Victim Tilis	실험 피해자 틸리스
有體力恢復藥水嗎？	Do you have a stamina recovery potion?	체력 회복 물약이라도 있으신가요?
雜貨商人艾芙	Item Merchant Alf	잡화 상인 알프
市場管理員提里亞那	Market Manager Tilliana	마켓 관리인 틸리아나
倉庫管理員艾沙	Storage Keeper Aisa	창고지기 아이사
雷堤夏	Leticia	레티샤
聽說發現和魔族的根據地相似的地方了？	Did you say you found a place that looks like a demon base?	마족의 근거지 비슷한 장소를 발견하셨다고요?
怎麼樣了？ 鐵鍋破壞了嗎？	How did it go? Was the cauldron destroyed?	어떻게 됐어요? 솥은 파괴 됐나요?
來歷不明的石像	Unidentified Stone	정체불명의 석상
耍花招	Gimmick	기믹
來歷不明的石柱	Unidentified Pillar	정체불명의 기둥
來歷不明的石燈	Unidentified Stone Lantern	정체불명의 석등
村莊祭司亞倫塔斯	Village Priest Arntas	마을 사제 아른타스
補給兵海倫塔斯	Supply Soldier Herntas	보급병 해른타스
補給兵德林	Supply Soldier Delyn	보급병 델린
自由地下城小遊戲	Free Dungeon Gimmick	프리던전 기믹
不明的裝置	Mysterious Device	정체불명의 장치
魔法師靈魂	Wizard's Soul	마법사 영혼
將校靈魂	Officer's Soul	장교 영혼
被寫在墳墓上的字句	Epitaph	무덤에 적힌 글귀
想知道哪個女神的去向呢？	Which of the Goddesses do you wish to learn about?	어느 여신의 행방을 알고 싶으신가요?
實驗台	Testing Equipment	실험대
好像放了很多材料	You have put in too many ingredients	재료가 많이 들어간 것 같다
好像沒放什麼材料	You have put in too few ingredients	재료가 적게 들어간 것 같다
這裡似乎沒有造箭者之箭	The Flechette can not be found here	이 곳엔 플레세트가 없는 것 같다
因為那意料之外的蕨葉孢子，作業被拖延了。	Progress has been hindered no thanks to the Bracken Spores	갑작스런 고사리 포자 때문에 작업이 더뎌졌네요.
包袱	Pouch	보따리
修正的紀念碑	Rewritten Monument	수정된 기념비
紀念碑	Monument	기념비
賢者的基準點	Sage Baseline	세이지의 기준점
蒙代羅爾山的女神處所 1卷	The Goddess' Abode of Mount Monderor Volume I	몬데롤 산의 여신의 처소 1권
空間之書	Book of the Void	공간의 책
新審判者綱領和報告書	 New Inquisitor's Creed and Decree	새 인퀴지터 강령과 포고문
朝聖者安卡塔的日誌	Pilgrim Agatas' Journal	순례자 아가타스의 일지
流浪中的吟遊詩人	Wandering Bard	방랑중인 음유시인
魔神吉特涅	Demon Goddess Giltine	마신 길티네
主教烏魯波納斯	Bishop Urbonas	주교 우르보나스
幻影大師	Welcoming Speech	환영대사
沒有反應	There was no reaction	반응이 없다
阿爾蘭必洞窟紙條	Alembique Cave Memo	알렘빅 동굴 메모
關於第285號實驗體的記錄(1)	Records of Test Subject Number 285(1)	실험체 285번에 대한 기록(1)
關於第285號實驗體的記錄(2)	Records of Test Subject Number 285(2)	실험체 285번에 대한 기록(2)
關於第285號實驗體的記錄(3)	Records of Test Subject Number 285(3)	실험체 285번에 대한 기록(3)
關於第285號實驗體的記錄(4)	Records of Test Subject Number 285(4)	실험체 285번에 대한 기록(4)
叛亂軍的日記	Insurgent's Journal	반란군의 일지
啟示者雅奈	Revelator Yane	계시자 야네
克魯皮納製作裝置的保護膜還照原樣留著嗎？	Isn't the protective shield around the Kruvina device still intact?	크루비나 제조 장치의 보호막은 그대로 남아있지 않습니까?
戴穆爾魯巴印	Delmore Rephaim	델무어 르바임
大家都恢復精神了嗎？	Is everyone alright?	다들 정신이 드십니까?
入口傳點	Entrance Portal	입구 포탈
要移動至房間內嗎？	Do you want to enter the room?	방으로 이동하시겠습니까?
出口傳點	Exit Portal	출구 포탈
要從房裡出去嗎？	Do you want to exit the room?	방에서 빠져나가시겠습니까?
礦山推車	Mine Wagon	광산 수레
要移動到對面方向嗎？	Do you want to cross to the other side?	반대편으로 이동하시겠습니까?
來歷不明的稻草人	Unidentified Scarecrow	정체불명의 허수아비
耍花招用	For gimmick use	기믹용
神秘的石柱	Mysterious Pillar	신비한 기둥
神秘的佈告欄	Mysterious Bulletin Board	신비한 알림판
老舊墳墓	Old Tomb	오래된 무덤
幹部 都曼塔斯	High Officer Domantas	간부 도만타스
幹部 德伊曼塔斯	High Officer Deimantas	간부 데이만타스
謎樣的獵人	Mysterious Hunter	수수께끼의 사냥꾼
警戒標示	Boundary Notice	경계 표시
印德拉雅的紙條	Indraja's note	인드라야의 쪽지
不知名的魔族	Nameless Demon	이름 모를 마족
魔族課程筆記	Demon Class Notes	마족 수업 필기
蕨類森林的神秘	The Mystery of Bracken Forest	고사리 숲의 신비
卡杜梅爾國王的監獄	King Kadumel's Prison	카듀멜 국왕의 감옥
潔拉哈的女神像	Zeraha's Goddess Statue	제라하의 여신상
魔族和怪物的正確區分法	The Correct Classification of Demons and Monsters	마족과 몬스터의 올바른 구분법
鍊金術士宣誓	The Alchemist's Oath	알케미스트 선서
老舊的日記	Old Diary	낡은 일기
地址不詳的信件	Letter for an Unknown Receiver	수취인 불명의 편지
安森塔水源地的怪獸	Monster of Absenta Reservoir	압셈타 수원지의 괴수
雜物	Miscellaneous	잡동사니
魔法師的書桌	Mage's Writing Table	마법사의 서대
倒下的人	Fallen Person	쓰러진 사람
士兵留下的紙條	Soldier's Note	병사가 남긴 쪽지
關得緊緊的門	Locked Door	굳게 닫힌 문
凍結的肉	Frozen Meat	얼어있는 고기
傳遞不了的信	Undelivered Letter	전해지지 못한 편지
結凍的甕子	Frozen Pot	얼어붙은 항아리
臨終訊息	Dying Message	다잉메시지
死靈法師帕烏斯達斯	Necromancer Faustas	네크로맨서 파우스타스
消失的亞多瑪斯	Missing Adomas	사라진 아도마스
煉金術之書	Alchemy Book	연금술 책
煉金術桌子	Alchemy Table	연금술 테이블
煉金術火爐	Alchemy Brazier	연금술 화로
多米尼卡斯	Dominikas	도미니카스
村莊居民鄧肯	Villager Duncan	마을 주민 던컨
樹藤	Vines	나무 덩굴
可疑的紙條	Suspicious Note	수상한 쪽지
被囚禁的修道士	Imprisoned Monk	갇힌 수도사
黑牆	Black Wall	검은 벽
卡巴拉路塔斯	Kabbalist Lutas	카발리스트 루타스
開始修復移動魔法陣囉。	 I'll start repairing the Teleportation Magic Circle	이동 마법진 복구를 시작할게요.
女神達莉雅	Goddess Dalia	여신 달리아
雪貂	Ferret	페릿
充滿的邪念石	Full Soul Stone	가득 찬 사념석
黑暗靈魂	Black Soul	검은 영혼
鐘擺	Pendulum	펜듈럼
耍花招用稻草人	Gimmick Scarecrow	기믹용 허수아비
耍花招用石像	Gimmick Statue	기믹용 석상
全部都找到了嗎？	Did you save everyone?	다 구하셨나요?
集中裝置	Integration Device	집약 장치
要使用魔法陣嗎？	Activate the magic circle?	마법진을 사용하시겠습니까?
被抄寫的日誌	Copied Diary	옮겨 적은 일지
魔氣去除裝置	Evil Energy Purifier	마기 제거장치
可疑的裝置	Mysterious Device	의문의 장치
可疑的袋子	Suspicious Pouch	수상한 주머니
空虛的荊棘林地下城	Hollow Thorn Forest Dungeon	공허의 가시숲 던전
藍色要塞地下城	Blue Fortress Dungeon	푸른 요새 던전
古代的傳點魔法陣	Ancient Warp Magic Circle	고대의 워프 마법진
徬徨靈魂	Wandering Spirit	방황하는 영혼
手工藝品帶來了嗎?	Have you brought the handicraft with you?	세공품을 가져오셨나요?
要從哪開始說明呢?	What should I explain first?	어떤 것부터 설명해드릴까요?
女神尤拉泰	Goddess Jurate	여신 유라테
找我有什麼事？	Do you have business here?	나에게 볼일이 있어?
將死的東西會在防線前停下的嗎？	Maybe it was just the right timing to stop anything from dying?	죽어가는 것을 딱 막는 선에서 멈췄던 걸까?
這地方似乎什麼都沒有	There doesn't seem to be anything here	이곳에는 아무것도 없는 것 같다
命令書上寫著什麼內容呢？	What was on the written orders?	명령서에는 어떤 내용이 있다고 하던가요?
迪耶那	Diena	디에나
要使用木筏嗎？	Do you wish to use the raft?	뗏목을 이용하시겠습니까?
城堡地下城試驗	Castle Dungeon Test	캐슬 던전 테스트
某個鍊金術師的記錄(上)	A Certain Alchemic Record (I)	어떤 연금술사의 기록(상)
配置某種	with 0	한종류의
魔法師之塔公會地下城	Mage Tower Guild Dungeon	마법사의 탑 길드 던전
公會活動選擇	Select Guild Event	길드 이벤트 선택
請選擇公會活動	Please select a Guild Event	길드 이벤트를 선택하세요
活動選擇	Select Event	이벤트 선택
將使用的活動選擇	Select the event you want to use	사용할 이벤트를 선택
要進入公會活動地下城嗎？	Do you want to enter this Guild Event dungeon?	길드 이벤트 던전에 입장 하시겠습니까?
活動放棄	Abandon Event	이벤트 포기
奎波爾路塔	Kupole Lhuta	큐폴 루타
遺物收集場	Relic Collector	유물 수집상
女神 巴伊寶拉	Goddess Vaivora	여신 바이보라
交換員	Operator	교환원
盧吉亞採集草藥中	Collecting Ronjia Grass	론지아 풀 채집 중
盧吉亞採集了草藥	You've collected Ronjia Grass	론지아 풀을 채집했습니다
放著毒草的箱子焚燒中	Burning the box filled with Poisonous Herbs	독초가 든 상자 태우는 중
遺物撿取中	Collecting relic	유품 줍는 중
充滿了實驗受害者們的遺物	You've collected Experiment Victims' Relic	실험 피해자들의 유품을 거두었습니다
正在拾取蘊含魔力的石頭	Gathering Magic Stones	마력이 깃든 돌 줍는 중
已拾取蘊含魔力的石頭	Obtained a Magic Stone	마력이 깃든 돌을 주웠습니다
正在收集黑色石頭	Gathering Black Stones	검은 돌 모으는 중
已拾取黑色石頭	Obtained a Black Stone	검은 돌을 주웠습니다
正在採集細辛草	Gathering Wild Ginger Plant	죽두리 풀 채집 중
已採集細辛草	Obtained a Wild Ginger Plant	죽두리 풀을 채집했습니다
正在拾取黑色石頭	Gathering Black Stones	검은 돌 줍는 중
正在採集艾勒克斯蕨	Collecting Arcus Braken	아르커스 고사리 채집 중
已採集艾勒克斯蕨	You have collected Arcus Braken	아르커스 고사리를 채집했습니다
正在採集閃爍花	Collecting Vink Flowers	빙크 꽃 채집 중
已採集閃爍花	You have collected Vink Flowers	빙크 꽃을 채집했습니다
正在採集圖爾洛花	Collecting Tulup Flowers	튤럽 채집 중
已採集圖爾洛花	You have collected a Tulup Flower	튤럽을 채집했습니다
正在採集帕瑪勒蕨葉	Collecting Phamer Bracken	파마르 고사리 채집 중
已採集帕瑪勒蕨葉	You have collected Phamer Bracken	파마르 고사리를 채집했습니다
正在察看是否有帕瑪勒蕨葉	Searching for Phamer Bracken	파마르 고사리가 있는지 살펴보는 중
已採集還沒成熟的帕瑪勒蕨葉	You have collected Phamer Bracken sprouts	덜 자란 파마르 고사리를 채집했습니다
已採集成熟的帕瑪勒蕨葉	You have collected fully grown Phamer Bracken	다 자란 파마르 고사리를 채집했습니다
這裡沒有帕瑪勒蕨葉	There doesn't seem to be Phamer Bracken near here	여기엔 파마르 고사리가 없습니다
正在採集愛爾力草	Collecting Aily Grass	아일리 풀입 채집 중
正在採集米泰力藥草	Collecting Mittelly Herbs	미탤리 약초 채집 중
已獲得米泰力藥草	You have collected Mittelly Herbs	미탤리 약초를 획득했습니다
無法作為藥草使用	This cannot be used for medicine	약초로 쓸 수 없는 상태입니다
正在尋找蠶繭	Looking for cocoons	고치를 찾는 중
已獲得白木飛蛾的繭	You have obtained the cocoon of a White Tree Forest Moth	흰나무 숲 나방의 고치를 획득했습니다
沒有白木飛蛾的繭	You don't have any cocoons	흰나무 숲 나방의 고치가 없습니다
正在尋找可用的木材	Looking for usable wood	쓸만한 목재 찾는 중
已獲得木材	You have obtained wood	목재를 획득했습니다
不適合做為木材使用	This doesn't seem to be usable as wood	목재로 쓰기엔 적합하지 않습니다
某人的留言	Someone's Scribbles	누군가의 낙서
拘留所看守的紙條	Prison Guard Note	유치장 간수의 쪽지
處刑房看守的紙條	Punishment Room Guard Note	징벌방 간수의 쪽지
刑房看守的紙條	Torture Chamber Guard Note	고문실 간수의 쪽지
教化所看守的紙條	Offender Institution Guard Note	교화소 간수의 쪽지
