皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
已建好衛塔斯的墳墓	You've made the grave for Witas	위타스의 무덤을 만들어 주었습니다
對某人來說重要的	Precious to Someone	누군가에겐 소중한
正在察看墓碑	Looking at the epitaph	묘비를 살펴 보는 중
被丟棄的箱子	The Abandoned Chest	버려진 상자
在箱子內找到了陳舊的手帕！	You've found an old handkerchief in the chest	상자 안에서 낡은 손수건을 찾았습니다
正在尋找甕	Obtaining the Pot	항아리 구하는 중
正在噴灑樹液	Spraying Water for the Tree	수액을 뿌리는 중
這個空間的秘密	Secret of the Unusual Place	이공간의 비밀
消滅衝過來的怪物	Defeat the attacking monsters	달려드는 몬스터 처치
再次挖掘中	Digging it again	다시 파 보는 중
打開寶物箱	Open the Treasure Chest	보물 상자 열기
貓頭鷹的永眠	Eternal Sleep of the Owls	부엉이의 영면
令人擔心的伊修拉十字路口貓頭鷹	The Worrying Owl at Ishrai Crossroads	걱정되는 이쉬라이 사거리의 부엉이
擺設倒下的雕像	Standing up the fallen statue	쓰러진 조각상을 세우는 중
貓頭鷹雕像的葬禮	Owl Sculpture Funeral	부엉이 조각상 장례
裝靈魂的容器(1)	A Vessel for a Spirit (1)	영혼을 담는 그릇(1)
詢問要怎麼做才能受到引導	Ask him how you can get guidance	어떻게 하면 안내를 받을 수 있는지 묻는다
既然如此決定自己去找	I will find it alone	그렇다면 혼자 찾겠다고 한다
裝靈魂的容器(2)	A Vessel for a Spirit (2)	영혼을 담는 그릇(2)
要把經典找回來	I will find the scripture	경전을 찾아 오겠다고 한다
完成了靈魂召喚聖書	Completed the scripture for the spirit	영혼 소환 성서가 완성되었습니다
裝靈魂的容器(3)	A Vessel for a Spirit (3)	영혼을 담는 그릇(3)
詢問召喚方法	Ask him how to call him	부르는 방법을 물어 본다
慈悲與救援(1)	Mercy and Salvation (1)	자비와 구원(1)
要去找回慈悲的聖遺物	I will look for the divine artifacts of the mercy	자비의 성유물을 찾아 오겠다고 한다
裝置裡出現了水滴狀的寶石	A teardrop-shaped jewel appeared from the device	장치 안에서 물방울 모양의 보석이 나왔습니다
慈悲與救援(2)	Mercy and Salvation (2)	자비와 구원(2)
詢問那應該怎麼做才好	Ask him what to do	그럼 어떻게 해야 하는지 묻는다
錯過的東西就沒辦法了	Tell him that there is nothing that can be done for the ones missed	놓친 건 어쩔 수 없다고 한다
從那柯堤斯的部下的手中找回了圓形的寶石！	Acquired a round-shaped jewel from Naktis' subordinate	나크티스의 부하에게서 동그란 모양의 보석을 되찾았습니다
慈悲與救援(3)	Mercy and Salvation (3)	자비와 구원(3)
說要回到小會堂	I will go to the Small Hall	소회당으로 가겠다고 한다
無止盡的不敬	Endlessly Blasphemous	끝없이 불경스러운
會幫你找聖物	I will retrieve the Relics	성물을 찾아 주겠다고 한다
藏得很隱密的聖物	Well Hidden Holy Relics	꼭꼭 숨은 성물
別擔心，交給我吧	Tell her not to worry and trust you	걱정 말고 맡겨달라고 한다
情勢很危險，最好放棄	Better give up as it's dangerous	위험하니 포기하는 게 좋겠다고 한다
祭司們的研究報告書	Research Reports of the Priests	사제들의 연구 보고서
會幫你帶回研究報告書	I will retrieve the research reports	연구 보고서를 구해 주겠다고 한다
機械裝置的秘密	The Secret of the Machine	기계장치의 비밀
要解開秘密	I will solve the secret	비밀을 풀겠다고 한다
緊急狀況	Critical Situation	긴급 상황
要搶奪靈力信物	I will retrieve the Holy Symbol of Spiritual Power	영력의 신표를 쟁탈하겠다고 한다
貝伊尼卡祭壇的鑰匙	Karuna Altar Key	베이니카 제단의 열쇠
要幫靈力信物充電	I will recharge the Holy Symbol of Spiritual Power	영력의 신표를 충전하겠다고 한다
用魔族來補充魔力實在是太不像話了	Tell him that it doesn't make sense to recharge magical power using demons	마족으로 마력을 채우는건 말도 안된다고 한다
關於神聖的魔力和魔族	About the divine magical power and the demons	신성한 마력과 마족에 대해
正在將信物插入	Inserting the Holy Relic	신표를 끼워넣는 중
積滿灰塵的古書	Dusty Old Books	먼지 쌓인 고서
以後會幫你	I will help him later	나중에 도와주겠다고 한다
轉眼之間	Eyes Off for a Moment	한눈 판 사이
要再更多	More and More	많이 더 많이
詢問要如何幫忙	Ask her how you can help	어떻게 도와줄지를 묻는다
超強效能	Tremendous Effects	엄청난 효능
要去實驗看看	I will test it out	시험해 보겠다고 한다
為了朝聖者(1)	For the Pilgrim (1)	순례자를 위해(1)
會幫你收集月薊	I will get thistles for him	달엉겅퀴를 구해 주겠다고 한다
為了朝聖者(2)	For the Pilgrim (2)	순례자를 위해(2)
會幫你帶回肉	I will get some meat	고기를 구해 오겠다고 한다
詛咒的真面目(2)	True Origin of the Curse (2)	저주의 실체(2)
為了朝聖者(3)	For the Pilgrim (3)	순례자를 위해(3)
餵他吃藥看看	I will try feeding him the medicine	약을 먹여 보겠다고 한다
這種事情自己試看看吧	Tell her to do that herself	그 정도는 직접 하라고 한다
詛咒的真面目(1)	True Origin of the Curse (1)	저주의 실체(1)
無視他然後繼續走原路吧	Ignore and keep going on your way	무시하고 가던 길 가자
為了讓朋友能回到女神身邊把他埋起來吧！	Tell him to bury him so that he could go to the goddesses	친구가 여신께 갈 수 있도록 묻어주자고 하자
安慰他後就離開吧！	Comfort him before you leave	위로하고 자리를 떠나자
要一起做	I will be with him	함께 하겠다고 한다
就先告辭了	I will leave now	이만 떠나겠다고 한다
隨機應變(1)	Adapting to Circumstances (1)	임기응변(1)
詢問要找的東西是什麼	Ask him what you should look for	찾아야 할 것이 무엇인지 묻는다
不知道為什麼不是很喜歡	I don't have a good feeling about it	왠지 께름칙하다고 한다
隨機應變(3)	Adapting to Circumstances (3)	임기응변(3)
完成卷軸後就會回來	I will complete the scroll	스크롤을 완성해 오겠다고 한다
隨機應變(4)	Adapting to Circumstances (4)	임기응변(4)
隨機應變(5)	Adapting to Circumstances (5)	임기응변(5)
要去卡烏爾雷祭壇看看	Tell him to go to Apgaule Altar	가울레 제단으로 가 보겠다고 한다
最後的鑰匙	The Last Key	마지막 열쇠
要去找鑰匙	I will find the key	열쇠를 찾으러 가겠다고 한다
往帕薩拉祭壇	To Pasala Altar	파사라 제단으로
要去帕薩拉祭壇	I will go to Pasala Altar	파사라 제단으로 가겠다고 한다
在秘密的終點	The Secret at the End	비밀의 끝에서
那柯堤斯的憤怒	Naktis' Wrath	나크티스의 분노
正在開啟門	Opening the door	문 여는 중
詛咒的寶珠	Cursed Orb	저주의 보주
如果有看到的話就帶給你	I will bring it if you see it	보게 된다면 가져다 주겠다고 한다
偽裝	Masquerade	위장
要調查看看	I will investigate it	조사해 보겠다고 한다
正在察看機械裝置	Looking at the machinery device	기계 장치 살피는 중
主教的最後使命(1)	The Bishop's Last Mission (1)	주교의 마지막 사명(1)
去試驗最後的證明	Go to test the last verification	마지막 증명을 시험하러 간다
先暫時留點準備的時間吧	Take some time to prepare	잠시 준비할 시간을 갖자
隨機應變(2)	Adapting to Circumstances (2)	임기응변(2)
會幫你找朋友	I will find his friend	친구를 찾아 주겠다고 한다
正在搜索祭司的屍體	Collecting the corpses of the priests	사제의 시신 수습 중
弟子萊恩斯的事情	Disciple Laius' Circumstances	제자 라이어스의 사정
要是不嫌棄我的話我能協助研究	I am going to help the research if you are okay with me	나라도 괜찮다면 연구를 돕겠다고 한다
安慰之後離開了位子	Comfort him and leave	위로하고 자리를 떠난다
組合中	Combining	조합하는 중
師父留下的東西	The Master's Legacy	스승이 남긴 것
說會去收集靈氣	Tell him that you will go gather vigor	영기를 모아오겠다고 한다
說接下來自己看著辦吧	Tell him to do it himself from now on	이제부터는 알아서 하라고 한다
關於師父的研究	About the research of the master	스승의 연구에 대해
智慧的引領	Wisdom of Guidance	지혜의 인도
說會將智慧的引領石找來	Tell him that you will obtain the guide stone of the wisdom	지혜의 인도석을 구해 오겠다고 한다
弟子侯內斯的事情	Disciple Hones' Circumstances	제자 호네스의 사정
正在傳達萊恩斯的事情	Passing the words of Laius	라이어스의 이야기를 전하는 중
要求仔細說清楚	Ask him what he meant	무슨 말인지 자세히 알려달라고 한다
危險的探勘準備(1)	Preparations for the Dangerous Search (1)	위험한 탐색 준비(1)
詢問要幫忙什麼	Ask him how you could help him	무엇을 도우면 되냐고 묻는다
要你去問其他人	Ask him to look for another person	다른 사람을 알아보라고 한다
危險的探勘準備(2)	Preparations for the Dangerous Search (2)	위험한 탐색 준비(2)
說沒有辦法而放棄	Give up since there's nothing to do	어쩔 수 없다며 포기한다
弟子萊恩斯的內心	Mind of Disciple Laius	제자 라이어스의 속마음
要求說出這段時間發生的事情	Tell him what has happened so far	그 간의 일을 이야기 해 준다
沒有回答	Don't answer	대답하지 않는다
正在說這段時間的事情	Telling him what has happened lately	그 간의 일을 이야기하는 중
契約的空間魔石(1)	The Spatial Magic Gem of Contract (1)	계약의 공간마석(1)
契約的空間魔石(2)	The Spatial Magic Gem of Contract (2)	계약의 공간마석(2)
安置中	Laying the remains	안치 중
正在投入空間魔石	Inserting the Spatial Magic Gem	공간마석 투입 중
約定的空間魔石(1)	The Spatial Magic Gem of Promise (1)	약속의 공간마석(1)
約定的空間魔石(2)	The Spatial Magic Gem of Promise (2)	약속의 공간마석(2)
正在破壞	Destroying it	파괴하는 중
祭物的空間魔石(1)	The Spatial Magic Gem of Sacrifice (1)	제물의 공간마석(1)
祭物的空間魔石(2)	The Spatial Magic Gem of Sacrifice (2)	제물의 공간마석(2)
完成的空間魔石(1)	Completed Spatial Magic Gem	완성된 공간마석
正在融合空間魔石	Combining the Spatial Magic Gem	공간마석 융합 중
師父隱藏空間	Master's Hidden Space	스승의 숨겨진 공간
正在使用空間魔石	Using the Spatial Magic Gem	공간마석 사용 중
師父留下的東西	Object Left by the Master	스승이 남긴 물건
遺產確認中	Checking the inheritance	유산 확인 중
想傳達的話(1)	Passing Words (1)	전하고 싶은 말(1)
想傳達的話(2)	Passing Words (2)	전하고 싶은 말(2)
訴說與徘徊靈魂所說的對話	I've talked with the wandering spirit	헤메는 영혼과 대화한 것을 말해준다
就這樣離開位子	Leave now	이만 자리를 떠난다
想傳達的話(3)	Passing Words (3)	전하고 싶은 말(3)
前去破壞沉默之甕	Let's go to destroy the pot	침묵의 항아리를 파괴하러 간다
說看起來很危險，要就此打住	Tell him that you will quit since it looks dangerous	위험해보이니 그만두겠다고 한다
關於消滅靈魂	About the elimination of the spirit	영혼의 소멸에 대해
也很會察言觀色	You have some senses	눈치도 빠르지
並非自由之身(1)	No Freedom (1)	자유의 몸이 아냐(1)
說會再去尋找靈魂	I'll look for the spirit again	다시 영혼을 찾아보겠다고 한다
並非自由之身(2)	No Freedom (2)	자유의 몸이 아냐(2)
說會用淨化粉燒掉	Tell him that you would burn him with the purification powders	정화가루로 태워버리겠다고 한다
說自己的過錯自己擔	Tell him to resolve his fault himself	자신의 과오는 스스로 해결하라고 한다
正在堆屍骨	Piling up the skeletons	유골 쌓는 중
往自由邁出一步	One Step Closer to Freedom	자유로 한걸음
說不用擔心，把事情交給他	Tell him not to worry	걱정말고 맡겨달라고 한다
神速精準[擊劍手轉職]	Quick and Accurate [Fencer Advancement]	신속정확[펜서 전직]
念力法師的魔法學習[念力法師轉職]	Magic Studies of Psychokino [Psychokino Advancement]	사이코키노의 마법공부[사이코키노 전직]
詢問哪裡能找到	Where can I find it?	어디서 찾아볼 수 있는지 묻는다
要求給予其他課題	Give me a different task	다른 과제를 달라고 한다
靈魂和感情的研究[鎖鏈法師轉職]	Research of Spirits and Emotions [Linker Advancement]	영혼과 감정의 연구[링커 전직]
渾沌的魔法師之塔[奇術師轉職]	Mage Tower in Chaos [Thaumaturge Advancement]	혼돈의 마법사의 탑[쏘마터지 전직]
最好讓開	It's best to face it	물러나는 게 좋을 것 같다
元素使的實戰經驗[元素使轉職]	Real Experiences of Elementalist [Elementalist Advancement]	엘리멘탈리스트의 실전 경험[엘리멘탈리스트 전직]
詢問做什麼才好	What should I do?	무엇을 하면 되는 지 묻는다
工兵的實力證明[工兵轉職]	Sapper's Proven Abilities [Sapper Advancement]	새퍼의 실력 증명[새퍼 전직]
這裡那裡[獵人轉職]	This and That [Hunter Advancement]	여기저기[헌터 전직]
活下來的毒[巫蠱師轉職]	Living Poison [Wugushi Advancement]	살아있는 독[무고사 전직]
看起來很危險所以拒絕	That sounds dangerous; I'll pass	위험해 보이니 거절한다고 한다
魔法師之塔偵察任務[斥侯轉職]	Reconnaissance Duty at Mage Tower [Scout Advancement]	마법사의 탑 정찰 임무[스카우트 전직]
那樣的話太勉強了	That's a bit too much for me	그것까진 무리라고 한다
魔力控制測試[奇術師轉職]	Controlling Magic Test [Thaumaturge Advancement]	마력 제어 시험[쏘마터지 전직]
我會展示給你看	I'll show you	보여 주겠다고 한다
還不具備那種實力	I'm not powerful enough for that yet	아직 그럴 실력은 못 된다고 한다
以暗屬性當作對象的姿態[元素使轉職]	The Attitude towards the Dark Property [Elementalist Advancement]	암속성을 상대하는 자세[엘리멘탈리스트 전직]
不能有弱點	There can be no weaknesses	약점은 있을 수 없다고 한다
多練練再來	I'll come back after I train a bit more	수련을 더 쌓고 오겠다고 한다
毒的高手[巫蠱師轉職]	The Master of Poison [Wugushi Advancement]	독의 고수[무고사 전직]
接受委託	I'll accept your request	의뢰를 받겠다고 한다
我拒絕到那麼危險的地方	That place is dangerous; I'll pass	그런 위험한 곳은 거절하겠다고 한다
斥侯的戰鬥能力[斥侯轉職]	The Battle Abilities of Scout [Scout Advancement]	스카우트의 전투 능력[스카우트 전직]
詢問委託的內容	Tell me about the request	의뢰의 내용을 묻는다
好像很危險，我拒絕	That sounds dangerous; I'll pass	위험할 것 같으니 거절한다
支援德巴西安嶺的王國軍[隨軍牧師轉職]	Supporting the Royal Army at Dvasia Peak [Chaplain Advancement]	드바시아 고개의 왕국군 지원[채플린 전직]
會幫助王國軍	I'll help the Royal Army	왕국군을 돕겠다고 한다
和我無關的事	It does not concern you	나랑은 관계없는 일이라고 한다
符文師和符文石[符文師轉職]	The Rune Caster and the Rune Stone [Rune Caster Advancement]	룬캐스터와 룬 스톤[룬캐스터 전직]
詢問材料是什麼	Ask what the materials are	재료가 무엇인지 묻는다
危急的賓申塔斯部隊(1)	Vincentas' Squan In Peril(1)	위기의 빈센타스 부대(1)
危急的賓申塔斯部隊(2)	Vincentas' Squan In Peril(2)	위기의 빈센타스 부대(2)
暗殺者艾保尼風(1)	Assassin Ebonypawn(1)	암살자 에보니폰(1)
暗殺者艾保尼風(2)	Assassin Ebonypawn(2)	암살자 에보니폰(2)
暗殺者艾保尼風(3)	Assassin Ebonypawn(3)	암살자 에보니폰(3)
暗殺者艾保尼風(4)	Assassin Ebonypawn(4)	암살자 에보니폰(4)
暗殺者艾保尼風(5)	Assassin Ebonypawn(5)	암살자 에보니폰(5)
暗殺者艾保尼風(6)	Assassin Ebonypawn(6)	암살자 에보니폰(6)
詢問王室的故事	What is the story behind the royal family?	왕실의 사연에 대해 물어본다
暗殺者艾保尼風(7)	Assassin Ebonypawn(7)	암살자 에보니폰(7)
暗殺者艾保尼風的最後	The End of Ebonypawn	암살자 에보니폰의 최후
暗殺者的信物	The Sign of the Assassin	암살자의 증표
巫女的大結界[巫女轉職]	Great Miko Barrier[Miko Advancement]	무녀의 대결계[무녀 전직]
觀察中	Observing	관찰 중
在周圍找找看拓本材料	Let's obtain the materials for rubber copies around here	탁본 재료를 주위에서 구해 보자
在戰利品口袋裡頭找到了可以拓印拓本的合適材料。	You have found adequate materials to make rubbings from the monster's inventory	전리품 주머니 안에서 탁본을 뜰 만한 적당한 재료들을 찾았습니다
比王國歷史更悠久的城牆(1)	The Ramparts More Durable Than the Kingdom (1)	왕도보다 오래 가는 성벽(1)
正在察看碑石	Looking at the tombstone	비석 살펴 보는 중
比王國歷史更悠久的城牆(2)	The Ramparts More Durable Than the Kingdom (1)	왕도보다 오래 가는 성벽(2)
有可以來幫忙的人嗎？	Can Someone Help?	도와 줄 사람?
接受提議	Accept the suggestion	제안을 받아들인다
食用凱帕的方法(1)	How to Eat a Kepa (1)	케파를 먹는 법(1)
關於在這裡做的事	About the work you are doing here	여기에서 하는 일에 대해
食用凱帕的方法(2)	How to Eat a Kepa (2)	케파를 먹는 법(2)
正在塗草汁	Applying the Grass Juice	풀즙을 바르는 중
我會前往貝吉歐絕壁並回來	I will go to Vseio Cliffs	베지오 절벽으로 다녀 오겠다고 한다
第一個碑文(1)	The First Epitaph (1)	첫 번째 비문(1)
第一個碑文(2)	The First Epitaph (2)	첫 번째 비문(2)
正在察看碑石	Looking at the tombstone	비석을 살펴 보는 중
閱讀祕文	Read the epitaph	비문 읽기
第二個碑文(1)	The Second Epitaph (1)	두 번째 비문(1)
第二個碑文(2)	The Second Epitaph (2)	두 번째 비문(2)
第二個碑文(3)	The Second Epitaph (3)	두 번째 비문(3)
說明白了	Tell him that you understand	이해했다고 한다
說會找其他辦法	Tell him that you will look for other methods	다른 방법을 찾겠다고 한다
請按照鐵匠的建議製做出黏著劑	Make the glue the blacksmith advised to you	대장장이의 조언대로 접착제를 만드세요
第二個碑文(4)	The Second Epitaph (4)	두 번째 비문(4)
正在黏貼碑石	Gluing the tombstone fragments	비석을 붙이는 중
第二個碑文(5)	The Second Epitaph (5)	두 번째 비문(5)
正在閱讀祕文	Reading the epitaph	비문을 읽는 중
第三個碑文(1)	The Third Epitaph (1)	세 번째 비문(1)
正在撥開藤蔓	Searching through the bushes	덩굴을 헤쳐보는 중
第三個碑文(2)	The Third Epitaph (2)	세 번째 비문(2)
正在藤蔓上點火	Lighting up the bushes	덩굴에 불 붙이는 중
正在閱讀祕文	Reading the epitaph	비문 읽는 중
可能知道碑石的的人…？	Interpreting the Tombstone's Story	비석의 이야기를 알 만한 사람..?
油味	The Smell of Oil	기름 냄새
只有這個辦法	The Only Method	방법은 이것 뿐
關於正在研究的東西	About the research	연구하고 있는 것에 대해
我會帶給尤斯達斯	I will hand them over to Justas	유스타스에게 전해 주겠다고 한다
石塔封印	Sealing the Stone Tower	돌탑 봉인
嚐試移動	Move	이동해 본다
運氣差的日子	An Unlucky Day	운수 나쁜 날
有需要暫時確認的事情	I have something to do	잠시 다른 볼 일이 있다고 한다
破碎法(1)	Disintegration (1)	파쇄법(1)
這點程度我可以幫你找	I can get them	그 정도는 구해 줄 수 있다고 한다
破碎法(2)	Disintegration (2)	파쇄법(2)
當然能找給你	I can get them for sure	물론 구해 줄 수 있다고 한다
那就先走一步了	I should go back	그만 가 보겠다고 한다
大教堂淨化作業	Purifying the Great Cathedral	대성당 정화 작업
會幫你消滅魔族們	I will defeat the monsters	마족들을 처치해 주겠다고 한다
我會用單眼鏡看看	Look around with Monocle	모노클로 둘러보라고 한다
吸引視線(1)	Drawing Attention (1)	시선 끌기(1)
詢問是否有計畫	Do you have any plans?	계획이 있는지 묻는다
爆音彈好像很危險	The Resounding Bomb may be dangerous	폭음탄은 위험할 것 같다고 한다
吸引視線(2)	Drawing Attention (2)	시선 끌기(2)
我會偷來炸彈	I will go steal the bombs	폭탄을 훔쳐 오겠다고 한다
吸引視線(3)	Drawing Attention (3)	시선 끌기(3)
吸引視線(4)	Drawing Attention (4)	시선 끌기(4)
等待並摀住耳朵	Wait with your ears covered	귀를 막고 기다린다
遞給啞彈	Hand over the unexploded bombs	불발탄을 건네준다
我會找看看	I will try finding it	한번 찾아보겠다고 한다.
說以後再做。	Tell him that you would do it later	나중에 하겠다고 한다.
四面楚歌	Surrounded by Enemies	사면초가
一起移動	Let's move	이동하자고 한다
我還有暫時要看的事情	I have something to do	잠깐 다른 볼일이 있다고 한다
奪回屯駐地(1)	Reclaim the Camp (1)	주둔지 탈환(1)
我無法幫忙	I can't help you	도와줄 수 없다고 한다
奪回屯駐地(2)	Reclaim the Camp (2)	주둔지 탈환(2)
我會收集裝備回來	I will go collect the equipment	장비를 모아 오겠다고 한다
我無法幫忙	I can't help you	돕지 않겠다고 한다
奪回屯駐地(3)	Reclaim the Camp (3)	주둔지 탈환(3)
說現在還不行	I'm not yet ready	아직 안됐다고 한다
奪回屯駐地(4)	Reclaim the Camp (4)	주둔지 탈환(4)
奪回屯駐地(5)	Reclaim the Camp (5)	주둔지 탈환(5)
我會再想想	Think about it one more time	다시 한번 생각하라고 한다
被隱藏的聖所	Hidden Area	숨겨진 장소
我會去收集	I'll collect it	수집하겠다고 한다
觸碰不到的地方(1)	A Place Unreachable (1)	닿을 수 없는 곳(1)
我不會和魔族做交易	I won't deal with the demons	마족과는 거래를 하지 않겠다고 한다
觸碰不到的地方(2)	A Place Unreachable (2)	닿을 수 없는 곳(2)
我會那樣做	I will do that	그렇게 하겠다고 한다
觸碰不到的地方(3)	A Place Unreachable (3)	닿을 수 없는 곳(3)
復仇的牙齒(1)	The Teeth of Revenge (1)	복수의 이빨(1)
我會借給力量	I will lend you my power	힘을 빌려주겠다고 한다
那個力量還不夠	I am not competent enough yet	아직 그럴 힘이 못 된다고 한다
復仇的牙齒(2)	The Teeth of Revenge (2)	복수의 이빨(2)
關於魔君主布爾魯	About Demon Lord Blut	마군주 블룻에 대해
復仇的牙齒(3)	The Teeth of Revenge (3)	복수의 이빨(3)
稍微再等一下	Tell her to wait a bit	잠깐 기다려달라고 한다
關於奎波爾	About the Kupoles	큐폴에 대해
過時的矜持	Old Pride	오래된 긍지
整理背叛者(1)	Ridding the Traitor (1)	배신자 정리(1)
快點告知阿爾多納幫忙的方法	Tell me how I can help Aldona	빨리 알도나를 도울 방법을 알려 달라고 한다
整理背叛者(2)	Ridding the Traitor (2)	배신자 정리(2)
那好像會有點危險	That sounds dangerous	그건 좀 위험할 것 같다고 한다
整理背叛者(3)	Ridding the Traitor (3)	배신자 정리(3)
整理背叛者(4)	Ridding the Traitor (4)	배신자 정리(4)
要消滅	I'll take care of it	처리하겠다고 한다
關於哈勃克與努亞耶雷的關係	About Hauberk and Nuaele's relationship	하우벅과 누아엘레와의 관계에 대해
鑲嵌的石頭	Lodged Stone	박힌 돌
需要做準備	I need to prepare	준비가 필요하다고 한다
對話中	Talking	대화 중
暮星	The Night Star	저녁별
暮星之鑰(1)	The Evening Star Key (1)	저녁별 열쇠(1)
我會幫忙製造鑰匙	I will help you to make the keys	열쇠를 만드는 것을 돕겠다고 한다
暮星之鑰(2)	The Evening Star Key (2)	저녁별 열쇠(2)
我會誓死守護	I will make sure to protect it	꼭 지켜주겠다고 한다
再準備一下吧	Tell her that we should prepare little more	조금 더 준비하자고 말한다
暮星之鑰(3)	The Evening Star Key (3)	저녁별 열쇠(3)
要解除封印後再回來	I will come back after unleashing the seal	봉인을 해제하고 오겠다고 한다
好像應付不來	I don't think I can handle it	감당할 수 없을 것 같다고 한다
被鎖在夜晚裡的暮星	The Evening Star at Night	밤에 잠긴 저녁별
要再準備一下	I will prepare a little more	좀 더 준비하겠다고 한다
計畫和逃走	The Planned Escape	계획과 도주
要報告	I will report about it	보고하겠다고 한다
迷宮中的哈勃克(1)	Hauberk in the Maze (1)	미로 속 하우벅(1)
追哈勃克	I will chase after Hauberk	하우벅을 쫓겠다고 한다
要再準備一下	I will prepare little more	좀 더 준비한다고 한다
迷宮中的哈勃克(2)	Hauberk in the Maze (2)	미로 속 하우벅(2)
這好像不是個好辦法	It doesn't sound like a good idea	좋은 방법이 아닌 것 같다고 한다
迷宮中的哈勃克(3)	Hauberk in the Maze (3)	미로 속 하우벅(3)
沒自信能消滅那麼多的魔族	I'm not sure if I can take down all those demons	저 많은 마족을 처치할 자신이 없다고 한다
迷宮中的哈勃克(4)	Hauberk in the Maze (4)	미로 속 하우벅(4)
一定要抓住他	I will get him for sure	반드시 잡겠다고 한다
迷宮中的哈勃克(5)	Hauberk in the Maze (5)	미로 속 하우벅(5)
好好準備吧	I will prepare a lot	확실히 준비하자고 한다
轉移縫隙(1)	The Dimensional Crack (1)	전이 틈새(1)
要進行儀式	Let's begin the ritual	의식을 시작하자고 한다
轉移縫隙(2)	The Dimensional Crack (2)	전이 틈새(2)
要將轉移傷痕收集起來	I will collect the Traces of Transference	전이의 흔적을 모아 오겠다고 한다
轉移縫隙(3)	The Dimensional Crack (3)	전이 틈새(3)
去一趟再回來	I'll go now	다녀 오겠다고 한다
轉移縫隙(4)	The Dimensional Crack (4)	전이 틈새(4)
轉移縫隙(5)	The Dimensional Crack (5)	전이 틈새(5)
轉移縫隙(6)	The Dimensional Crack (6)	전이 틈새(6)
快準備好了	Tell her that it will be ready soon	곧 준비된다고 한다
關門	Shutting the Door	문 닫기
說要阻止那些魔族	I will defeat those demons	그 마족들을 저지하겠다고 한다
會沒事的	I will be fine	괜찮을 것이라 한다
遵照本分	According To One's Duty	본분에따라
說會去找遺物	I will look for keepsakes	유품을 찾아 보겠다고 한다
還有更緊急的事	Tell her that there is a more emergent issue	더 급한 일이 있다고 한다
無差別處治	Unreasonable Defeat	무분별한 처치
要去消滅他再回來	I will come back after defeating it	처리하고 오겠다고 한다
下次再做	I will do it next time	다음에 하겠다고 한다
恢復權威	Recovering Prestige	권위 회복
我會回收碎片	I will retrieve the fragments	파편을 회수하겠다고 한다
說要先去見瓦卡麗涅	I will meet the Vakarine first	바카리네를 먼저 만나겠다고 한다
無處可去的憤怒	The Fury	갈 곳 잃은 분노
說要除掉那些魔族	I will defeat the demons	그 마족들을 처리하겠다고 한다
迪歐尼斯的腳趾甲	Dionys' Claws	디오니스의 발톱
我會把腳趾甲回收	I will retrieve the claws	발톱을 회수해 오겠다고 한다
關於迪歐尼斯	About Dionys	디오니스에 대해
沒有主人的星星	Lost Star	주인 없는 별
說要去收集星之標誌	I will collect the Marks of Star	별의 징표를 모아 오겠다고 한다
好像沒那個時間	I don't have for that	그럴 시간은 없을 것 같다고 한다
女神之眼	Eyes of the Goddess	여신의 눈
以後再消滅	I will take care of it later	나중에 처리하겠다고 한다
藏匿的背叛者	The Hidden Betrayer	숨어든 배신자
交叉路的魔族	Demons at the Crossroads	교차로의 마족
搞不好會被女神臭罵一頓	I might be scolded by the goddess	여신께 혼날지도 모른다고 한다
阻塞的地方	A Dead End	막다른 곳
不會有事的	Everything will be alright	별 일 없을거라고 한다
迪歐尼斯的食物	Food for Dionys	디오니스의 먹이
馬上就會好起來的	He'll be cured soon	금방 나을 것이라고 한다
消除小縫隙	Eliminate the Small Gaps	작은 틈 없애기
我會除掉	I will get rid of it	제거하겠다고 한다
再給一點時間	I need some more time	조금만 더 시간을 달라고 한다
轉移縫隙(7)	The Dimensional Crack (7)	전이 틈새(7)
凱都拉商團志願者	Kedoran Merchant Alliance Applicant	케도라 상단 지원자
神祕的樹苗	The Mysterious Tree	신비한 묘목
還有很多還沒做的事情所以拒絕	Decline since you still have some tasks to complete	아직 못 다한 일이 남았다며 거절한다
關於神祕的少女	About the mysterious girl	신비한 소녀에 대해
未知的力量	Unknown Power	알 수 없는 힘
詢問是否還有需要幫忙的事	Ask her if there's anything more to help	더 도와줄 것이 있느냐고 묻는다
既然已經幫完忙所以打算先走	You leave since you've helped her enough	도와줬으니 이만 가 보겠다고 한다
實驗淨化結果	The Result of the Test Purification	시험 정화의 결과
鼓勵說一切會很順利	Tell her that everything will be alright	잘 될거라고 격려한다
該做的事都做完了所以想先離開	Leave since you completed all the tasks	볼 일은 전부 마쳤으니 떠난다
大規模淨化的準備	Preparing for Large-Scale Purification	대규모 정화의 준비
轉交箱子	Box Delivery	상자 배달
現在全都錯了	It's All Over Now	이젠 다 틀렸어
詢問發生了什麼事然後說要幫忙	Ask him what's the matter and I will help	무슨 일이 있는지 묻고 도와주겠다고 한다
別在意走就走自己該走的路吧	Ignore and just go on your way	무시하고 갈 길 가자
關於克林卡的莊園	About the Greene family farm	그린가의 장원에 대해
除草作業	Weeding	제초작업
幫你消除蒲公英種子	I will get rid of the dandelions	민들레 싹을 제거해 주겠다고 한다
