尤克利那斯 	Jugrinas	유그리나스
獅子的嘴裡(2)	In to the Lion's Mouth (2)	사자의 입 속으로(2)
魔族會不會發現呢？	Won't the demons notice us?	마족이 눈치채지 않을 거냐고 묻는다
獅子的嘴裡(3)	In to the Lion's Mouth (3)	사자의 입 속으로(3)
獅子的嘴裡(4)	In to the Lion's Mouth (4)	사자의 입 속으로(4)
獅子的嘴裡(5)	In to the Lion's Mouth (5)	사자의 입 속으로(5)
你是指誰呢？	Who are you talking about?	누구를 말하는거냐고 묻는다
獅子的嘴裡(6)	In to the Lion's Mouth (6)	사자의 입 속으로(6)
停止靈魂加工裝置中	Stopping the spirit transformation device	영혼 가공 장치 정지시키는 중
獅子的嘴裡(7)	In to the Lion's Mouth (7)	사자의 입 속으로(7)
獅子的嘴裡(8)	In to the Lion's Mouth (8)	사자의 입 속으로(8)
放入幻影再生器中	Placing the Apparition Generator	환영의 재생구 넣는 중
獅子的嘴裡(9)	In to the Lion's Mouth (9)	사자의 입 속으로(9)
獅子的嘴裡(10)	In to the Lion's Mouth (10)	사자의 입 속으로(10)
一個個依照順序	One by One	하나씩 차례대로
隱密與偉大(1)	Suspiciously Secretive (1)	은밀하고 위대하게(1)
該怎麼找呢？	How shall I conduct the search?	어떻게 찾아야 하냐고 묻는다
隱密與偉大(2)	Suspiciously Secretive (2)	은밀하고 위대하게(2)
加入黑色霍亨歐班肉片當中	Placing the flesh of Black Hohen Olben	검은 호헨 올벤의 살접 집어넣는 중
隱密與偉大(3)	Suspiciously Secretive (3)	은밀하고 위대하게(3)
加入巨錘王的血當中	Placing King Hammer's Blood	킹 해머의 피를 넣는 중
已經加入巨錘王的血了	Placed King Hammer's Blood	킹 해머의 피를 집어 넣었습니다
隱密與偉大(4)	Suspiciously Secretive (4)	은밀하고 위대하게(4)
隱密與偉大(5)	Suspiciously Secretive (5)	은밀하고 위대하게(5)
隱密與偉大(6)	Suspiciously Secretive (6)	은밀하고 위대하게(6)
隱密與偉大(7)	Suspiciously Secretive (7)	은밀하고 위대하게(7)
你打算怎麼做呢？	How would you like to do this?	어떻게 할 것이냐고 묻는다
隱密與偉大(8)	Suspiciously Secretive (8)	은밀하고 위대하게(8)
加入黑色哈路卡爾的精髓中	Placing essence of Black Harugal	검은 하루갈의 정수를 넣는 중
隱密與偉大(9)	Suspiciously Secretive (9)	은밀하고 위대하게(9)
隱密與偉大(10)	Suspiciously Secretive (10)	은밀하고 위대하게(10)
隱密與偉大(11)	Suspiciously Secretive (11)	은밀하고 위대하게(11)
再次啟動那魯巴斯寺院	Reactivating Narvas Temple	나르바스 사원 재 가동
那魯巴斯寺院的長夢(1)	Long Dreams Are Dreamt at Narvas Temple (1)	긴 꿈은 나르바스 사원에서 지고(1)
使用傳點中	Using the portal	포탈 사용 중
那魯巴斯寺院的長夢(2)	Long Dreams Are Dreamt at Narvas Temple (2)	긴 꿈은 나르바스 사원에서 지고(2)
聽見你的歌聲(9)	I Can Hear You Singing (9)	너의 노래소리가 들려(9)
與瘟疫醫生尤克利那斯對話	Talk to Plague Doctor Jugrinas	플레이그 닥터 유그리나스와 대화
服用緊急用諾貝禮爾傳染病治療劑 	Take the Medicine Against the Nobreer Epidemic	임시 노브리어 역병 치료제 복용
與尤克利那斯對話	Talk to Jugrinas	유그리나스와 대화
去找傳染病的治療方法	Finding a Cure for the Epidemic	역병의 치료법을 찾아서
回收尤克利那斯的	Retrieve Jugrinas' Testing Solution	유그리나스의 시험액 회수
轉交給尤克利那斯	Deliver to Jugrinas	유그리나스에게 전달
在諾貝禮爾十字路口安裝傳染病感應石	Set the Epidemic Detectors on Nobreer Intersection	노브리어 사거리에 역병 감지석 설치
向尤克利那斯報告	Report to Jugrinas	유그리나스에게 보고
在下層運輸地那裏尋找植物標本採集道具	Find the Sample Collecting Tools at the Lower Shipping Station	하부 운송지에서 식물 표본채집 도구 찾기
到諾貝禮爾瀑布去採集植物標本吧!	Collect Plant Samples at Nobreer Falls	노브리어 폭포에서 식물 표본 채집
到神樹石橋去尋找希凱斯用過的工具	Find Cicas' Tools at Big Tree Footbridge	거목 징검다리에서 시카스가 사용하던 도구 찾기
使用特殊溶液消滅怪物	Spray Monsters with the Special Solution and Defeat Them	특수 용액 사용 후 몬스터 처치
傳染病的真面目	The Truth Behind the Epidemic	역병의 정체
到諾貝禮爾十字路口確認傳染病感應石	Check the Epidemic Detectors in Nobreer Intersection	노브리어 사거리에서 역병 감지석 확인
回收諾貝禮爾十字路口的傳染病感應石	Collect the Epidemic Detectors at Nobreer Intersection	노브리어 사거리에서 역병 감지석 회수
前往不祥的氣息圍繞著的避難營	Check the Evac Route for Ominous Energy	불길한 기운이 느껴졌던 피난로로 가기
消滅格林利波	Defeat the Grim Reaper	그림 리퍼 처치
拉伊瑪留下的預言之書	Laima's Prophecy Tome	라이마가 남긴 예언의 서
與奎波爾蕾妮亞對話	Talk to Kupole Lenja	큐폴 레냐와 대화
確認預言石塔	Attest to the Prophecy Pagodas	예언의 석탑 확인
從命運的寶珠吸取命運的力量	Receive the Power of Fate from the Orb of Fate	운명의 보주에서 운명의 힘 흡수
魔族的誓約	Demon Treaty	마족의 서약
確認誓約的封印	Check the Treaty Seal	서약의 봉인 확인
封印的光換成其他顏色	Change the Colors of the Treaty Lights	봉인의 빛을 서로 다른 색으로 바꾸기
解除守護誓約的封印的保護	Disable the Magic Protecting the Treaty Seal	서약의 봉인을 지키는 보호 마법 해제
消滅怪物獲得尤德伊安的邪惡的血	Defeat Monsters to Obtain the Impure Blood of Yudejan	몬스터를 처치해서 유데이안의 부정한 피 획득
用魔族的氣息填滿尤德伊安的邪惡的血	Imbue the Impure Blood of Yudejan with Demon Energy	유데이안의 부정한 피에 마족의 기운 채우기
回收坦索斯依凱提瑪的魔族的誓約	Retrieve the Demon Treaty in Tamsus Ikeitimas	탐소스 이케이티마스에서 마족의 서약 회수
回收魔族的誓約	Retrieve the Demon Treaty	마족의 서약 회수
女神的誓約	Goddess Treaty	여신의 서약
解除被束縛在誓約封印的魔族的封印	Release the Demon Seal Connected to the Treaty Seal	서약의 봉인에 걸린 마족의 봉인 해제
尋找女神的信賴石	Find the Goddess' Stone of Faith	여신의 신뢰석 찾기
用女神的信賴石來閱讀碑石上的筆跡可解除封印	Use the Goddess' Stone of Faith to Read the Tombstone and Release the Seal	여신의 신뢰석으로 비석의 글귀를 읽고 모든 봉인 해제
獲得女神的誓約	Obtain the Goddess Treaty	여신의 서약 획득
女神與魔族的故事	A Story of Demons and Goddesses	여신과 마족의 이야기
解除誓約的封印	Release the Treaty Seal	서약의 봉인 해제
尋找裝有誓約的石板的保管箱	Find the Box Containing the Treaty Slate	서약의 석판이 들어있는 보관함 찾기
利用尤德伊安的祭壇確認誓約的內容	Use the Yudejan Altar to Read the Treaty	유데이안의 제단을 이용해서 서약의 내용 확인
阿爾蘭必的事情	Alembique Tales	알렘빅 이야기
和凱都拉商團成員愛爾塔對話	Talk to Kedoran Alliance Merchant Alta	케도라 상단원 알타와 대화
尋找基高傭兵團	Find the Gigho Mercenaries	기고 용병단 찾기
和傭兵海藍達對話	Talk to Mercenary Heranda	용병 헤란다와 대화
去跟看起來很不安的傭兵海藍達對話吧！	Talk to nervous Mercenary Heranda	불안해 보이는 용병 헤란다와 대화하세요
去見聖水祭司 謝爾貝卡	Go to Priest Celvica	프리스트 셀베카 찾아가기
前往傭兵黑蘭塔告訴你的地方，找祭司賽貝卡吧。	Find Priest Celvica in the area told by Mercenary Heranda	용병 헤란다가 알려준 지역으로 이동하여 사제 셀베카를 찾으세요
回到傭兵海藍達那裡去	Return to Mercenary Heranda	용병 헤란다에게 돌아가기
尋找傭兵海藍達的下落	Find Traces of Mercenary Heranda	용병 헤란다의 흔적 찾기
和聖水祭司謝爾貝卡對話	Talk with Priest Celvica	프리스트 셀베카와 대화
尋找團長一行人	Find the officer group	단장 일행 찾기
與團長基高對話	Talk to Commanding Officer Gigho	단장 기고와 대화
回收傭兵團解毒劑	Retrieve Mecenary Company Antidote	용병단 해독제 회수
回到團長基高那裡	Return to Commanding Officer Gigho	단장 기고에 돌아가기
回到聖水祭司 謝爾貝卡那裡	Return to Priest Celvica	프리스트 셀베카에게 돌아가기
尋找埃德林的下落	Find Traces of Edeline	에델린의 흔적 찾기
聖水祭司賽貝卡懇求你前往團長基高所告知的地方，把艾德林找回來。	Priest Celvica begs you to find Edeline in the area told by Commanding Officer Gigho	프리스트 셀베카는 단장 기고가 알려준 곳으로 가서 에델린을 찾아달라고 간청했습니다
去跟聖水祭司謝爾貝卡對話吧！	Talk to Priest Celvica	프리스트 셀베카와 대화하세요
去見凱都拉 商團成員 愛爾塔	Find Kedoran Alliance Merchant Alta	케도라 상단원 알타 찾아가기
尋找阿爾蘭必 洞窟的紀錄	Find the Alembique Cave Scriptures	알렘빅 동굴 기록 찾기
收集鐘乳石塊 	Collect Stalactite Chunks	종유석 덩어리 수집
清除謎樣的魔族裝置	Remove the Mysterious Demon Device	수수께끼의 마족장치 제거
消滅洞穴毒妖花	Defeat Cave Ravinelarva	동굴 러바인러바 처치
第一位客人的角色	First Guest's Role	첫 손님의 역할
和奈凌卡交談	Talk to Neringa	네링가와 대화
進入幻想圖書館	Enter Fantasy Library	환상도서관 진입
和巴伊寶拉女神對話	Talk to Goddess Vaivora	여신 바이보라와 대화
消滅入侵的魔族	Defeat the demons who have infiltrated the place	침입한 마족 처치
消滅周邊的魔族	Defeat the demons in the area	주변 마족 처치
收集四散的記錄紙	Collect Scattered Records	흩어진 기록지 수집
被束縛的命運	Nailed Down Destiny	틀에 갇힌 운명
破壞魔族的奎波爾陷阱	Remove demons' Kupole traps	마족의 큐폴 덫 제거
與奎波爾魯吉萊對話	Talk to Kupole Rugile	큐폴 루길레와 대화
破壞魔族進攻地點	Remove the demons' points of invasion	마족 침공지점 제거
前往影子底下	Going Below the Shadow	그림자 밑으로
破壞被污染的水晶	Destroy the corrupted crystals	오염된 수정 파괴
和奎波爾沙耶交談	Talk to Kupole Saya	큐폴 사야와 대화
奎波爾沙耶在沙烏席斯10館等你。	Kupole Saya is waiting for you in Sausis Room 10	사우시스 10관에서 큐폴 사야가 당신을 기다리고 있습니다
收集特拉休姆碎片	Collect Trasium Pieces	트라시움 조각 수집
破壞魔力牢獄	Deactivate the Magic Prison	마력 감옥 해제
和奎波爾薇塔交談	Talk to Kupole Ouida	큐폴 위다와 대화
和觀看者碰面	Face to Face with the Beholder	주시자와 대면
需要的失誤	Necessary Mistake	필요한 실수
和奎波爾黎泰交談	Talk to Kupole Litae	큐폴 리테와 대화
補充魔力裝置	Recharge the Magic Device	마력장치 충전
收集諾伯烈奈動力	Collect Nobrenal Powers	노브레날 동력 수집
和奎波爾塔奴泰交談	Talk to Kupole Danute	큐폴 다누테와 대화
收集維持魔力裝置所需要的工具	Collect the necessary tools for maintaining the magic device	마력장치 유지를 위한 도구 수집
保護守護水晶	Protect the Protection Crystal	수호의 수정 지키기
封印儀式專用祭壇	Sealing Altar	봉인 의식용 제단
沒有記錄的歷史	The History that Will Not Be Recorded	기록되지 않을 역사
保護普洛諾德崩壞裝置	Protect the Bluenode Collapsing Device	블로노드 붕괴장치 보호
收集巨大魔力源	Collect Monumental Magic Sources	거대 마력원 수집
啟動普利西德崩壞裝置	Activate the Flicid Collapsing Device	플리시드 붕괴장치 가동
和奎波爾斯卡伊娃交談	Talk to Kupole Scaia	큐폴 스카이아와 대화
啟動巴蘭達爾崩壞裝置	Activate the Ballandans Collapsing Device	발란디르 붕괴장치 활성화
消滅魔君魯希	Defeat Demon Lord Lucy	마군주 루시 처치
黑翼的影子	Shadow of the Black Wing	검은 날개의 그림자
破壞魔族次元門	Destroy Demon Dimensional Door	마족 차원문 파괴
追蹤吉特涅	Track down Giltine	길티네 추적
對抗魔神吉特涅	Confront Demon Goddess Giltine	마신 길티네에게 맞서기
消滅具備魔力信號的魔族	Defeat the demons carrying Magic Signals	마력 신호를 지닌 마족 처치
與難民布蘭登對話	Talk to Refugee Brandon	피난민 브랜든과 대화
到圖拉斯空地去收集白尾草	Collect Whitetailed Grass from Turas Lot	튜라스 공터에서 흰꼬리풀을 수집
連續陷阱	Traps and more traps	연이은 함정
消滅被陷阱困住的怪物	Deal with the trapped monsters	함정에 같이 갇힌 몬스터 처치
消滅變得殘暴的怪物	Deal with the violent monsters	난폭해진 몬스터 처치
從陷阱逃出	Getting out of the trap	함정에서 빠져나오기
與謎樣獵人的對話	Talk to the Mysterious Hunter	수수께끼 사냥꾼과의 대화
追蹤謎樣的獵人	Track the mysterious hunter	수수께끼의 사냥꾼을 추적하기
跟蹤謎樣的獵人	Track the mysterious hunter	수수께끼의 사냥꾼의 뒤를 쫓기
與謎樣的獵人對話	Talk with the mysterious hunter	수수께끼의 사냥꾼과 대화
和比爾黑爾馬斯對話	Talk to Vilhelmas	빌헬마스와 대화
消滅比爾黑爾馬斯指定的怪物	Defeat the monsters indicated by Vilhelmas	빌헬마스가 지정한 몬스터 처치
消滅附近的庫凱利	Defeat the Kugheri in the surrounding area	주변의 쿠게리 처치
繁複的準備過程	Complicated Preparations	까다로운 준비 과정
從庫凱利托特身上收集被刺激的毒袋子	Collect stimulated poison sacks from Kugheri Tots	쿠게리 토트에게서 자극받은 독주머니 수집
從比爾黑爾馬斯身上引誘出黃色烏頭花	Lead Vilhelmas to the Yellow Wolfsbane	빌헬마스를 노란 투구꽃으로 인도
從庫凱利蘇米身上收集麻醉藥	Collect paralysis poison from Kugheri Somys	쿠게리 소미에게서 마비약 모으기
將怪物趕到陷阱裡	To trap a beast	괴수를 함정으로 몰아넣기
在路口設置陷阱	Setting the trap	길목에 함정 설치
等待怪物	Waiting for the beast	괴수를 기다리기
跟在怪物後面	Pursuing the beast	괴수의 뒤를 쫓기
與怪獸的最後決戰	The Beast's Final Stand	괴수와의 마지막 결전
對怪物施加暴撃	Critically Wounding the Beast	괴수에게 치명상입히기
消滅怪物	Defeat the beast	괴수를 처치
和難民蜜莉亞對話	Talk to Refugee Mylija	피난민 밀리아와 대화
獲得葉豆精的果實豆	Obtain Leafnut Tailfruits	리프넛의 꼬리열매 획득
與難民克雷格對話	Talk to Refugee Greg	피난민 그렉과 대화
收集堅硬木棍	Collect Hard Wooden Sticks	단단한 나무막대 수집
接受兩位領主的協議內容	Getting the two lords to agree to talk	두 영주의 대화약속 받아내기
說服里烏達斯領主	Persuading Lord Ryudhas	리우다스 영주 설득하기
與領主里烏達斯對話	Talk to Lord Ryudhas	영주 리우다스와 대화
挖掘帕里堤斯草的根	Dig up Pystis Grass Roots	피스티스 풀의 뿌리 캐기
收集橘色克魯莫的腿	Collect Orange Grummer legs	주황 그루머의 다리 수집
在受雙傷的樹木下挖掘玩具箱子	Dig up the Toy Box from beneath the marked tree	상처있는 나무에서 장난감 상자 파내기
說服優庫巴斯領主	Persuade Lord Joquvas	요쿠바스 영주 설득하기
和領主優庫巴斯對話	Talk to Lord Joquvas	영주 요쿠바스와 대화
和羅貝勒塔對話	Talk to Roberta	로베르타와 대화
消滅紅色曼陀花獸	Defeat the Red Colimen	붉은 콜리멘 처치
到阿克梅尼斯湖邊的廢墟尋找盾牌	Search the ruins at Arcmnys Lake for the shield	아크메니스 호숫가의 폐허에서 방패 찾기
跟羅貝勒塔一起確認紀念碑	Go and check the Monument with Roberta	로베르타와 함께 기념비 확인
前往兩位領主間的會面場所	Go to where the two lords are having a conversation	두 영주 간의 회합장소로 찾아가기
跟隨兩位領主	Follow the two lords	두 영주의 뒤를 쫓기
把兩位領主從怪物手中救出	Save the two lords from the monsters	두 영주를 몬스터로부터 구하기
消滅威脅領主性命的怪物	Defeat the monsters attacking the two lords	영주들을 위협하는 몬스터 처치
與印德拉雅對話	Talk to Indraja	인드라야와 대화
收集席拉蒲公英的露水	Collect dew from Slya Dandelions	실라 민들레의 이슬 수집
消滅庫凱利扎巴與庫凱利奏伊尼	Defeat Kugheri Zeuni and Kugheri Zabbi in the surrounding area	쿠게리 자비와 쿠게리 저이니 처치
消滅庫凱利奏伊尼跟庫凱利扎巴	Defeat the Kugheri Zabbi and Zeuni	쿠게리 저이니와 쿠게리 자비 처치
從庫凱利扎巴掌握住魔族的指令書	Obtain more demon orders from the Kugheri Zabbi	쿠게리 자비로부터 마족의 지령서를 습득
消滅魔族巴爾泰力斯後回收王稜的箱子	Defeat Vhalterris and retrieve the Royal Mausoleum's chest	마족 발테리스를 처치하고 왕릉의 상자 회수
找出被魔法下咒的樹木啟動紋章的反應	Find the trees and see how the seal reacts	마법걸린 나무들을 찾아 문장 반응시키기
調查拉伊卡斯交叉路	Investigate Lykhas Crossroads	라이카스 교차로를 조사
靜候裝置反應	Observe the device's reaction	장치의 반응을 지켜보기
利用王家之紋章吸收 庫凱利的靈魂	Absorb Kugheri souls with the Royal Seal	왕가의 문장에 쿠게리의 영혼 흡수시키기
收集庫凱利努瑪尼的魔杖	Collect Kugheri Numani Staffs	쿠게리 누마니의 지팡이 수집
消滅庫凱利部族	Deal with the Kugheri Tribe	쿠게리 부족을 처치
消滅庫凱利部族	Deal with the Kugheri Tribe	쿠게리 부족 처치
與史基爾戈意拉對話	Talk to Skirgaila	스키르가일라와 대화
與觀看者交談	Talk to the Beholder	주시자와 대화
吸收暮色雙手劍休憩地的水晶石的魔力	Absorb magic from a Crystal stone in Prieblanda Rest Place	프리에블란다 쉼터의 수정석의 마력을 흡수
吸收萊堤斯空地水晶石的魔力	Absorb magic from a Crystal Stone in Lemtis Lot	렘티스 공터 수정석의 마력을 흡수
調查萊堤斯空地的水晶石	Investigate the Crystal Stone in Lemtis Lot	렘티스 공터의 수정석 조사하기
交叉路的水晶石	Crystal Stone in the crossroad	교차로의 수정석
吸收基普卡斯交叉路水晶石的魔力	Absorb magic from the Crystal Stone in Zibukas Crossroad	지부카스 교차로 수정석의 마력을 흡수
吸收魔法無效化工具的魔力	Absorb magic with a Magic Nullifying Tool	마법 무효화 도구에 마력 흡수
觀察交叉路的周圍	Investigate the area around the crossroad	교차로 주변을 살피기
消滅奇襲的怪物	Defeat ambushing demons	기습한 몬스터들 처치
和魔君蘇科姆戰鬥	Battle with Demon Lord Solcomm	마군주 솔콤과 전투
燒毀補給品寶箱	Burn the Supply Boxes	보급품 상자 태우기
調查基普卡斯交叉路	Investigate Zibukas Crossroad	지부카스 교차로 조사
焚燒交叉路上的補給品推車	Burn the supplies wagon at the crossroad	교차로에 있던 보급품 수레 소각
消滅藍扣 26水域一帶的魔族	Defeat demons around Lanko 26 Waters	란코 26수역 일대 마족들 처치
新人在哪裡	Where is the Recruit?	신입은 어디에
和亞普拉奧摩斯對話	Talk to Abraomas	아브라오마스와 대화
尋找新人的痕跡	Track down the recruit	신입의 흔적 찾기
尋找新人的行蹤	Look for the recruit	신입의 행방 찾기
尋找新人的線索	Looking for clues on the recruit	신입의 단서 찾기
和雷歐納勒達斯對話	Talk to Leonardas	레오나르다스와 대화
找出逃跑的蘇科姆	Find Solcomm	도망간 솔콤을 찾아내기
和魔君蘇科姆交談	Talk to Demon Lord Solcomm	마군주 솔콤과 대화
破壞那吉魯斯後院的水晶石	Destroy the crystal stone in Negilus Inner Court	네길루스 안뜰의 수정석 파괴
庭院的水晶石	Crystal stone in the garden	정원의 수정석
製作魔法消除炸彈	Craft a Magic Nullification Bomb	마법 제거 폭탄 제작
魔法消除炸彈	Magic Nullification Bomb	마법 제거 폭탄
破壞奧羅庭園的水晶石	Destroy the crystal stone in Oro Garden	오로 정원의 수정석 파괴
和蘇科姆交談	Talk to Solcomm	솔콤과 대화
啟動德雷格納思空地的自爆裝置	Activate the self-destruction device in Dregnas Lot	드래그나스 공터의 자폭 장치 작동
和蘇科姆戰鬥	Battle with Solcomm	솔콤과 전투
收集零件	Collect ingredients	부속물 모아오기
在倉庫尋找催化劑	Find catalysts from the storage	창고에서 촉매제 찾기
在箱子裡尋找魔法效果催化劑	Found a Magic Catalyst inside the box	상자 속에서 마법 효과 촉매제 찾기
組合蘊含湖水靈氣的樹液	Combine the Sap with the Lakeland Spirits	호수의 정기를 담은 수액 조합
向怪物確認樹液反應	Testing the sap on monsters	몬스터에게서 수액 반응 확인
消滅周圍的魔族與怪物	Defeat the surrounding demons and monsters	주변의 마족 및 몬스터 처치
傳說的證據	Marks of a Legend	전설의 흔적
和亞奎爾拉斯對話	Talk to Aquilas	아퀼라스와 대화
去跟亞奎爾拉斯對話吧！	Talk to Aquilas	아퀼라스와 대화하세요
採集周圍的植物	Gather vegetation from the surrounding area	주변 식물들 구하기
請幫助亞奎爾拉斯採集周圍的植物吧	Help Aquilas by gathering vegetation from the surrounding area	아퀼라스를 도와 주변에 있는 식물들을 채집하세요
與梅坎對話	Talk to Mechen	메켄과 대화
請與梅坎對話	Talk to Mechen	메켄과 대화하세요
和烏格尼斯對話	Talk to Woognis	우그니스와 대화
去跟烏格尼斯對話吧！	Talk to Woognis	우그니스와 대화하세요
取得比爾卡斯的發出臭味的毛	Gather foul smelling Vilkas fur	빌카스의 냄새 나는 털 구하기
搜索比爾卡斯的 棲息地	Search the Vilkas nest	빌카스의 서식지 수색
到凱依內渡口去找傑諾納斯	Find Jenonhas at Kainen Crossing	카이넨 나루터에서 제노나스 찾기
和傑諾納斯對話	Talk to Jenonhas	제노나스와 대화
去跟傑諾納斯對話吧！	Talk to Jenonhas	제노나스와 대화하세요
前往梅坎的營地去看看	Return to Mechen's camp	메켄의 캠프로 가보기
到梅坎的營地去阻止傑諾納斯吧！	Return to Mechen's camp and stop Jenonhas	메켄의 캠프로 가 제노나스를 말리세요
去跟造箭者大師對話吧！	Talk to the Fletcher Master	플레쳐 마스터와 대화하세요
取得洛姆貝爾努卡的魔力精髓	Obtain Romplenuka magic essence	롬펠누카의 마력 정수 구하기
取得比爾卡斯的 精髓	Obtain Vilkas essence	빌카스의 정수 구하기
利用造箭者之箭探測裝置取得造箭者之箭	Find the Flechette by using the Flechette Detection Device	플레세트 탐색 장치로 플레세트 찾기
請用完成的造箭者之箭探索裝置，尋找造箭者之箭吧	Find the Flechette with the Flechette Detection Device	완성된 플레세트 탐색 장치로 플레세트를 찾으세요
梅伊班的遺願	Maven's Wishes	메이번의 유지
和祭司林塔斯對話	Talk to Priest Lintas	사제 린타스와 대화
去跟祭司林塔斯對話	Talk to Priest Lintas	사제 린타스와 대화하세요
找尋變身魔法解除文件	Find the documents on dispelling transformation magic	변형 마법 해제 문서 찾아오기
請依怪物找回分散的解除變形魔法文件。	Retrieve the documents that have been scattered due to the monsters	몬스터에 의해서 흩어진 변형 마법 해제 문서를 되찾아오세요.
利用活力之球去取得寶珠	Find the Orb by using the Orb of Vigor	활력의 구로 활용해 보주 찾기
跟隨祭司林塔斯	Follow Priest Lintas	사제 린타스를 따라가기
與祭司林塔斯一起尋找卡杜梅爾國王	Find King Kadumel's Monument with Priest Lintas	사제 린타스와 함께 카듀멜 국왕의 기념비를 찾기
找尋美泰爾藥草	Gather Mittelly Herbs	미탤리 약초 구하기
取得比爾卡斯的閃亮亮皮膚	Obtain Vilkas's dry skin	빌카스의 바짝 마른 피부 구하기
燃燒蕨葉	Burn the bracken	고사리들 불태우기
利用探測器尋找卡杜梅爾國王的紀念碑	Find King Kadumel's Monument with the detector	탐지기로 카듀멜 국왕의 기념비를 찾기
去跟祭司林塔斯對話吧！	Talk to Priest Lintas	사레 린타스와 대화하세요
尋找卡杜梅爾國王第3個紀念碑碎片	Find fragmenst from King Kadumel's third Monument	카듀멜 국왕의 세번째 기념비 파편 찾기
除草作業	Weeding	제초 작업
與祭司奇達斯對話	Talk to Priest Kidas	사제 키다스와 대화
去跟與祭司奇達斯對話吧！	Talk to Priest Kidas	사제 키다스와 대화하세요
取得比爾卡斯的唾液腺	Gather Vilkas salivary glands	빌카스의 침샘 구하기
去見祭司布魯納斯	Find Priest Brunas	사제 브루나스 찾기
祭司布魯納斯對話	Talk to Priest Brunas	사제 브루나스와 대화
去跟祭司布魯納斯對話吧！	Talk to Priest Brunas	사제 브루나스와 대화하세요
回收造箭者之箭	Retrieve the Flechette	플레세트 회수하기
去回收造箭者之箭吧！	Retrieve the Flechette	플레세트를 회수하세요
與奧爾拉對話	Talk to Ohla	올라와 대화
去跟奧爾拉對話吧！	Talk to Ohla	올라와 대화하세요
去見里耶爾	Find Liel	리엘 찾기
尋找白樹林飛蛾的蟲蛹	Find White Tree Forest Moth Cacoons	흰나무숲 나방의 고치 찾기
把白樹林飛蛾的蟲蛹轉交給奧爾拉	Hand the Forest Moth Cocoons to Ohla	올라에게 흰나무숲 나방의 고치 전달
和柯提斯對話	Talk to Curtis	커티스와 대화
去跟柯提斯對話吧！	Talk to Curtis	커티스와 대화하세요
利用糧食來取得實用的物品	Find edible objects	식량으로 쓸만한 것 구해다 주기
製作柵欄修理工具需要的木材	Make the lumbers to reapir the stack stockades	방책 수리도구에 필요한 목재 만들기
修理柵欄	Repairing the barricade	방책 수리하기
取得普羅雷比的皮革	Gather Flowlon Leather	플로론의 가죽 구하기
取得蘭朵林草	Gather Randulin Grass	란둘린 초 구하기
回收零件布袋	Retrieve the Sacks of Cable Car Spare Parts	부품 자루 회수하기
消謬農耕地裡的怪物	Defeat monsters in the farm	농경지 안에 있는 몬스터 처치하기
聽見你的歌聲	I Can Hear You Singing	너의 노래소리가 들려
尋找隱約聽見的聲音	Follow the faint sound	어렴풋이 들리는 소리를 찾아가기
尋找知道該歌聲的人	Find someone who knows the song	노래소리를 알 법한 사람을 찾아가기
跟隨茵德蕾雅	Follow Indrea	인드레아 따라가기
和茵德蕾雅交談	Talk to Indrea	인드레아와 대화하기
收集亞迪的黃色汁液	Collect Atti Yellow Juice	아띠의 노란 즙액을 모으기
使用亞迪的黃色汁液取得泰雷希花粉	Use Yellow Juice to gather Teresh Pollen	아띠의 노란 즙액을 사용해 테레쉬 꽃가루 구하기
傾聽樹木發出的聲音	Listen to the sound from the tree	나무에서 들리는 소리를 듣기
跟隨茵德蕾雅	Follow Indrea	인드레아를 따라가기
製作樹梅汁	Craft Raspberry Juice	라즈베리 즙을 만들어서 구하기
使用散發樹梅香的樹枝引誘星星螢火蟲	Attract Starlights to the branches with the raspberry scent	라즈베리 향이 나는 나뭇가지로 별반딧불이 유인하기
和茵德蕾雅一起傾聽歌聲	Listen to the song with Indrea	인드레아와 함께 노래 소리를 듣기
依照歌詞行動	Do as the lyrics say	노래의 가사대로 행동하기
消滅出現的遠古石龜獸	Defeat Rocktortuga	나타난 락토르투가를 처치하기
思考歌詞後再行動	Follow the song's lyrics	노래 가사를 생각해 행동하기
請與茵德蕾雅交談。	Talk to Indrea	인드레아와 대화하세요.
和看似沒有主人的狗交談	Talk to the dog with no owner	주인 없는 보이는 개와 대화하기
跟著狗一起走	Follow the dog	개를 따라가기
前往那魯巴斯寺院	Go to Narvas Temple	나르바스 사원으로 가기
全神貫注	Creating Distractions	이목 집중
閱讀紙條	Read the instruction	메모지를 읽어 보기
取得思波勒奇莫花	Collect Sporgimo flowers	스포르기모 꽃 구하기
放置思波勒奇莫花	Place Sporgimo flowers	스포르기모 꽃 놓기
點燃思波勒奇莫花	Burn the placed Sporgimo flowers	스포르기모 꽃 불 태우기
移動到適合躲藏的地方	Go find a place to hide	몸 숨기기 좋은 장소로 이동하기
前往那魯巴斯寺院	Go to Narvas Temple	나르바스 사원으로 이동하기
突破魔族的防線	Go through the demons' defense line	마족들의 방어선 뚫기
消滅妨礙前往那魯巴斯寺院的怪物	Defeat monsters who are on your way	나르바스 사원으로 이동을 방해하는 몬스터를 처치
那魯巴斯寺院的防禦裝置	Narvas Temple's barrier	나르바스 사원의 방어막
與修道士艾斯堤司交談	Talk to Monk Aistis	수도사 아이스티스와 대화
收集魔族的精髓	Gather Demonic Essence	마족의 정수를 구하기
