凱帕	Kepa	케파
莎爾比亞斯森林	Salvia Forest	살비야스 숲
雷斯勃伊湖邊	Rasvoy Lake	래스보이 호숫가
瑟克塔森林	Sekta Forest	섹타 숲
修道院	Monastery	수도원
貝魯克堤廣場	Verkti Square	베르크티 광장
凱爾利斯地方	Kaliss Province	칼리스 지방
石化城	Petrified City	석화된도시
路克索那市場	Roxona Market	록소나 장터
露克立斯街道	Ruklys Street	루클리스 거리
市中心街道	Downtown	중심시가
內城地區	Inner Enceinte District	내성곽지구
大地要塞前哨區域	Sentry Bailey	대지의 요새 전초구역
大地要塞	Fortress of the Land	대지의요새
大地要塞對立的訓練場	Drill Ground of Confliction	대지의 요새 대립의 훈련장
大地要塞居住區域	Resident Quarter	대지의 요새 거주구역
大地要塞貯藏區域	Storage Quarter	대지의 요새 저장구역
大地要塞決戰地	Fortress Battlegrounds	대지의 요새 결전지
伊布雷高原	Ibre Plateau	이브레 고원
孤立高原	Isolated Plateau	고립고원
瑪當高原	Grand Yard Mesa	마당 고원
史班堤瑪斯遺址	Sventimas Exile	스벤티마스 유형지
卡杜梅爾絕壁	Kadumel Cliff	카듀멜 절벽
鋼鐵高原	Steel Heights	강철 고원
卡雷伊瑪斯接見所	Kalejimas Visiting Room	칼레이마스 접견소
監獄	Prison	감옥
卡雷伊瑪斯保管室	Storage	칼레이마스 보관실
卡雷伊瑪斯獨房區域	Solitary Cells	칼레이마스 독방구역
卡雷伊瑪斯作業場	Workshop	칼레이마스 작업장
卡雷伊瑪斯拷問所	Investigation Room	칼레이마스 심문실
培爾克神殿	Pelke Shrine Ruins	펠케 신전터
3Cm湖水	3cm Lake	삼센치호수
安森塔水源地	Absenta Reservoir	압셈타 수원지
巴林威爾85水域	Barynwell 85 Waters	바린웰 85수역
含星湖水	Starlit Lake	별깃든 호수
巴林威爾86水域	Barynwell 86 Waters	바린웰 86수역
巴林威爾87水域	Barynwell 87 Waters	바린웰 87수역
星之塔第1層	Astral Tower 1F	별의 탑 1층
星之塔	Astral Tower	별의 탑
星之塔	Astral Tower	별의탑
星之塔第4層	Astral Tower 4F	별의 탑 4층
星之塔第5層	Astral Tower 5F	별의 탑 5층
星之塔第20層	Astral Tower 20F	별의 탑 20층
星之塔第21層	Astral Tower 21F	별의 탑 21층
外城壁 第 11區域	Outer Wall District 11	외성벽 제 11구역
國王直轄領	Kingdom Territory	국왕 직할령
城堡野外	Castle Field	캐슬필드
內城壁 第 10區域	Inner Wall District 10	내성벽 제 10구역
外城壁 第 13區域	Outer Wall District 13	외성벽 제 13구역
外城壁 第 14區域	Outer Wall District 14	외성벽 제 14구역
外城壁 第 15區域	Outer Wall District 15	외성벽 제 15구역
中心城壁 第 10區域	City Wall District 10	도심성벽 제 10구역
中心城壁 第 11區域	City Wall District 11	도심성벽 제 11구역
內城壁 第 13區域	Inner Wall District 13	내성벽 제 13구역
中心城壁 第 12區域	City Wall District 12	도심성벽 제 12구역
外城壁 第 16區域	Outer Wall District 16	외성벽 제 16구역
坦尼爾1世紀念區	Taniel I Commemorative Orb	타니엘 1세 기념구
廢都 104	Closed Town 104	폐도 104
巴爾堤內紀念區	Baltinel Memorial	발티넬 기념구
克利黑爾紀念區	Gliehel Memorial	글리헬 기념구
普利內爾紀念區	Frienel Memorial	프리넬 기념구
廢都地下城108	Closed Dungeon 108	폐도던전108
廢都地下城	Fallen City Dungeon	폐도던전
廢都地下城119	Closed Dungeon 119	폐도던전119
廢都地下城110	Closed Dungeon 110	폐도던전110
廢都地下城111	Closed Dungeon 111	폐도던전111
廢都地下城112	Closed Dungeon 112	폐도던전112
愛梅特森林	Emmet Forest	에메트 숲
白樹林	White Tree Forest	흰나무숲
皮斯堤斯森林	Pystis Forest	피스티스 숲
紅楓森林	Maple Forest	단풍숲
希拉森林	Syla Forest	실라 숲
梅沙帕瑟拉	Mesafasla	메사파슬라
史圖卡斯高原	Stogas Plateau	스토가스 고원
克里那斯林間小路	Grynas Trails	그리나스 숲길
卡汀森林	Kateen Forest	카틴숲
克里那斯修練場	Grynas Training Camp	그리나스 수련장
克里那斯丘陵地	Grynas Hills	그리나스 구릉지
克林卡的莊園	Greene Manor	그린가의 장원
農場地帶	Farm Area	농장지대
夏頓農場	Shaton Farm	샤튼 농장
夏頓蓄水區	Shaton Reservoir	샤튼 저수구역
隱居者的通道	Passage of the Recluse	은둔자의 통로
地下通道	Underground Passage	지하통로
地下通道 3	Underground Passage 3	지하통로 3
謬樂斯通道	Mullers Passage	뮬러스 통로
地下通道 4	Underground Passage 4	지하통로 4
希艾那卡爾墓園	Sienakal Graveyard	시에나칼 묘역
比爾堤斯森林	Viltis Forest	빌티스 숲
克拉德丘陵路	Glade Hillroad	글라데 언덕길
拉烏基美濕地	Laukyme Swamp	라우키메 저습지
堤拉修道院	Tyla Monastery	틸라 수도원
卡魯艾平野	Galeed Plateau	갈르엣 평야
帕薩卡峽谷	Fasika Plateau	파사카 협곡
努歐路汀瀑布	Nuoridin Falls	누오로딘 폭포
那穆寺院	Namu Temple Ruins	나뮤 사원터
伊斯托拉遺跡地	Istora Ruins	이스토라 유적지
瑪那哈斯	Manahas	마나하스
凱那魯平原	Genar Field	게나르 평원
未使用-夏奧雷伊東邊森林-past	Unused-Siauliai	미사용-샤울레이 동쪽 숲-past
奇堤斯的開墾地	Gytis Settlement Area	기티스의 개척지
萊塔斯小溪邊	Letas Stream	레타스 개울가
密室	Secret Room	밀실
箭路	Arrow Path	화살길
刀光盆地	Bladelight Basin	칼빛 분지
佩勒圖里丘陵	Feretory Hills	페레토리 구릉
蘇塔提斯貿易路	Sutatis Trade Route	수타티스 교역로
摩奇亞森林	Mochia Forest	모치아 숲
丁古帕斯地區	Dingofasil District	딩고파실 지구
住處	Lodge	숙소
烈焰法師房間	Pyromancer Room	파이로맨서 룸
宴會場	Banquet Hall	연회장
酒店	Pub	주점
開放地區	Opening Zone	오프닝 존
救出拉伊瑪	Laima Directing	라이마 연출
公會任務	Guild Mission	길드 미션
登入畫面	Login Screen	로그인 화면
測試2	Test 2	테스트2
測試區2	Test Zone	테스트존2
黑色地區	Black Zone	블랙존
BOSS區	Boss Zone	보스 존
測試	Test	테스트
任務_測試	Mission_test	미션_테스트
迷你遊戲區	Mini Game Zone	미니게임 존
1小時別任務測試1	Mission Test per Hour 1	1시간별 미션 테스트1
任務_測試2	Mission Test 2	미션_테스트2
測試區3	Test Zone 3	테스트존3
奪旗	Capture the Flag	깃발뺏기
夏奧雷伊遠征隊	Siauliai Raid	샤울레이 레이드
任務	Mission	미션
水晶礦山遠征隊	Crystal Mine Raid	수정광산 레이드
地下墓穴遠征隊	Catacombs Raid	카타콤 레이드
荊棘林遠征隊	Thorn Forest Raid	가시숲 레이드
峽谷地帶任務	Canyon Area Mission	협곡지대 미션
王陵任務	Royal Mausoleum Mission	왕릉 미션
魔法師之塔 任務	Mage Tower Mission	마법사의 탑 미션
聖堂任務	Cathedral Mission	성당 미션
七彩谷任務	Seven Valley Mission	칠채곡 미션
凱利高原任務	Gele Plateau Mission	겔리고원 미션
凱帕軍團	Kepa Army	케파 군단
刀刃誓約傭兵團的能力證明	Pledge of the Blade Certificate	칼날서약 용병단의 능력 증명
大地之塔	Earth Tower	대지의 탑
研究室	Laboratory	연구실
攻城戰	Siege	공성전
無限地圖	Infinite Map	무한맵
隊伍戰鬥聯賽	Team Battle League Tournament	팀 배틀 리그 토너먼트
隊伍戰鬥聯盟	Team Battle League	팀 배틀 리그
廢都 18_1	Closed Town 18_1	폐도 18_1
廢都	Petrified City	폐도
廢都 18_2	Closed Town 18_2	폐도 18_2
中心城壁 第 3區域	City Wall District 3	도심성벽 제 3구역
城堡地下城	Castle Dungeon	캐슬던전
中心城壁 第 4區域	City Wall District 4	도심성벽 제 4구역
外城壁 第 9區域	Outer Wall District 9	외성벽 제 9구역
內城壁 第 9區域	Inner Wall District 9	내성벽 제 9구역
內城壁 第 8區域	Inner Wall District 8	내성벽 제 8구역
中心城壁 第 8區域	City Wall District 8	도심성벽 제 8구역
杰洛梅爾公園	Jeromel Park	제로멜 공원
尤那耶爾紀念區	Jonael Commemorative Orb	요나엘 기념구
尤德伊安森林	Yudejan Forest	유데이안 숲
諾貝禮爾森林	Nobreer Forest	노브리어 숲
泰雷希森林	Teresh Forest	테레쉬 숲
泰凱爾避難地	Tekel Shelter	테켈 피난지
伊祖兒拉恰高原	Izoliacjia Plateau	이졸라챠 고원
那魯巴斯寺院	Narvas Temple	나르바스 사원
那魯巴斯寺院別館	Narvas Temple Annex	나르바스 사원 별관
沙烏席斯9館	Sausis Room 9	사우시스 9관
幻想圖書館	Fantasy Library	환상도서관
沙烏席斯10館	Sausis Room 10	사우시스 10관
巴蘭迪斯2館	Valandis Room 2	발란디스 2관
巴蘭迪斯3館	Valandis Room 3	발란디스 3관
巴蘭迪斯91館	Valandis Room 91	발란디스 91관
巴林威爾27水域	Valandis Room 27	바린웰 27수역
梅伊班31水域	Maven 31 Waters	메이번 31수역
梅伊班32水域	Maven 32 Waters	메이번 32수역
紅楓森林 24_1	Maple Forest 24_1	단풍숲 24_1
紅楓森林 24_2	Maple Forest 24_2	단풍숲 24_2
紅楓森林 24_3	Maple Forest 24_3	단풍숲 24_3
娜圖森林	Nheto Forest	네토 숲
史巴賓嘉斯森林	Svalphinghas Forest	스팔빈가스 숲
娜塔勒森林	Lhadar Forest	라다르 숲
緹玫勒斯寺院	Timerys Temple	티메리스 사원
米雪勘森林	Mishekan Forest	미쉐칸 숲
大地要塞露克立斯殿堂	Ruklys Hall of Fame	대지의 요새 루클리스 전당
大地要塞擴張區域	Extension	대지의 요새 확장구역
大地要塞避難居住區	Evacuation Residential District	대지의 요새 피난거주구
沿岸要塞	Coastal Fortress	연안요새
克蘭托沿岸	Cranto Coast	크란토 연안
珊瑚平原	Coral Plains	산호평원
伊基提沿岸	Igti Coast	이기티 연안
貝拉伊森林	Bellai Rainforest	벨라이 숲
巨大水果樹	Great Fruit Forest	거대과일숲
世伊魯森林	Seir Rainforest	세이르 숲
阿勒篾森林	Alemeth Forest	알레멧 숲
潔拉哈	Zeraha	제라하
巴勒哈森林	Barha Forest	바르하 숲
那哈斯森林	Nahash Forest	나하스 숲
貝拉沿岸	Vera Coast	베라 연안
艾爾高斯修道院別館	Elgos Monastery Annex	엘고스 수도원 별관
艾爾高斯修道院本院	Elgos Abbey Main Building	엘고스 수도원 본원
拜頓堤斯神堂	Videntis Shrine	바이덴티스 신당
摩克瑟墓室	Mokusul Chamber	모크슬 묘실
第2魔族收監所	2nd Demon Prison	제2 마족수감소
魔族收監所	Demon Prison	마족수감소
傑泰歐海岸	Zeteor Coast	제테오 해안
亞伊泰歐海岸	Iotheo Coast	아이테오 해안
耶沛羅塔歐海岸	Epherotao Coast	에페로타오 해안
泰芙林 鐘乳洞 1區域	Tevhrin Stalactite Cave Section 1	테브린 종유동 1구역
鍾乳洞窟	Limestone Cave	종유동굴
泰芙林 鐘乳洞 2區域	Tevhrin Stalactite Cave Section 2	테브린 종유동 2구역
泰芙林 鐘乳洞 3區域	Tevhrin Stalactite Cave Section 3	테브린 종유동 3구역
泰芙林 鐘乳洞 4區域	Tevhrin Stalactite Cave Section 4	테브린 종유동 4구역
泰芙林 鐘乳洞 5區域	Tevhrin Stalactite Cave Section 5	테브린 종유동 5구역
魔族收監所第1區	Demon Prison District 1	마족수감소 1구역
魔族收監所第2區	Demon Prison District 2	마족수감소 2구역
魔族收監所第4區	Demon Prison District 4	마족수감소 4구역
魔族收監所第3區	Demon Prison District 3	마족수감소 3구역
魔族收監所第5區	Demon Prison District 5	마족수감소 5구역
阿爾蘭必洞窟	Alembique Cave	알렘빅 동굴
科諾特樹林	Khonot Forest	코노트 숲
蕨葉森林	Bracken Forest	고사리숲
嘉瑪遜森林	Khamadon Forest	카마돈 숲
艾勒克斯森林	Arcus Forest	아르커스 숲
帕瑪勒森林	Phamer Forest	파마르 숲
集布理納斯森林	Ziburynas Forest	지부리나스 숲
莫羅凱歐森林	Mollogheo Forest	몰로게오 숲
特南茲農場	Tenants' Farm	테넌츠 농장
水路橋地區	Aqueduct Bridge Area	수로교 지역
密魯奇堤農場	Myrkiti Farm	미르키티 농장
貝達高原	Vedas Plateau	베다 고원
藍扣 26水域	Lanko 26 Waters	란코 26수역
藍扣 22水域	Lanko 22 Waters	란코 22수역
廢都 53_1	Closed Town 53_1	폐도 53_1
國王直轄領	Royal Territory	국왕직할령
道具地下城	Item Dungeon	아이템 던전
王陵勞役者宿舍	Royal Mausoleum Workers Lodge	왕릉 노역자 숙소
王陵建築者禮拜堂	Royal Mausoleum Constructors' Chapel	왕릉 건축자 예배당
王陵裝載所	Royal Mausoleum Storage	왕릉 적재소
衰微的勒肯家門宅邸	Residence of the Fallen Legwyn Family	쇠락한 르귄가문의 저택
路克索那重建團西館	Roxona Reconstruction Agency West Building	록소나 재건단 서관
路克索那重建團東館	Roxona Reconstruction Agency East Building	록소나 재건단 동관
衰微的勒肯家門的地下城	Fallen Legwyn Family Dungeon	쇠락한 르귄가문의 던전
大魔法師之塔	Archmage Tower Dungeon	대마법사의 타워
亞夏克地牢1層	Ashaq Underground Prison 1F	아샤크 지하 감옥 1층
亞夏克地牢2層	Ashaq Underground Prison 2F	아샤크 지하 감옥 2층
亞夏克地牢3層	Ashaq Underground Prison 3F	아샤크 지하 감옥 3층
遺跡地帶地下城	Area of Ruins Dungeon	유적지대 던전
藤蔓森林地下城	Vine Forest Dungeon	덩굴 숲 던전
荊棘林地下城	Thorn Forest Dungeon	가시숲 던전
庫魯森林	Koru Jungle	코루 숲
克尼多斯森林	Knidos Jungle	크니도스 숲
諾巴哈公會所	Novaha Assembly Hall	노바하 공회소
諾巴哈別館	Novaha Annex	노바하 별관
諾巴哈本院	Novaha Institute	노바하 본원
德慕爾佃農村	Delmore Hamlet	델무어 소작촌
德慕爾莊園	Delmore Manor	델무어 장원
德慕爾外城	Delmore Outskirts	델무어 외성
內貝爾雷礦山1層	Nevellet Quarry 1F	네밸랫 광산 1층
內貝爾雷礦山2層	Nevellet Quarry 2F	네밸랫 광산 2층
托培斯碉堡1層	Topes Fortress 1F	토페스 보루 1층
托培斯碉堡2層	Topes Fortress 2F	토페스 보루 2층
西卡里歐斯1層	Sicarius 1F	시카리오스 1층
西卡里歐斯 2層	Sicarius 2F	시카리오스 2층
地下墓穴地下城2	Underground Catacombs Dungeon2	카타콤 지하 던전2
深幽的地下監獄地下城	Deep Underground Prison Dungeon	깊숙한 지하감옥 던전
魔法師之塔公會任務	Mage Tower Guild Mission	마법사의 탑 길드 미션
公會活動	Guild Event	길드이벤트
荊棘林公會任務	Thorn Forest Guild Mission	가시숲 길드 미션
王陵公會任務	Royal Mausoleum Guild Mission	왕릉 길드 미션
峽谷地帶公會任務	Canyon Belt Guild Mission	협곡지대 길드 미션
魔族收監所公會任務	Demon Prison Guild Mission	마족수감소 길드 미션
心願碑石路地下城	Monument of Desire Dungeon	염원의 비석로 던전
空虛的荊棘林	Hollow Thorn Forest	공허의 가시숲
魔法師的塔副本	Mage Tower Instanced Dungeon	마법사의 탑 인던
統合公會戰鬥	Regional Guild Battle	통합 길드배틀
暗屬性副本	Darkness Property Instanced Dungeon	암속성 인던
持續性副本	Ground Property Instanced Dungeon	지속성 인던
高地防守	Uphill Defense	업힐 디펜스
地瑪蘇高特	Zima Suecourt	지마 수코트
馬勒托斯貯藏室	Martuis Storage Room	마르튀스 저장실
路克索那地下設施任務	Roxona Underground Facility Mission	록소나 지하시설 미션
莎勒斯修女院城堡任務	Saalus Convent Castle Mission	살러스 수녀원 캐슬 미션
礦山任務	Mine Mission	광산 미션
修道院任務	Monastery Mission	수도원 미션
湖水任務	Lake Mission	호수 미션
修女院記錄室任務	Convent Scriptorium Mission	수녀원 기록실 미션
Battle Rumble	Battle Rumble	배틀럼블
塔博勒洞窟	Tavorh Cave	타보르 동굴
納坤監獄	Narcon Prison	나콘 감옥
那塔荷瞭望台	Natarh Watchtower	나타흐 망루
納札雷諾塔	Nazarene Tower	나자레느 탑
達代納伊收監所	Tatenye Prison	타테나이 수감소
魔宗收監所	Demonic Prison	마종 수감소
內伊普特聖堂東館	Neighport Church East Building	네이포트 성당 동관
夏萊捷墓室	Sjarejo Chamber	샤레저 묘실
內坦梅爾雷克陵墓	Netanmalek Mausoleum	네탄멜레크 영묘
雷恩希特迷路	Rancid Labyrinth	랜시드 미로
貝爾倫安姆屯駐地	Balaam Camp Site	밸러암 주둔지
迷克瑪希寺院	Michmas Temple	미크마쉬 사원
貝爾庫波護衛遠征隊	velcoffer Gard Raid	벨코퍼 가드 레이드
遠征隊	Raid	레이드
鐘乳洞窟 71_2	Limestone Cave 71_2	종유동굴 71_2
鐘乳洞窟 71_1	Limestone Cave 71_1	종유동굴 71_1
斯爾利那斯雷歐	Sulivinas Lair	슬리비나스 레어
萬聖節地下城	Halloween Dungeon - Creepy Klaipeda	할로윈 던전
查卡利斯	Zacaras	자카리스
力塔斯	Litas	리타스
痛苦的魔法石	Magic Stone of Pain	고통의 마법석
哈勃克開始破壞設施	Hauberk has begun to destroy the equipment	하우벅이 시설을 파괴하기 시작했어요
我會按照總部說的做	As you command	본부대로 하겠습니다
我怎麼敢背叛多疑的哈勃克...？	I would never dare to betray the mighty Hauberk	제가 어떻게 감히 의심의 하우벅님을 배신하겠습니까..?
怎麼鬧哄哄的？	What is this fuss about?	왠 소란이냐?
靈魂加工器	Spirit Engine	영혼 가공기
修道士靈魂	Monk's Soul	수도사 영혼
拜託結束這個痛苦	Finish this pain	이 고통을 끝내줘
儲存裝置解除	The Storage Device has been deactivated	보관 장치가 해제됐습니다
弗羅里的法杖	Agailla Flurry's Staff	플러리의 지팡이
修道士艾斯堤司開始改造設施	Monk Aistis has begun to change the equipment	수도사 아이스티스가 시설을 개조하기 시작했습니다
改造完成	Finished changing the equipment	개조를 끝냈습니다
欺瞞的	Deception	기만의
多疑的	Suspicion	의심의
野心的	Ambition	야망의
請把亞佳伊拉弗羅里告訴您的事都傳達給欺瞞的哈勃克	Tell Deception Hauberk what you have learned from Agailla Flurry	아가일라 플러리가 일러준 대로 기만의 하우벅에게 전달하세요
該如何壓制剩下的傢伙？	How do I get rid of the rest	나머지 녀석들을 어떻게 제압을 하지
創造物	Kreutzer	크로이처
祈禱室裝置	Prayer Room Device	기도실 장치
到底這是什麼事情？	What has happened?	도대체 이게 무슨 일인가?
德伊曼塔斯	Deymantas	데이만타스
祭司 多米尼克斯	Priest Dominikas	사제 도미니카스
神聖力1	Divine Energy1	신성력1
神聖力2	Divine Energy2	신성력2
神聖力3	Divine Energy3	신성력3
神聖力4	Divine Energy4	신성력4
神聖力5	Divine Energy5	신성력5
神聖力6	Divine Energy6	신성력6
神聖力7	Divine Energy7	신성력7
神聖力8	Divine Energy8	신성력8
神聖力朝祭壇而去	The divine energy is going towards the altar	신성력이 제단으로 가고 있어요
充滿神聖力的精髓	Essence containing divine energy	신성력이 깃든 정수
巴伊寶拉的庫魯消失了。	Vaivora Koru has disappeared	바이보라의 코루가 사라졌습니다
正好可以確認從檢體裡抽出的東西	It's time to check what we've extracted from the test subjects	실험체에서 뽑은 것들을 확인 할 때네요
拜託千萬要病發啊	I hope that this works	제발 병이 발병되길
(造箭者之箭取代模型)	(Flechette model)	(플레세트 대체 모델)
沒錯	Yes	맞아
我和這裡的人為了尋找紀念碑將一起前往上方。	I'll go to the North with this person to find the Monument	난 여기 계신 분과 함께 기념비를 찾으러 위쪽으로 가겠네
我們會去下方尋找紀念碑	We'll head South to see if there is a Monument	우린 아래쪽으로 가 기념비를 찾겠네
這些蕨葉孢子是怎麼回事	What are these bracken spore	이 고사리 포자들은 뭐야
拉舒？	Laswi?	라쉬?
你還好吧？	Are you okay?	너 괜찮아?
村民們都去哪裡？	Where are all the villagers?	마을 사람들은 전부 어디로 갔어?
羅潔	Rose	로제
巨大化的蕨葉	Giant Bracken	거대화된 고사리
珍	Jane	제인
保存魔法陣	Magic Field of Preservation	보존 마법진
暗黑追蹤者	Black Chaser	검은 추적자
封印的空間魔石	Sealed Spatial Magic Gem	봉인된 공간마석
邪教徒 亞武努斯	Heretic Jaonus	사교도 야우뉴스
邪教徒 科斯塔斯	Heretic Costas	사교도 코스타스
被封印在隱藏之房的惡靈君主覺醒了。	The Specter Lord that had been sealed in the hidden room has awoken	숨겨진 방에 봉인되어있던 스펙터 군주가 깨어났습니다
沉默之甕	Pot of Silence	침묵의 항아리
肉身契約陣	Contract of Flesh	육신의 계약진
地下中央結界	Underground Central Barrier	지하 중앙 결계
傑斯堤在哪裡呢？	Where is Gesti?	제스티는 어디에 있지?
這裡就交給你了。	I'll leave this place to you	여긴 네게 맡기마
中央祭壇	Central Altar	중앙 제단
史班圖貝中央祭壇	Sventove Central Altar	스벤토베 중앙 제단
女神的啟示	Revelation of the Goddess	여신의 계시
顯得溫暖的光線	Golden Dog	따스해 보이는 빛
梅米爾雷經堂講台	Meile Oratorium Platform	메밀레 경당 단상
法杖碎片	Staff Fragment	지팡이 파편조각
貝伊尼卡祭壇	Karuna Altar	베이니카 제단
虔誠的祭壇	Altar of Knowledge	지성의 제단
祕密的雕像	Secret Statue	비밀의 조각상
大教堂燭台	Great Cathedral Candlestick	대성당 촛대
結界燭台	Barrier Candlestick	결계 촛대
未完成魔法陣	Incomplete Magic Circle	미완성 마법진
影像	Video	영상
村長 姆傑	Mayor Moze	촌장 모제
請消滅占領祭壇的克雷比爾。	Defeat the Crabil that is occupying the altar	제단을 점령하고 있는 크래빌을 물리치세요
繼承者開始儀式	The Loremasters have begun their ritual	전승자들이 의식을 시작합니다
尼莫拉公爵好像在建立魔法陣做些什麼	The Nimrah Duke seem to be making a magic circle to try something	니므라듀크들이 마법진을 만들고 무언가 하고 있는 것 같습니다
請把保護魔法陣的尼姆拉族全部打倒	Defeat all the Nimrah that are protecting the magic circle	마법진을 지키는 니므라족을 모두 물리치세요
魔族的魔法陣	Demon magic circle	마족의 마법진
巴勒族正透過傳點進入	The Varle are coming from the other side of the portal	바를족이 포탈을 통해 넘어오고 있습니다
周圍的巴勒族攻過來了	The nearby Varle being to attack	주변에 있던 바를족이 공격해옵니다
魔族正透過傳點進入	The demons are coming through the portal	마족들이 포탈을 통해 넘어오고 있습니다
在我破壞裝置的期間拜託您了	Please defend me for a while until I destroy the device	장치를 파괴할 동안 부탁드리겠습니다
啟示者正和魔族交戰	The Revelators are fighting the demons	계시자들이 마족과 싸우고 있습니다
繼承者魯克	Loremaster Reuke	전승자 르크
啟示者奧托	Revelator Ottor	계시자 오터
請停一下。	Stop	멈추세요
有事要跟你們商量	There is something that I must discuss with you	여러분과 의논할 일이 있습니다
請靠近一點。	Please gather closely	가까이 와주세요
守護水晶	Crystal of Protection	수호의 수정
請消滅神殿射手	Defeat the Templeshooter	템플슈터를 처치하세요
普洛諾德崩壞裝置	Bluenode Collapsing Device	블로노드 붕괴장치
請保護普利西德崩壞裝置	Protect the Flicid Collapsing Device	플리시드 붕괴장치를 보호하세요
普利西德崩壞裝置	Flicid Collapsing Device	플리시드 붕괴장치
巴蘭達爾崩壞裝置	Ballandans Collapsing Device	발란다르 붕괴장치
巴拉諾思崩壞裝置	Ballanos Collapsing Device	발라노스 붕괴장치
請破壞魔族次元門！	Destroy the Demon Dimensional Door	마족 차원문을 파괴하세요!
魔族次元門	Demon Dimensional Door	마족 차원문
巨大魔族次元門	Massive Demon Dimensional Door	거대 마족 차원문
吉特涅	Giltine	길티네
倉庫管理員農民	Storage Keeper Farmer	창고지기 농민
男爵的倉庫	Baron's Storage	남작의 창고
睡醒的巨魔蠍	Awakened Scorpio	잠 깬 스콜피오
夏頓家士兵隊長	Shaton Soldier General	샤튼가 사병대장
夏頓家士兵	Shaton Soldier	샤튼가 사병
夏頓家傭兵隊長	Shaton Family Mercenary Chief	샤튼가 용병대장
時間萬花筒	Kaleidoscope of Time	시간의 만화경
那我們也要去嗎？	Shall we move then?	그럼 우리도 가볼까?
石化探測器	Petrification Detector	석화탐지기
什麼騷亂？	What's the fuss?	무슨 소란이지?
什麼啊！那傢伙！	What is that?	뭐야 저 녀석!
什麼聲音？	What is that sound?	무슨소리지?
北邊警備兵	Northern Guards	북은 경비병
完成用觸發器	Trigger for the completion	완료용 트리거
微弱石化霜	Faint Petrifying Frost	미약한 석화서리
微弱的石化霜	Fainted Petrifying Frost	미약한 석화 서리
第1移動裝置	1st Transport Magic Circle	제1 이동장치
第2移動裝置	2nd Transport Magic Circle	제2 이동장치
請消滅覬覦防禦膜啟動裝置的火焰蜥蜴王！	Defeat Salamanders that are going after Protective Shell activating the device	방어막 가동 장치를 노리는 샐러맨더를 처치하세요!
火花融合器	Flame Fusion Machine	불꽃 융합기
魔力調節閥門	Magic Control Valve	마력 조절 밸브
自爆裝置	Self-destruction Device	자폭 장치
對面的水晶石被破壞，那也是你幹的嗎？	Were you also the one who broke the Crystal Stone over there?	건너편의 수정석이 파괴된 것도 네가 한 것이냐.
村民們一湧而上，水螅逃走了。	The Hydra ran away as soon as the villagers rushed in	마을 사람들이 몰려들자 히드라는 도망쳤습니다
沒關係嗎？	Are you okay?	괜찮아?
那巨大的東西是水螅？	Is that the Hydra?	저렇게 큰 게 히드라라고?
又是你這傢伙？	You again?	또 네 놈인가?
因為突如其來的圖拉漢攻擊，奧施莉奈的痕跡被奪走了。	You have lost Ausrine's mark because of the Dullahan's sudden attack	갑작스러운 듀라한의 공격에 아우슈리네의 흔적을 빼앗겼습니다
你真的以為違抗傑斯堤大人還能平安無事嘛！	Do you really think you can disobey Gesti and live?	정말로 제스티님을 거스르고도 무사할 거라고 생각하는가!
魔君主迪耶那似乎已經回收了痕跡。	It seems as if Demon Lord Diena has already retrieved the mark	마군주 디에나가 이미 흔적을 회수한 것 같습니다
魔君主迪耶那攻過來了。	Demon Lord Diena is attacking	마군주 디에나가 공격해옵니다
魔君主迪耶那的狀態有點奇怪。	Demon Lord Diena seems to be acting strangely	마군주 디에나의 상태가 이상합니다
波亞塔的巢穴	Poata's Nest	포아타의 보금자리
年幼潘圖們回去找卡普里亞。	The Baby Pantos are returning to Capria	새끼 판토들이 카프리아에게 돌아갑니다
因為已破壞的圖騰，希默普好像非常生氣。	Destroying the totem made Simorph angry	파괴된 토템 때문에 시모프가 많이 화난 것 같습니다
小蜂箱	Small Hive	작은 벌통
受傷的村民	Injured Villager	부상당한 마을 사람
奴克尼亞祭壇	Nugria Altar	누그리아 제단
池塘汙染源1	Corrupted Pond 1	연못 오염원1
女神夏歐雷	Goddess Saule	여신 샤울레
束縛魔法陣	Binding Magic Circle	구속 마법진
夏歐雷女神	Goddess Saule	샤울레 여신
廢棄的祭壇	Abandoned Altar	버려진 제단
魔力凝聚區	Magic Concentration Orb	마력 응집구
魔力感應區	Magic Sensing Region	마력 감지 구역
魔力分解柱子	Magic Dispel Tower	마력 분해 기둥
患者	Patient	환자
殺死士兵的觸發器	Trigger to kill soldiers	병사죽이는 트리거
礦山管理所長	Mine Manager	광산 관리소장
請消滅鬼影凱伊洛！	Defeat Shadowgaler	섀도게일러를 처치하세요!
米諾牛頭怪	Minotaur	미노타우르스
草堆中散發著邪惡氣息。	The grass is emitting an evil energy	풀더미에서 사악한 기운이 뿜어져 나옵니다
非凡的布貝鬥士	Remarkable Vubbe Fighter	비범한 부베 투사
請擊退銀色獅身鷹首獸證明你的實力。	Defeat the Silva Griffin and prove your skills	실바그리핀을 물리치고 실력을 증명하세요
練習台	Pell	연습대
有什麼事情嗎？	What's the occasion?	무슨 일인가?
弗萊徹工房院	Fletcher's Workshop	플래쳐 공방원
都去死吧	All will die	다 죽을거야
狂熱者試驗裝置	Zealot Trial Device	질럿 시험장치
油箱	Oil Boxes	기름 상자
