警戒兵	Sentinel	경계병
拿出啟示	Show the revelation	계시를 보여 준다
尋找薩勒女神	Searching for Goddess Saule	사울레 여신을 찾아서
我會去淨化池塘	I'll purify the pond	연못을 정화해주겠다고 한다
試著思考其他方法	Think of another way	다른 방법을 생각해 본다
關於薩勒女神	About Goddess Saule	사울레 여신에 대해
請利用纜車移動到對面的茲貝澤空地	Use the cable car to move to across Zvelgian Vacant Lot	케이블카를 이용하여 건너편의 즈벨쟌 공터로 이동하세요
請去淨化神聖的池塘	Purify the Holy Pond	신성한 연못을 정화하러 가세요
淨化神聖的池塘	Purify the Holy Pond	신성한 연못 정화
淨化中	Purifying	정화하는 중
搜索消失的村民	Search for the Missing Villager	사라진 마을 주민 수색
我要去尋找村民	I'll look for him	마을 주민을 찾아 보겠다고 한다
確認傳點的啟動狀態	Checking the Portal	포탈 작동 확인
我會幫忙去一趟聖所	I'll check the sanctum for you	대신 성소에 다녀 오겠다고 한다
擔心傷口	Worry about the wound	상처를 걱정한다
關於傳點	About the portal	포탈에 대해
傳點無法啟動	The portal is not working	포탈이 작동하지 않습니다
奴葛里亞聖所的莫亞班羅喀	Nugria Sanctum's Moyabruka	누그리아 성소의 모야브루카
清除貝伊特瑪上坡路的汙染源	Removing Pollutants in Veidma Uphill	베이드마 오름길의 오염원 제거
神聖的池塘的蒙雷幾那	Holy Pond's Merregina	신성한 연못의 머레지나
危機的少女	Girl in Danger	위기의 소녀
機會與準備	Oppotunity and Preparation	기회와 준비
我會去負責去取得物品	I'll find what you want	원하는 것을 구해 오겠다고 한다
蓋上書本	Close book	책을 덮는다
我會很感謝地收下	I appreciate it	감사히 받겠다고 한다
用鑰匙開箱子中	Opening the chest with the key	열쇠로 상자 여는 중
芝麻開門(1)	Open Sesame (1)	열려라 참깨(1)
我會去尋找線索，給我提示吧	I'll find the clue so give me a hint	단서를 찾아 올 테니 힌트를 달라고 한다
芝麻開門(2)	Open Sesame (2)	열려라 참깨(2)
我會解開謎題	I'll solve the riddle	수수께끼를 풀겠다고 한다
無止盡的委託(3)	Unfinished Commission (3)	끝나지 않은 의뢰(3)
我要去尋找遺物	I'll find the artifact	유물들을 찾아 오겠다고 한다
霍克瑪們的寶箱	Hogma's Treasure Chest	호그마들의 보물상자
警備兵的委託(1)	Security Guard's Favor (1)	경비병의 부탁(1)
我會去找箱子	I'll find that chest of yours	상자를 찾아 주겠다고 한다
視而不見繼續向前走	Just ignore it and go your way	그냥 무시하고 갈 길을 간다
警備兵的委託(2)	Security Guard's Favor (2)	경비병의 부탁(2)
我會去幫忙收集，不要太擔心	Do not worry I'll collect them	모아다 줄 테니 걱정말라고 한다
那種事情自己看著辦吧	Take care of such things by yourself	그런 일 쯤은 알아서 하라고 한다
來歷不明的石板(1)	Mysterious Slate (1)	정체불명의 석판(1)
請回到柯拉佩達並與騎士團長烏斯卡進行對話。	Talk to Knight Commander Uska after going back to Klaipeda	클라페다로 돌아가 기사단장 우스카와 대화해 보세요
來歷不明的石板(2)	Mysterious Slate (2)	정체불명의 석판(2)
我會去找邪靈祭司大師	I'll go visit the Bokor Master	보코르 마스터를 찾아가겠다고 한다
要再稍微考慮一下	I'll think about it little more	잠시 더 생각해보겠다고 한다
來歷不明的石板(3)	Mysterious Slate (3)	정체불명의 석판(3)
我會去找聖殿十字軍大師	I'll go and meet the Paladin Master	팔라딘 마스터를 찾아 가겠다고 한다
使用狀態	Using Status Points	스테이터스 사용
試著使用狀態	Try increasing a Status	스테이터스를 사용해본다
請點擊'F1'鍵確認狀態	Check your status by pressing the F1 key	'F1' 키를 눌러 스테이터스를 확인하세요
回去的路	The Road Back 	돌아가는 길
無法稱心如意的(2)	Not As Intended (2)	뜻대로 되지 않는(2)
王室的封印(3)	Seal of the Royal Family (3)	왕가의 봉인(3)
我會解除最後的封印	I'll release the final seal	마지막 봉인을 해제하겠다고 한다
我需要一點時間準備	I need a minute prepare	잠깐 준비할 시간이 필요하다고 한다
奇怪的石頭	Strange Stone	이상한 돌
仔細端詳石頭	Touch the stone to look closely	돌을 자세히 볼 수 있도록 만져본다
第一項任務	The First Mission	첫임무
我很好奇	I'm curious	궁금하다고 한다
我一點都不好奇	I don't want to know	별로 궁금하지 않는다고 한다
學習熱情(1)	Ardor for Study (1)	학구열(1)
學習熱情(4)	Ardor for Study (2)	학구열(4)
拓本中	Making a rubbing	탁본 중
遭受襲擊的史學家	Raided Historian	습격당한 사학자
和尼安的石頭產生相同的反應，快點躲開吧	It reacts the same just like Nian's stone	니안의 돌과 같은 반응이니 빨리 피하라고 한다
沒什麼好大驚小怪的	It's nothing serious	별 일 아닐거라고 한다
尋找其他史學家	Find the other historian	다른 사학자를 찾는다
哥拉斯的擔憂(1)	Gorath's Concern (1)	고라쓰의 걱정(1)
哥拉斯的擔憂(2)	Gorath's Concern (2)	고라쓰의 걱정(2)
我會幫忙尋找研究資料	I'll help you find the research data	연구자료를 찾는 것을 도와주겠다고 한다
快點找到後就回去吧	Find it and go back quickly	빨리 찾고 돌아가라고 한다
關於遺失的研究資料	About the loss of research data	연구자료 분실에 대해
掃盪偽造者(1)	Mop Up the Forger (1)	위조범 소탕(1)
就是那些鼎鼎大名的偽造天才	It's the famous genius of forgery	그 유명한 위조의 천재들이라고 한다
你找錯地方了	You came to the wrong place	잘못 찾아왔다고 한다
掃盪偽造者(2)	Mop Up the Forger (2)	위조범 소탕(2)
我會去取得石灰	I'll get you your lime	석회를 구해 오겠다고 한다
我沒辦法做那種骯髒的事情	I can't do such dirty job	그런 더러운 일은 못하겠다고 한다
掃盪偽造者(3)	Mop Up the Forger (3)	위조범 소탕(3)
雕刻家喜爾達的資料(1)	Sculptor Hilda's Data (1)	조각가 힐다의 자료(1)
如果看見的話，我會告訴你的	I'll let you know when I see it	보게 되거든 알려 주겠다고 한다
雕刻家喜爾達的資料(2)	Sculptor Hilda's Data (2)	조각가 힐다의 자료(2)
我可以保護你	I can protect you	보호해 줄 수 있다고 한다
雕刻家喜爾達的資料(3)	Sculptor Hilda's Data (3)	조각가 힐다의 자료(3)
到此為止了吧	Let's stop now	이제 그만 하자고 한다
王者之言	Words of the King	왕의 말씀
回收王陵石板碎片	Retrieve the Royal Tombstone Piece	왕릉 석판 조각을 회수한다
魔族的奸計(1)	Trick of the Demon (1)	마족의 간계(1)
我要去保護王陵石燈	I'll guard the stone lantern of the Royal Mausoleum	왕릉 석등을 지키러 간다
王室的遺產(1)	Legacy of the Royal Family (1)	왕가의 유산(1)
我會負責帶樹液回來	I'll get the sap	수액을 받아 오겠다고 한다
我的意願並不高	I don't feel like it	별로 내키지 않는다고 한다
關於取得大王秘寶的方法	About obtaining the secret of the Great King	대왕의 비보를 얻는 방법에 대해
王室的遺產(2)	Legacy of the Royal Family (2)	왕가의 유산(2)
我會去取得峽谷阿瑪拉斯	I will get the Canyon Amalas	협곡 아말라스를 구해 오겠다고 한다
奇怪的傢伙們	Weird Fellows	이상한 녀석들
我建議最好努力修練吧	I suggest you train hard	열심히 수련할 것을 권한다
寶物獵人的直覺	Instinct of the Treasure Hunter	보물사냥꾼의 감
我會確認艾當說的話的真實性	I'll check if what Eden says is true	에당의 말이 맞는지 확인해보겠다고 한다
那種事情親自去證明吧	Prove it yourself	그런 건 직접 증명하라고 한다
因為沒有而無法販售	Can't Sell Without It	없어서 못 판다
舉手之勞	I'll do it	겸사겸사 해준다
我先思考一下	Think more about it	좀 더 생각해 본다
空地的寶物	Treasure of the Site	공터의 보물
星星的痕跡(1)	Astral Tracing (1)	별의 흔적(1)
我有興趣	I am interested	관심이 있다고 한다
關於利迪亞夏班	About Lydia Schaffen	리디아 샤펜에 대해
星星的痕跡(2)	Astral Tracing (2)	별의 흔적(2)
星星的痕跡(3)	Astral Tracing (3)	별의 흔적(3)
星星的痕跡(4)	Astral Tracing (4)	별의 흔적(4)
到此為止吧	Stop it here	여기서 그만 둔다
星星的痕跡(5)	Astral Tracing (5)	별의 흔적(5)
弗羅里的碑文(1)	Flurry's Epitaphs (1)	플러리의 비문(1)
弗羅里的碑文(2)	Flurry's Epitaphs (2)	플러리의 비문(2)
我不清楚在哪裡，還是算了吧	Let's quit since you don't know where it is	어디에 있는지 모르니 그만 두자
剩下的部分毀損，無法閱讀	The remaining parts are unreadable	나머지 부분은 파손되어 읽을 수 없습니다
弗羅里的碑文(3)	Flurry's Epitaphs (3)	플러리의 비문(3)
答應委託	I'll do that for you	부탁을 들어 준다
弗羅里的碑文(4)	Flurry's Epitaphs (4)	플러리의 비문(4)
尋找碑文	Find the Epitaph	비문을 찾아간다
弗羅里的碑文(5)	Flurry's Epitaphs (5)	플러리의 비문(5)
弗羅里的碑文(6)	Flurry's Epitaphs (6)	플러리의 비문(6)
作業準備	Ready	작업 준비
整理完後我就會回來	I'll go and arrange it	정리하고 온다고 한다
請等一下	I'll wait for a while	잠시 기다리고 한다
遺失的物品(1)	Lost Material (1)	잃어버린 물건(1)
遺失的物品(2)	Lost Material (2)	잃어버린 물건(2)
我想要看召喚惡靈的情況	I want to watch the calling of evil spirits	악령을 소환하는 것을 구경하고 싶다고 한다
完全沒有意願	I don't really want to	내키지 않는다
關於隱情之地	About the Land with story	사연 깊은 땅에 대해
活祭品(蜥蜴人)	Sacrifice (Lizardman)	산제물(리자드맨)
我會帶蜥蜴人回來	I'll bring the Lizardmen	리자드맨을 데려오겠다고 한다
活祭品(因普洛博克)	Sacrifice (Infroburk)	산제물(인프로버크)
我會帶因普洛博克回來	I'll bring the Infroburk	인프로버크를 데려오겠다고 한다
主教的女神之夢(1)	Bishop's Dream of the Goddess (1)	주교가 꾼 여신의 꿈(1)
我要去東邊的森林	I'll go to the Eastern Woods	동쪽 숲으로 가겠다고 한다
我不要去	I don't want to go	가지 않겠다고 한다
膜拜女神像中　	Praying to the Goddess Statue	여신상에 경배 중
最後的命令(1)	The Final Mission (1)	마지막 명령(1)
試著交談	Start conversation	말을 걸어본다
經過	Just pass by	지나친다
調查口袋	Looking through the pocket	주머니 조사하기
最後的命令(2)	The Final Mission (2)	마지막 명령(2)
代替執行作戰	Carry out the plan for him	작전을 대신 수행한다
陳年往事	It's all in the past	지난 일이다
請消滅喬雷並收集喬雷魔石	Defeat Zolem and collect Zolem Magic Stones	졸렘을 처치하고 졸렘 마석을 수집하세요
最後的命令(3)	The Final Mission (3)	마지막 명령(3)
完成樹木山溝作戰	Carry out the Tree Dale plan	나뭇골 작전을 완수한다
繼續準備	Need more preparations	좀 더 준비한다
姆杰老人的真心(1)	Moses' True Feelings (1)	모제 영감의 진심(1)
代替轉達村子青年的想法	Tell Moses about the feelings of the Villager	마을청년의 속마음을 대신 전한다
自己去說吧	Better do that yourself	직접 전하라고 한다
關於亞佳伊拉弗羅里	About Agailla Flurry	아가일라 플러리에 대해
正在傳達凱伊希的內心想法	Conveying Cahill's Feelings	케이힐의 속마음 전달 중
姆杰老人的真心(2)	Moses' True Feelings (2)	모제 영감의 진심(2)
幫忙取得木材吧	Bring the woods	목재를 가져다 주자
態度太奇怪了，還是忽略吧	Not an appealing attitude so just ignore	태도가 이상하니 그냥 무시하자
撿木材	Pick up the firewood	목재 줍기
姆杰老人的真心(3)	Moses' True Feelings (3)	모제 영감의 진심(3)
取得皮革吧	Get the leather	가죽을 구해오자
拜託人的態度讓人不滿意，拒絕吧	Not an appealing attitude so just ignore	부탁하는 태도가 맘에 안 드니 거절하자
姆杰老人的真心(4)	Moses' True Feelings (4)	모제 영감의 진심(4)
繼續向前走	Just continue my journey	내 갈길 간다
關於荊棘林	About the Thorn Forest	가시숲에 대해
我會去收集樹液	I'll collect the sap	수액을 모으러 가겠다고 한다
我覺得不太能點燃的樣子	I don't think it will burn	잘 안탈 것 같다고 한다
我要去燒毀針刺藤蔓	I will burn the thorny vines	가시 덩굴을 태우러 가겠다고 한다
從現在起好自為之吧	You should take care of it from here	이제부턴 알아서 하라고 한다
放火燒荊棘關口	Burning the thorny vines	가시 관문 태우기
以毒攻毒(1)	Fight Poison with Poison (1)	이독제독(1)
這個主意好像還不錯	I think that's a good idea	괜찮은 생각인 것 같다고 한다
聽起來不是很好的樣子	Doesn't sound so good	별로라고 한다
關於信徒們	About the Believers	신도들에 대해
如果撿到戒指的話，我會帶回來給你	I will find your ring and bring it to you	반지를 줍게 되면 가져다 주겠다고 한다
大概已經被消化掉了吧	It's probably digested by now	아마 지금쯤 다 소화되었을 거라고 한다
觀察口袋中	Looking through the pocket	주머니를 살펴보는 중
以毒攻毒(2)	Fight Poison with Poison (2)	이독제독(2)
我馬上就帶回來	I'll get it quickly	금방 구해 오겠다고 한다
以毒攻毒(3)	Fight Poison with Poison (3)	이독제독(3)
我會試著去組合看看	I'll combine it	조합해 오겠다고 한다
關於過去的荊棘林	About the Thorn Forest in the past	과거의 가시숲에 대해
組合	Combining	조합하기
以毒攻毒(4)	Fight Poison with Poison (4)	이독제독(4)
前往溶化針刺藤蔓	I'll melt the thorny vines	가시덩굴을 녹이러 간다
以信仰之名(1)	In the Name of Faith (1)	신앙의 이름으로(1)
如果有能幫得上忙的地方，我會盡量幫忙	I'll help if I can	도와 줄 수 있는 일이라면 돕겠다고 한다
這件事與我無關	I have nothing to do with it	나와는 관련 없는 일이라고 한다
關於荊棘林的邪惡力量	About the evil energy in the Thorn Forest	가시숲의 사악한 기운에 대해
以信仰之名(2)	In the Name of Faith (2)	신앙의 이름으로(2)
以信仰之名(3)	In the Name of Faith (3)	신앙의 이름으로(3)
回收魔力水晶中	Retrieving the Magic Crystal	마력수정 회수 중
以信仰之名(4)	In the name of Faith (4)	신앙의 이름으로(4)
觀看者最後的警告	Last Warning of the Beholder	주시자의 마지막 경고
不會有事的	I'm doing fine	괜찮을거라고 한다
不要繼續向前進	Do not go any further	더 이상 앞으로 가지 않는다
些許的幫忙	Some Help	그저 약간의 도움
查明啟示者的身份後打算幫忙	I am the Revelator and I'll help you	계시자임을 밝히고 돕겠다고 한다
克巴伊拉斯森林更緊急	Kvailas Forest is more urgent	크바일라스 숲이 더 급하다고 한다
進退兩難	Caught in the Middle	이러지도 저러지도
我會立刻去清除	I'll take care of it right away	바로 해치우겠다고 한다
告訴其他信徒會比較安全	It will be safer to let the other Believers know 	다른 신도들한테 알리는 게 안전하겠다고 한다
毀謗的技術	The Art of Interference	훼방의 기술
我會試試看	I can give it a try	해봄직 하다고 한다
我一點都不想	I don't feel it	내키지 않는다고 한다
不要驚慌	Don't Panic	당황하지 말고
我會破壞召喚水晶	I will destroy the summon crystal	소환 수정을 부숴 준다고 한다
一定能順利脫逃的	You'll be able to run away	잘 도망칠 수 있을 거라고 한다
出乎意外的研究	Unexpected Research	뜻밖의 연구
交給我吧	Leave it to me	맡겨 달라고 한다
我不想要參加奇怪的研究	I don't want to be part of a weird research	이상한 연구에 참여하고 싶지 않다고 한다
褻瀆的東西	Something Blasphemous	불경스러운 것
我要去解決亞崑	I'll defeat Archon	아콘을 처치하겠다고 한다
暫時先避開	Leave the vicinity	자리를 피한다
因普羅大嘴怪咒術師的襲擊	The Attack of the Infro Holders	인프로홀더 주술사의 습격
只要躲好一點，就不會有事	It will be okay if you hide 	잘 숨어 있으면 괜찮을거라고 한다
淨化克巴伊拉斯森林(1)	Purify Kvailas Forest (1)	크바일라스 숲 정화(1)
從怪物的毒手中保護祭壇	I will protect the altar from the monsters	몬스터에게서 제단을 지켜준다고 한다
我也不清楚	I don't know	모르겠다고 한다
史比愛沙丘陵地的根	Root of Sviesa Hill Areas	스비에사 구릉지의 뿌리
碰到樹根的時候，魔龍凱拉斯就會出來阻止！	Gaigalas interrupted you as you touched the root	뿌리를 건드리자 가이갈라스가 막아섭니다!
佛蘭普攻略(1)	Capturing Bramble (1)	브람블 공략(1)
已經做好萬全準備了	I'm ready	준비 만반이라고 한다
坦基塔空地的根	Root of Tankinta Vacant Lot	틴칸타 공터의 뿌리
碰到樹根的時候，莫雷克就會出來阻止！	Molich interrupted you as you touched the root	뿌리를 건드리자 몰렉이 막아섭니다!
淨化克巴伊拉斯森林(2)	Purify Kvailas Forest (2)	크바일라스 숲 정화(2)
我會協助進行淨化作業	I'll help the purifying job	정화 작업을 돕겠다고 한다
佛蘭普攻略(3)	Capturing Bramble (3)	브람블 공략(3)
我會消滅佛蘭普，並且找回啟示	I'll defeat Bramble and retrieve the revelation	브람블을 처치하고 계시를 되찾겠다고 한다
去找薩勒女神	To Goddess Saule	사울레 여신에게
緊閉的傳點	The Unopened Portal	열리지 않는 포탈
我要去見神官	I'll meet the priest	신관을 만나보겠다고 한다
啟動方尖塔(1)	Activate the Obelisk (1)	오벨리스크 작동(1)
詢問修復方法	Ask how to restore it	복원 방법을 묻는다
算了	Just leave	관둔다
啟動方尖塔(2)	Activate the Obelisk (2)	오벨리스크 작동(2)
合成材料中	Combining the Ingredients	재료 합성 중
請回到安德伊村的神官身邊	Return to the Andale Village Priest	안데일 마을 신관에게 돌아가세요
啟動方尖塔(3)	Activate the Obelisk (3)	오벨리스크 작동(3)
詢問方尖塔的位置	Ask where the Obelisk is located	오벨리스크의 위치를 묻는다
親自去進行修復吧	Restore it yourself	복원은 직접 하라고 한다
關於神	About God	신에 대해
復原方尖塔中	Restoring the Obelisk	오벨리스크 복원 중
尼普利托溪谷的魔地獸	Moldyhorn of Nefrito Valley	네프리토 계곡의 몰디혼
瀰漫不祥氣息的耶魯薛可祭壇	Ominous Energy at Ershike Altar	불길한 기운이 감도는 에르쉬케 제단
混合材料中	Combining the ingredients	재료 조합 중
史雷平卡斯溪畔的湛藍樹精	Slepingas Stream's Blue Woodspirit	슬레핑가스 냇가의 푸른 우드 스피릿
安德伊村莊祭司的委託(1)	Andale Village Priest's Favor (1)	안데일 마을 사제의 부탁(1)
詢問協助消滅伍潘特的方法	Ask how to help defeat the Upent	우펜트 처치를 도울 방법을 묻는다
關於儀式	About the Ritual	의식에 대하여
請在那魯巴斯蜿蜒路收集無力草	Obtain Languid Herb from Narvas Curved Path	나르바스 굽잇길에서 나른초를 구하세요
安德伊村莊祭司的委託(2)	Andale Village Priest's Favor (2)	안데일 마을 사제의 부탁(2)
威力應該非常充分	The force is enough	위력은 충분할 거라고 한다
請在德慕尼溼地尋找香氣濃郁的靈魂之花	Look for a Strongly Scented Soul Flower in Dvyni Wetland	드뷔니 습지에서 향이 강한 영혼의 꽃을 찾으세요
請去找村長	Find the Village Headman	마을 촌장을 찾아가세요
製造無力草炸彈	Creating the Languid Herb Bomb	나른초 폭탄 제조
要攜帶炸藥過去	I will go get the explosives	폭약을 가지러 가겠다고 한다
請從村莊上方的火藥桶裡帶回火藥	Bring the explosives from the barrels located at the upper side of the village	마을 위쪽에 있는 폭약통에서 폭약을 가져오세요
令人全身發軟的香氣	A Drowsy Scent	나른해지는 향기
我會去使用炸彈	I'll use the bomb	폭탄을 사용하러 가겠다고 한다
我要先做好心理準備	I will prepare myself for a while	잠시 마음의 준비를 하겠다고 한다
設置無力草炸彈中	Placing the bomb	나른초 폭탄 설치 중
奇怪的井	Mysterious Well	이상한 우물
撈出物品中	Pulling out the object	물건 꺼내는 중
德慕尼溼地的曼陀花獸	Dvyni Wetland's Colimencia	드뷔니 습지의 콜리멘시아
佛蘭普攻略(2)	Capturing Bramble (2)	브람블 공략(2)
前往進行破壞	I'll destroy them	파괴하러 간다
給我一點時間	Give me some time	잠시 시간을 달라고 한다
請移動至奇里艾後院	Move to Giliaii Courtyard	길리아이 안뜰로 이동하세요
聖所潛藏的啟示(2)	The Hidden Sanctum's Revelation (2)	숨겨진 성소의 계시(2)
監獄看守者	Prison Scout	감옥의 파수꾼
逃亡的傳令兵	Messenger Running Away	도망치는 연락병
因為害怕而逃走	Chicken out	무서우니 도망친다
跟著光芒	Following the Light	빛을 따라서
正在詢問關於光明珠的事	Asking about the light bead	빛구슬에 대해 묻는 중
我會去追趕看看	I will follow it	쫓아가 보겠다고 한다
危機裡放的貓頭鷹雕像	Owl Sculpture in Danger	위기에 놓인 부엉이 조각상
卡羅利斯祭壇復原(1)	Recover the Karolis Altar (1)	카롤리스 제단 복구(1)
卡羅利斯祭壇復原(2)	Recover the Karolis Altar (2)	카롤리스 제단 복구(2)
卡羅利斯祭壇復原(3)	Recover the Karolis Altar (3)	카롤리스 제단 복구(3)
正在復原卡羅利斯祭壇	Restoring the Karolis Altar	카롤리스 제단 복원 중
森林的聖所	Altar of the Forest	숲의 성소
我要擴散聖所的力量	I'll spread the energy from the sanctuary	성소의 힘을 퍼뜨리겠다고 한다
我還是覺得沒有希望	I think it's no use	그래도 가망이 없을 것 같다고 힌다
收集貓頭鷹的力量(1)	Gather the Strength of the Owl (1)	부엉이의 힘을 모아서(1)
請求分享力量	Lend me your power	힘을 나눠달라고 한다
我想沒那個必要	I don't think it's necessary	그럴 필요는 없다고 한다
收集貓頭鷹的力量(2)	Gather the Strength of the Owl (2)	부엉이의 힘을 모아서(2)
我會消滅後再回來	I will blow it up	날려버리고 오겠다고 한다
其他貓頭鷹	Another Owl	또 다른 부엉이
卡羅利斯泉水的氣息	Energy of Karolis Springs	카롤리스 샘터의 기운
我會救出領路人貓頭鷹雕像	I'm off to save the Guide Owl Sculpture	길잡이 부엉이 조각상을 구하겠다고 한다
後面的事交給馬勒達斯，我要先走了	I'll leave the end to Mardas and go	뒤는 마르다스에게 맡기고 떠나겠다고 한다
救出領路人貓頭鷹	Saving the Guide Owl	길잡이 부엉이 구하기
傳達卡羅利斯泉水中	Transmitting the energy of Karolis Springs	카롤리스 샘터의 기운 전하는 중
森林的神聖之樹(1)	Sacred Tree of the Forest (1)	숲의 신성한 나무(1)
展示凝聚卡羅利斯泉水氣息的結晶	Show the crystal formed by the energy from Karolis Springs	카롤리스 샘터의 기운이 모인 결정을 보여준다
我認為沒辦法	I don't think it can be helped	어쩔 수 없다고 생각한다
森林的神聖之樹(2)	Sacred Tree of the Forest (2)	숲의 신성한 나무(2)
帶著樹枝出現	Take the branch and go	나뭇가지를 들고 나선다
懷疑是不是真的	Are you absolutely sure?	정말이나며 의심한다
健壯的協調者	Reliable Assistant	든든한 조력자
說有關馬勒達斯的事	Talk about Mardas	마르다스에 대해 이야기한다
我也很擔心	It worries me too	나도 걱정이라고 한다
魔族汙染的森林	Forest Corrupted by the Demons	마족이 오염시킨 숲
詢問邪惡的氣息在哪裡	Where is this evil energy?	사악한 기운은 어디에 있는 지 묻는다
避開荊棘	Away From the Watch	감시를 피해서
只相信我	Trust me	나만 믿으라고 한다
不祥的黑色氣息	Eery Black Energy	불길한 검은 기운
靈魂餓鬼(1)	Soul Starvation (1)	영혼 아귀(1)
現在是最後階段，我很快就會回來。	Let's finish this once and for all	이제 마지막이니 금방 다녀오겠다고 한다
稍微休息一下再做	I need to lie down a bit	조금만 쉬었다 하자고 한다
靈魂餓鬼(2)	Soul Starvation (2)	영혼 아귀(2)
正在建造抑制之那姆特	Setting the Namott of Suppression	억제의 나모트 세우는 중
恢復和平的森林	Peace in the Forest	숲에 찾아온 평화
說明中	Talking	이야기 하는 중
我會想看看	I will think about it	생각해보겠다고 한다
因魔力而上鎖的箱子	A Chest Locked By A Spell	마력으로 잠긴 상자
艾拉斯留下的故事	A Story Left Behind by Eras	에라스가 남긴 이야기
正在拾取信件	Picking up the letter	편지 줍는 중
正在訴說關於信件的內容	Talking about the letter	편지에 대해 말하는 중
萊塔斯祭壇	Letas Altar	레타스 제단
魔法的基礎[法師轉職]	Basic Magic [Wizard Advancement]	마법의 기초[위저드 전직]
那種能力應該不行	I don't think my skills are enough for that	그럴 만한 실력은 안되는 것 같다
火的氣息[烈焰法師轉職]	The Energy of Fire [Pyromancer Advancement]	불의 기운[파이로맨서 전직]
我不想那樣	I don't want that	그런 건 원치 않는다고 한다
魔力的冰碎片[寒冰法師轉職]	Magical Piece of Ice [Cryomancer Advancement]	마력의 얼음 조각[크리오맨서 전직]
詢問如何確認	What do I need to do?	어떻게 확인하는지 묻는다
即使很遠也要很準確[弓箭手轉職]	Afar but Precise [Archer Advancement]	멀리서도 정확히[아처 전직]
詢問是怎樣的人	What kind of test is it?	어떤 시험인지 묻는다
以一當百[遊俠轉職]	One Man Army [Ranger Advancement]	일당백[레인저 전직]
我有把握	I feel confident	자신 있다고 한다
我覺得那種程度的力量還不行	I don't think my skills are enough for that	아직 그럴 실력은 안되는 것 같다고 한다
強大從堅硬的弩開始[弩箭手轉職]	Strength Comes from a Strong Crossbow [Quarrel Shooter Advancement]	강함은 강한 쇠뇌로부터[쿼렐슈터 전직]
我的想法有點不一樣	I don't think so	조금 다른 생각이라고 한다
高手的建議[法師轉職]	Teaching from a Mentor [Wizard Advancement]	고수의 조언[위저드 전직]
詢問該問誰	Who should I ask?	누구에게 물으면 되냐고 한다
強化的火之氣息[烈焰法師轉職]	Enhanced Energy of Fire [Pyromancer Advancement]	강화된 불의 기운[파이로맨서 전직]
總覺得有點可怕	That sounds frightening	왠지 무섭다고 한다
冰氣的魔法書[寒冰法師轉職]	Frost Tome [Cryomancer Advancement]	냉기의 마법서[크리오맨서 전직]
詢問操作冰氣的方法	How can I handle the cold energy more proficiently?	냉기를 잘 다루는 법에 대해 묻는다
看不見的力量[念力法師轉職]	Unknown Force [Psychokino Advancement]	보이지 않는 힘[사이코키노 전직]
棘手的事就算了	That's too complicated; I quit	머리 아픈 건 관두겠다고 한다
連接點[鎖鏈法師轉職]	The Link [Linker Advancement]	연결고리[링커 전직]
我討厭困難的事	I hate difficult things	어려운 건 질색이라고 한다
天敵[弓箭手轉職]	Natural Enemy [Archer Advancement]	천적[아처 전직]
我馬上去一趟	I'll be back in a second	금방 다녀 오겠다고 한다
給我其他考驗	Test me again	다른 시험을 달라고 한다
支援復原歐勒夏[遊俠轉職]	Orsha Retoration Support [Ranger Advancement]	오르샤 복구 지원[레인저 전직]
黏答答[弩箭手轉職]	Sticky [Quarrel Shooter Advancement]	끈적끈적[쿼렐슈터 전직]
工兵的研究[工兵轉職]	Sapper Research [Sapper Advancement]	공병의 연구[새퍼 전직]
總覺得很棘手	That's a little out of my league	왠지 버거울 것 같다고 한다
地下城探險[獵人轉職]	Dungeon Crawl [Hunter Advancement]	던전 탐험[헌터 전직]
火的測試[烈焰法師轉職]	Tiral by Fire [Pyromancer Advancement]	불의 시험[파이로맨서 전직]
冰的測試[寒冰法師轉職]	Trial by Frost [Cryomancer Advancement]	얼음의 시험[크리오맨서 전직]
我會接受冰氣的測試	I will take the trial by frost	냉기의 시험을 받겠다고 한다
最好的位置[念力法師轉職]	The Best Spot [Psychokino Advancement]	누구보다 좋은 위치[사이코키노 전직]
靈性氣息[鎖鏈法師轉職]	Spiritual Presence [Linker Advancement]	영적 기운[링커 전직]
或大或小[奇術師轉職]	Size Does Not Matter [Thaumaturge Advancement]	크거나 혹은 작거나[쏘마터지 전직]
給我一點時間	Please give me some time	잠시만 시간을 달라고 한다
元素的理解[元素使轉職]	Elementary Understanding of Elements [Elementalist Advancement]	원소의 이해[엘리멘탈리스트 전직]
遊俠的實戰訓練[遊俠轉職]	Ranger On-Site Training [ Ranger Advancement]	레인저의 실전 훈련[레인저 전직]
堅硬的盾牌[弩箭手轉職]	Trusty Shield [Quarrel Shooter Advancement]	든든한 방패[쿼렐슈터 전직]
不會變成那種狀況	I don't think there's a need for that	그럴만한 상황이 못 된다고 한다
工兵大師的炸彈研究[工兵轉職]	Sapper Master's Bomb Experiment [Sapper Advancement]	새퍼 마스터의 폭탄 연구[새퍼 전직]
獵人的測試[獵人轉職]	Hunter's Test [Hunter Advancement]	헌터의 시험[헌터 전직]
我要挑戰	I'll give it a try	도전 하겠다고 한다
屍體的毒[巫蠱師轉職]	Corpse Poison [Wugushi Advancement]	시신의 독[무고사 전직]
詢問那裡可以取得	Where can I get it from?	어디서 구할 수 있는지 묻는다
