凱帕	Kepa	케파
 進行NPC座標MZ	Progression NPC coordinate MZ	 진행NPC좌표MZ
 進行NPC座標SETPOS	NPC coordinate progress SETPOS	 진행NPC좌표SETPOS
" 進行NPC = ScpArgMsg(""Auto__eopeum_"") "	"Progress NPC = ScpArgMsg (""Auto__eopeum_"")"	" 진행NPC = ScpArgMsg(""Auto__eopeum_"") "
" 完成NPC = ScpArgMsg(""Auto_"	"Complete NPC = ScpArgMsg (""Auto_"	" 완료NPC = ScpArgMsg(""Auto_"
 完成NPC座標MZ	Complete NPC Coordinates MZ	 완료NPC좌표MZ
 完成NPC座標SETPOS	Complete NPC Coordinates SETPOS	 완료NPC좌표SETPOS
" 完成NPC = ScpArgMsg(""Auto__eopeum_"") "	"Complete NPC = ScpArgMsg (""Auto__eopeum_"")"	" 완료NPC = ScpArgMsg(""Auto__eopeum_"") "
" 建議等級 = """	"Recommended Level = """	" 권장레벨 = """
"等級以上 = """	"Level higher than = """	"레벨이상 = """
"等級以下 = """	"Level below = """	"레벨이하 = """
"確認周圍地區1 = ScpArgMsg(""Auto_"	"Peripheral check 1 = ScpArgMsg (""Auto_"	"주변지역체크1 = ScpArgMsg(""Auto_"
"職業1 = """	"Job 1 = """	"직업1 = """
"職業2 = """	"Job 2 = """	"직업2 = """
"職業3 = """	"Job 3 = """	"직업3 = """
"職業4 = """	"Job 4 = """	"직업4 = """
"性別 = ScpArgMsg(""Auto_NamSeong"") "	"Gender = ScpArgMsg (""Auto_NamSeong"")"	"성별 = ScpArgMsg(""Auto_NamSeong"") "
"性別 = ScpArgMsg(""Auto_yeoSeong"") "	"Gender = ScpArgMsg (""Auto_yeoSeong"")"	"성별 = ScpArgMsg(""Auto_yeoSeong"") "
" 任務條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"	"Setting of Quest Conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 퀘스트조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"
" 任務條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"	"Setting of Quest Conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 퀘스트조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"
" Error??"" "	"Error ?? """	" 에러??"" "
" Buff條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"	"Setting of Buff Conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 버프조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"
" Buff條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"	"Setting of Buff Conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 버프조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"
" 裝備道具條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"	"Setting of Wear Item Conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 착용아이템조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"
" 裝備道具條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"	"Setting of Wear Item Conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 착용아이템조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"
" 道具條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"	"Setting of Item Conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 아이템조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"
" 道具條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"	"Setting of Item Conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 아이템조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"
" 期間確認方式 = ScpArgMsg(""Auto_"	"Check method of Period = ScpArgMsg (""Auto_"	" 기간체크방식 = ScpArgMsg(""Auto_"
" Sub1期間 ="""	"Sub1 period = """	" Sub1기간 ="""
" Sub2期間 ="""	"Sub2 period = """	" Sub2기간 ="""
" Sub3期間 ="""	"Sub3 period = """	" Sub3기간 ="""
" Sub4期間 ="""	"Sub4 period = """	" Sub4기간 ="""
" Sub5期間 ="""	"Sub5 period = """	" Sub5기간 ="""
" Sub6期間 ="""	"Sub6 period = """	" Sub6기간 ="""
" Sub7期間 ="""	"Sub7 period = """	" Sub7기간 ="""
" Sub8期間 ="""	"Sub8 period = """	" Sub8기간 ="""
" Sub9期間 ="""	"Sub9 period = """	" Sub9기간 ="""
" Sub10期間 ="""	"Sub10 period = """	" Sub10기간 ="""
" 期間確認方法 = 只有在每週特定的日子才可以進行(OR 條件)"""	"Check Method of Period = Every particular day is only possible to proceed (Or condition) """	" 기간체크 방법 = 매주 특정 요일들에만 진행가능(OR 조건)"""
" 主要期間 =ScpArgMsg(""Auto_"	"The Main Period = ScpArgMsg (""Auto_"	" 메인기간 =ScpArgMsg(""Auto_"
" 期間確認方法 = 只有在每天特定的時間才可以進行(OR 條件)"""	"Check Method of Period = Every particular day and time is only possible to proceed (Or condition) """	" 기간체크 방법 = 특정 매일 특정 시간대에만 진행가능(OR 조건)"""
" 期間確認方法 = 只有在每小時特定的分鐘才可以進行(OR 條件)"""	"Check Method of Period = Every hour is only possible to proceed (Or condition) """	" 기간체크 방법 = 매시 특정 분에만 진행가능(OR 조건)"""
" 內容 = """	"Content = """	" 내용 = """
" 等級 ="""	"Level = """	" 레벨 ="""
" 道具條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"") "	"Setting of Item Conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 아이템조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"") "
" 道具條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"") "	"Setting of Item Conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 아이템조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"") "
"的ClassName = """	"The ClassName of = """	"의ClassName = """
"的MonTactics = """	"MonTactics of = """	"의MonTactics = """
"的機率 = ScpArgMsg(""Auto_"	"Probability of = ScpArgMsg (""Auto_"	"의확률 = ScpArgMsg(""Auto_"
 InvItem2怪物	Monster InvItem2	 InvItem2몬스터
" InvItem2怪物的ClassName = """	"ClassName of InvItem2 a monster = """	" InvItem2몬스터의ClassName = """
" InvItem2怪物的MonTactics = """	"MonTactics of InvItem2 a monster = """	" InvItem2몬스터의MonTactics = """
" InvItem2怪物的機率 = ScpArgMsg(""Auto_"	"Probability of InvItem2 monster = ScpArgMsg (""Auto_"	" InvItem2몬스터의확률 = ScpArgMsg(""Auto_"
 InvItem3怪物	Monster InvItem3	 InvItem3몬스터
" InvItem3怪物的ClassName = """	"ClassName of InvItem3 a monster = """	" InvItem3몬스터의ClassName = """
" InvItem3怪物的MonTactics = """	"MonTactics of InvItem3 a monster = """	" InvItem3몬스터의MonTactics = """
" InvItem3怪物的機率 = ScpArgMsg(""Auto_"	"InvItem3 Probability of monster = ScpArgMsg (""Auto_"	" InvItem3몬스터의확률 = ScpArgMsg(""Auto_"
 InvItem4怪物	InvItem4 Monster	 InvItem4몬스터
" InvItem4怪物的ClassName = """	"InvItem4 ClassName of a monster = """	" InvItem4몬스터의ClassName = """
" InvItem4怪物的MonTactics = """	"InvItem4 MonTactics of a monster = """	" InvItem4몬스터의MonTactics = """
" InvItem4怪物的機率 = ScpArgMsg(""Auto_"	"InvItem4 Probability of monster = ScpArgMsg (""Auto_"	" InvItem4몬스터의확률 = ScpArgMsg(""Auto_"
" 擊殺怪物條件設定 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"	"Setting of kill monsters conditions = ScpArgMsg (""Auto_MoDu_ManJog_ (AND)"")"	" 킬몬스터조건설정 = ScpArgMsg(""Auto_MoDu_ManJog_(AND)"")"
" 擊殺怪物條件設定 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"	"Setting of kill monsters conditions = ScpArgMsg (""Auto_HaNaMan_ManJog_ (OR)"")"	" 킬몬스터조건설정 = ScpArgMsg(""Auto_HaNaMan_ManJog_(OR)"")"
"   目的1 = """	"Objective 1 = """	"   목적1 = """
"   目的2 = """	"Objective 2 = """	"   목적2 = """
"   目的3 = """	"Objective 3 = """	"   목적3 = """
"   目的4 = """	"Objective 4 = """	"   목적4 = """
"   目的5 = """	"Objective 5 = """	"   목적5 = """
"   目的6 = """	"Objective 6 = """	"   목적6 = """
" 任務進行 = ScpArgMsg(""Auto_NPCwa_DaeHwa_Si_wanLyoDaeKi_SangTaeLo_ByeonKyeong"") "	"Quest Progress = ScpArgMsg (""Auto_NPCwa_DaeHwa_Si_wanLyoDaeKi_SangTaeLo_ByeonKyeong"")"	" 퀘스트진행 = ScpArgMsg(""Auto_NPCwa_DaeHwa_Si_wanLyoDaeKi_SangTaeLo_ByeonKyeong"") "
" 任務進行 = ScpArgMsg(""Auto_KweSeuTeu_wanLyo_CheoLiKkaJi_Han_Beone_SiKim(KweSeuTeu_BoSangeul_BatKo_KweSeuTeu_wanLyo)"") "	"Quest Progress = ScpArgMsg(""Auto_KweSeuTeu_wanLyo_CheoLiKkaJi_Han_Beone_SiKim(KweSeuTeu_BoSangeul_BatKo_KweSeuTeu_wanLyo)"")"	" 퀘스트진행 = ScpArgMsg(""Auto_KweSeuTeu_wanLyo_CheoLiKkaJi_Han_Beone_SiKim(KweSeuTeu_BoSangeul_BatKo_KweSeuTeu_wanLyo)"") "
" 持有量全部 "" "	"All Possession """	" 소지량 모두 "" "
" 個 "" "	"ea """	" 개 "" "
" 經驗值 = "" "	"EXP = """	" 경험치 = "" "
嘿	He	헿
席德梅伊爾	Seedmaiung	시드마이엉
擊殺的	Killed	죽인 
(秒)	(In seconds)	(초)
 / Blue的值	/ Blue values of	 / Blue의 값
 then	 then	 then
拔取中	while you pull out	뽑는 중
敲門中	Knocking	노크 중
巫師	Sorcerer	소서러
所選擇的道具數字	Number of selected items	선택된 아이템의 숫자야
預設值	Default	기본 값
商店販賣可	Shop for sale	상점 판매 가능
商店販賣不可	Shop not for sale	상점 판매 불가능
個人交易可	Individual tradable	개인 거래 가능
個人交易不可	Individual transaction impossible	개인 거래 불가능
鐵砧和裝備種類不一致	This anvil does not match this type of equipment	모루가 장비 종류와 일치하지 않습니다
活動	Event	이벤트
魔族型	Demon	마족형
在哪裡呢？？？	Where are you???	어디있을까??????
未確認	Unconfirmed	미확인 
特別獎勵	Special Reward	특별보상
聊天	Chat	채팅
 ，和他對話。	And conversation	 과 대화
一般對話	Normal Chat	일반 대화
組隊對話	Party Chat	파티 대화
團體	Group	단체
對話邀請	Invite to chat	대화 초대
系統	System	시스템
丟棄	Discarded	버려
(傳送卷軸)	(Warp Scroll)	(워프주문서)
消耗銀幣	Silver	 실버 소모
地圖探險	Maps	맵탐험
探險率	Maps Explored	탐험률
獲得 	Acquisition	획득 
沒有我的排名	No order	내 순위 없음
 獲得  	Acquisition	 획득  
沒有資料	No data	데이터 없음
沒有排名   上週	No rank last week	순위 없음   지난주 
狩獵	Hunting	사냥
(切斷中)	(In the block)	(차단중)
沒有道具	No items	아이템 없음
 個 獲得	 obtained	 개 획득
 (使用中)	 (using)	 (사용 중)
冰	Ice	얼음
魔力補充(	Magic Crystal charged (	마력 충전(
補充中	Charging	충전 중
套上袋子	Pocket	주머니 씌우기
被套上袋子的奴德克奇	The pocket was covered by Bagworm	주머니가 씌워진 누덕고치
正在採集針刺花粉	Visible flower powder in collection	가시 꽃의 가루 채집 중
沒有PC。	There is no PC	PC가 없습니다
飲用針刺花粉覺醒劑	I drink a visible pollen stimulants	가시 꽃가루 각성제 마시기
關於5位女神	Regarding the five goddesses	다섯 여신들에 대해
關於奧施莉奈女神	About Goddess Ausrine	아우슈리네 여신에 대해
關於拉伊瑪女神	About Goddess Laima	라이마 여신에 대해
關於加比婭女神	About Goddess Gabija	가비야 여신에 대해
關於澤米娜女神	About Goddess Zemyna	제미나 여신에 대해
關於瓦卡麗涅女神	About Goddess Vakarine	바카리네 여신에 대해
詢問關於神樹之日	Ask about Medzio Diena	신수의 날에 대해 묻는다
詢問關於之後	Ask what happened next	그 후에 대해서 묻는다
汙染地淨化中	Purifying corrupted land	오염지 정화 중
人偶淨化失敗了	I failed to strengthen the doll	인형 강화에 실패 하였습니다
召喚的潘圖魔法師	and summoned Panto Wizard	소환된 판토 마법사
破壞用咒術人偶	Shaman Doll for Destruction	파괴용 주술인형
低階聖靈	Junior Spirit	하급 성령
強化針刺花粉覺醒劑	Enhancing the Thorn Flower Powder Stimulant	가시 꽃 가루 각성제 강화시키기
喝下覺醒劑	Drank the stimulant	각성제 마시기
獲得啟示中	Retrieving the relevation	계시 획득 중
修理	Repair	수리
輔助裝備類	Secondary Equipment	보조 장비류
單手劍類	One-handed Sword	한손검류
雙手劍類	Two-handed Sword	양손검류
權杖類	Rod	로드류
法杖類	Staff	스태프류
弓箭類	Bow	활류
弩弓類	Crossbow	쇠뇌류
鈍器類	Blunt	둔기류
魔棒類	Wand	완드류
單手槍類	One-handed Spear	한손창류
雙手槍類	Two-handed Spear	양손창류
盾牌類	Shield	방패류
短劍類	Dagger	단검류
大快朵頤	*munch munch gulp gulp*	냠냠쩝쩝
立即學習	Learn immediately	즉시 습득
購入寵物道具	Buy items for Companion	컴패니언 아이템 구입
領養寵物	Adopt Companion	컴패니언 분양
訓練寵物	Train Companion	컴패니언 훈련
道具商店	Tool Shop	도구 상점
關於寵物的優點	Benefits of having a Companion	컴패니언의 좋은점에 대하여
正在萃取淡水	Collecting Spiritually Enchanted Sap	담수 채취 중
正在收集品質很好的磨刀石	Collecting Quality Grindstone	질 좋은 숫돌 수집 중
判別中	Distinguishing	판별 중
母親	Mother	어미 
躲藏的怪物	Hidden Monsters	숨어있는 몬스터
錯過怪物了	The monster has been released	몬스터를 놓쳐버렸습니다
拓印拓本中	Rubbing	탁본 뜨는 중
可以使用煙幕彈	You can use the smoke bombs	연막탄을 사용할 수 있습니다
已挑釁 [ 	Monster [	몬스터를 [ 
已收集的內容	This information has already been collected	이미 수집한 내용입니다
已收集拓本。	Gathering stone rubbings	탁본을 수집했습니다
荊棘林	Forest of Thorns	가시 숲
詢問是什麼事情	What happened?	무슨 일인지 물어본다
詢問要怎麼辦	What should we do?	어떻게 해야 하는지 물어본다
請求魔法支援	Request magic support	마법 지원을 요청한다
咳咳	*huff huff*	헉헉
已接受的委託。	This request has already been accepted	이미 수락한 의뢰입니다
今天已執行的委託。	You have already finished this daily request	오늘 이미 실행한 의뢰입니다
已接受委託。	Request accepted	의뢰를 수락했습니다
已超過可持有的委託。	You have exceeded the maximum amount of active requests	소지할 수 있는 의뢰를 초과하였습니다
已超過每日委託同意限度。	You have exceeded the maximum amount of active daily requests	일일 의뢰 수락 한도를 초과했습니다
委託開始	Start request	의뢰 시작
為了開始委託	In order to start request	 의뢰를 시작하기 위해 
請使用道具。	Please use the item	 아이템을 사용하세요
銀幣不足。	You do not have enough silver	실버가 부족합니다
NXP不足。	Insufficient TPs	NXP가 부족합니다
道具不足。	This item is not enough	아이템이 부족합니다
下一個階段開始	Start the next step	다음 단계 시작
保留	On hold	보류
除了基本session以外，對創建 PC產生的session目錄。	Session List by made NPC creation without basic session	기본 세션을 제외하고 생성 PC에게 생성된 세션 목록
狀態分配	Status Point Distribution	스테이터스 분배
技能點數分配	Skill Point Distribution	스킬 포인트 분배
移動至柯拉佩達入口	Move to Klaipeda Entrance	클라페다 입구로 이동
完成[300]	Complete[300]	완료[300]
使HIDE	HIDE	HIDE시킨다
使UNHIDE	UNHIDE	UNHIDE시킨다
年幼潘圖誘惑中	Luring Baby Panto	새끼 판토 유혹중
淨化用咒術人偶	Shaman Doll of Purification	정화용 주술인형
魔族汙染地	Demon Corrupted Land	마족 오염지
有關治療的聖物	About the Holy Relic	치유의 성물에 대하여
有關初代聖殿十字軍	About the First Paladin	초대 팔라딘에 대하여
有關今後的作戰	About the next course of action	앞으로의 작전에 대하여
放棄	Quit	그만두기
結界啟動中	Activating Barrier	결계 작동 중
已分離的魔族靈魂	Severed Demon's Soul	분리된 마족의 영혼
塗鴉中	Scribbling	낙서 중
被洗腦的潘圖	Brainwashed Panto	세뇌된 판토
附著中	Attaching	부착 중
正在鑲嵌碎片	Inserting the fragment	조각을 끼워넣는 중
傑斯堤正在找你。	Gesti is looking for you	제스티님이 찾으신다고 한다
找到有趣的東西了。	I found something interesting	재밌는 걸 찾았다고 한다
回覆有一個地方要一起去。	There's a place we need to go to	함께 갈 곳이 있다고 한다
拖拖拉拉的會遲到啦！	Hurry or you'll be late	꾸물대면 늦는다고 한다
什麼也沒有。	It's nothing	아무 것도 아니라 한다
 ，正跟著您。	 is being followed by it	 님을 따라다니고 있습니다
還要再走多久？	How far do I have to go?	얼마나 더 가야해?
接近祭壇的晶球。	Approach closer to the the altar's orb	제단의 구슬에 다가가라고 한다
打招呼說再見。	Goodbye	잘 가라고 인사한다
請稍等一下。	Wait a second	잠깐 기다리라고 한다
在這裡等？	Do I have to wait here?	여기서 기다려?
已製作好合成的探勘棒	You created the Crude Dowsing Rod	조잡한 탐사막대를 만들었습니다
探索地點	Exploration Site	탐사지점
探索中	Searching	탐사 중
收集碎片中	Collecting the fragment	파편 수집 중
點火中	Igniting	점화 중
安慰	Console him	위로한다
作業中	Working	작업 중
受支配的因普洛博克	Mind-controlled Infroburk	지배당한 인프로버크
受支配的蜥蜴人	Mind-controlled Lizardman	지배당한 리자드맨
已獲得物品。	Obtained a waterweed	물풀을 획득했습니다
正在使用支配石	Using the Mind Control Stone	지배석 사용 중
測量中	Measuring	측정 중
傳達中	Delivering	전달 중
這麼乾淨的水是從那裡取得的呢？	Where did you find such clean water?	이런 깨끗한 물은 어디서 구한거지?
沾到中	Applying	묻히는 중
記錄品確認中	Checking records	기록물 확인 중
遺物確認中	Checking memento	유품 확인 중
拓本作業中	Rubbing stone onto paper	탁본 작업 중
正在確認意識	Diagnosing	의식 확인 중
正在使用解放靈藥	Using the Liberation Elixir	해방영약 사용 중
正在點燃火	Making fire	불붙이는 중
道具製作中	Crafting	아이템 제작 중
詢問關於啟示者	A Revelator?	계시자에 대해 묻는다
詢問目前的狀況	Ask about the current situation	지금의 상황에 대해 묻는다
詢問關於4年前的神樹之日	Ask about Medzio Diena	4년 전의 신수의 날에 대해 묻는다
詢問有關女神的失蹤	Ask about the disappearance of the goddesses	여신의 실종에 대해 묻는다
詢問是怎麼回事	Ask what happened	어떻게 된 건지 묻는다
拉伊瑪女神好像忘了什麼。	I think you forgot to mention Goddess Laima	라이마 여신이 빠진 것 같다고 말한다
關於魔法師之塔	About the Mage Tower	마법사의 탑에 대해
關於受到詛咒的城市	About the Cursed City	저주받은 도시에 대해
關於佩迪米安	About Fedimian	페디미안에 대해
有關大教堂	About the Great Cathedral	대성당에 대해
紅色	Red	붉은색
藍色	Blue	푸른색
櫛紋	Diagonal Stripe Pattern	빗살무늬
長頸模樣	Long forms	목이 긴 모양
裝飾雕刻	Carvings	장식 새김
梳子紋	Comb Pattern	빗무늬
樹木花紋	Wood Pattern	나무 문양
蜜蜂花紋	Bees Pattern	벌 문양
貓頭鷹花紋	Owl Pattern	부엉이 문양
土色	Dark Gray	흙빛
寬開口陶瓷器	Wide-mouthed Pottery	입이 넓은 도자기
玉光	Jade	옥빛
灰色	Ash	잿빛
白色	White	흰색
無花紋	Plain Pattern	민무늬
有裂痕的陶瓷器	Cracked Pottery	금이 간 도자기
羅姆巴圖案	Romuva Pattern	로무바 문양
有缺口的陶瓷器	Dented Pottery	이가 빠진 도자기
有手把的陶瓷器	Pottery with a Handle	손잡이가 달린 도자기
波浪紋	Wave Patterns	파도 무늬
古銅色	Reddish Brown	고동색
紫色	Purple	자색
風紋	Wind Pattern	바람 무늬
破裂的陶瓷器	Cracked Pottery	갈라진 도자기
難看的陶瓷器	Tacky Pottery	볼품없는 도자기
橄欖光	Olive Color	감람빛
沾到泥士的陶瓷器	Dirt-stained Pottery	흙이 묻은 도자기
發亮的陶瓷器	Sleek Pottery	윤이 나는 도자기
橡樹花紋	Oak Pattern	참나무 문양
表面粗糙的陶瓷器	Rough Pottery	표면이 거친 도자기
靛藍色	Navy	남색
地下中央結界	Underground Central Barrier	지하 중앙 결계
傑斯堤在哪裡呢？	Where is Gesti?	제스티는 어디에 있지?
這裡就交給你了。	I'll leave this place to you	여긴 네게 맡기마
中央祭壇	Central Altar	중앙 제단
史班圖貝中央祭壇	Sventove Central Altar	스벤토베 중앙 제단
女神的啟示	Revelation of the Goddess	여신의 계시
石板	Slate	석판
鍋子	Pot	냄비
大教堂燭台	Great Cathedral Candlestick	대성당 촛대
結界燭台	Barrier Candlestick	결계 촛대
影像	Video	영상
讓開	Out of the way	비켜
給予通過	Let him pass	통과시켜
返回各自位子	Return to your positions	각자 자리로 돌아가
石化探測器	Petrification Detector	석화 탐지기
經過的時候小心不要被發現	Don't get caught while passing	안 들키게 지나가게
那我們也要去嗎？	Shall we move then?	그럼 우리도 가볼까?
寒冰法師的魔法陣	Cryomancer's Magic Circle	크리오맨서의 마법진
所以請你在那邊冷靜一下吧	So just cool your head down from there	그러니 거기서 머리나 식히고 계세요
大地要塞傳點	Fort of the Land Portal	대지의 요새 포탈
王國軍警備兵	Royal Army Guard	왕국군 경비병
什麼騷亂？	What's the fuss?	무슨 소란이지?
什麼啊！那傢伙！	What is that?	뭐야 저 녀석!
什麼聲音？	What is that sound?	무슨소리지?
北邊警備兵	Northern Guards	북은 경비병
書堆	Pile of Books	책 무더기
第1移動裝置	1st Transport Magic Circle	제1 이동장치
第2移動裝置	2nd Transport Magic Circle	제2 이동장치
火花融合器	Flame Fusion Machine	불꽃 융합기
魔力調節閥門	Magic Control Valve	마력 조절 밸브
散落的書	Scattered Books	흩어진 책
散落的書	Scattered Books	흩어진책
魔法陣	Magic Circle	마법진
赫嘉塞露女妖	Helgasercle	헬가 세르클
波亞塔的巢穴	Poata's Nest	포아타의 보금자리
年幼潘圖們回去找卡普里亞。	The Baby Pantos are returning to Capria	새끼 판토들이 카프리아에게 돌아갑니다
因為已破壞的圖騰，希默普好像非常生氣。	Destroying the totem made Simorph angry	파괴된 토템 때문에 시모프가 많이 화난 것 같습니다
小蜂箱	Small Hive	작은 벌통
受傷的村民	Injured Villager	부상당한 마을 사람
奴克尼亞祭壇	Nugria Altar	누그리아 제단
池塘汙染源1	Corrupted Pond 1	연못 오염원1
女神夏歐雷	Goddess Saule	여신 샤울레
束縛魔法陣	Binding Magic Circle	구속 마법진
結界	Temple Border	결계
夏歐雷女神	Goddess Saule	샤울레 여신
傳點	Portal	포탈
患者	Patient	환자
殺死士兵的觸發器	Trigger to kill soldiers	병사죽이는 트리거
礦山管理所長	Mine Manager	광산 관리소장
請消滅鬼影凱伊洛！	Defeat Shadowgaler	섀도게일러를 처치하세요!
米諾牛頭怪	Minotaur	미노타우르스
非凡的布貝鬥士	Remarkable Vubbe Fighter	비범한 부베 투사
有什麼事情嗎？	What's the occasion?	무슨 일인가?
弗萊徹工房院	Fletcher's Workshop	플래쳐 공방원
都去死吧	All will die	다 죽을거야
油箱	Oil Boxes	기름 상자
破碎的貓頭鷹雕像	Broken Owl Statue	부서진 부엉이 조각상
無名士兵的遺物	Unknown Soldier's Memento	무명 병사의 유품
鑰匙管理幽靈范托	Key Manager Hallowventer	열쇠 지기 할로우벤터
地獄亡靈的手下	Necroventer's Subordinate	네크로벤터의 부하
魔族誘餌	Demon Bait	마족 미끼
放置的誘餌	Placed Bait	놓여진 미끼
熟練機械工	Skilled Mechanic	숙련 기계공
莉莉亞變化的魔花卡諾波	Carnivore Liliya	릴리야가 변한 카너버
腐爛的肉堆*	Pile of Rotting Meat	썩은 고기 무더기*
朝聖者傑奴斯*	Pilgrim Janus	순례자 재뉴스*
懶惰樹根水晶	Tree Root Crystal of Fatigue	나태의 나무뿌리 수정
樹根水晶保護裝置	Protection device for the crystal root	나무뿌리 수정 보호장치
朝聖者克拉基屋斯*	Pilgrim Grazzios	순례자 그라찌우스*
憤怒的祭壇	Altar of Rage	분노의 제단
被摩吉束縛的靈魂	Bound Soul	머지에게 속박된 영혼
我被釋放了嗎？	Am I free?	풀려 난 건가?
祝福的聖所*	Blessing of the Sanctuary	축복의 성소*
墓碑	Tombstone	묘비
淨化的祭壇	Altar of Purification	정화의 제단
主教的墳墓	Bishop's Tomb	주교의 무덤
露克立斯紀念碑	Ruklys Monument	루클리스 기념비
無法控制的地獄亡靈	Uncontrollable Necroventer	통제불능 네크로벤터
烽火台	Beacon	봉화대
王陵的遺物	Royal Mausoleum Artifact	왕릉의 유물
聖所的第一個封印	Sanctum's First Seal	성소의 첫 번째 봉인
聖所的第二個封印	Sanctum's Second Seal	성소의 두 번째 봉인
輔助封印裝置	Secondary Sealing Device	보조 봉인 장치
聖所的第三個封印	Sanctum's Third Seal	성소의 세 번째 봉인
古式樣式柱子	Ancient Pillars	고대 양식 기둥
模具	Molding Pot	거푸집
傭兵 圖都宇	Mercenary Toby	용병 토도우
石柱	Stone Pillar	돌기둥
西邊地區結界	West Region Barrier	서쪽지역 결계
有看到什麼嗎？	Do you see something?	뭔가 보이는게 있습니까?
巴奇斯	Varkis	바키스
擊退吧	Defeat them	처지해라
彼弗堤的同伴	Pipoti's Colleague	피포티의 동료
阿拉斯	Aras	아라스
魔族	Demon	마족
愚蠢的傢伙	You fool	어리석은 녀석
再讓你痛苦一點	I will make you feel more pain	더 고통스럽게 해주마
地區採藥者	Local Herbalist	지역 약초상
布蘭	Brann	브란
剛才那採藥者？	The Herbalist from a while ago?	아까 그 약초꾼?
彼得	Feet	피트
什麼意思？	What do you mean?	무슨 소리야?
奧斯特雅信徒	Austeja Follower	아우스테야 신도
女神奧斯特雅	Goddess Austeja	여신 아우스테야
奧斯特雅祭壇	Austeja Altar	아우스테야 제단
封印塔	Seal Tower	봉인탑
巨大異形植物	Giant Mutated Plant	거대한 변이 식물
在這裡發生的事情的原因就在其它的地方。	The causes which being occurred in this place are somewhere else	이곳에서 일어나고 있는 일들의 원인은 다른 곳에 있습니다.
調查道具	Research Tools	조사도구
這悲鳴聲是什麼？	What's this screaming sound?	이 비명소리는 뭐지?
難民	Refugee	피난민
這地方為什麼會有青苔泥人殘骸呢？	Why are there Golem remains here?	이런 곳에 왜 골렘 잔해가 있는거지?
死了嗎？	Is it dead?	죽은 걸까요?
鍊金術士 拜杜塔斯	Alchemist Vaidotas	연금술사 바이도타스
2礦區封閉說明	Lot 2 Closure Notice	2광구 폐쇄 안내
東邊森林士兵	Eastern Woods Soldier	동쪽 숲 병사
荊棘關口	Thorn Gate	가시 관문
裝有什麼東西的袋子	Pocket Containing Something	무언가 담겨있는 주머니
薩勒女神的信徒	Follower of Goddess Saule	사울레 여신의 신도
召喚水晶	Change Summon	소환 수정
破壞魔族召喚陣	Destroy the barrier summoned by the demon	마족 소환진 파괴하기
薩勒女神的信徒	Follower of Goddess Saule	샤울레 여신의 신도
請從怪物手上保護淨化祭壇	Protect the Altar of Purification from the monsters	정화의 제단을 몬스터에게서 보호하세요
啟示	Revelation	계시
是支援嗎？	Are you the support?	지원인가?
腐爛的樹木殘根	Rotten Tree Stump	썩은 나무 등걸
克洛紐特 臨時	Temporary Cronewt	크로뉴트 임시
伊普羅霍克鷹 臨時	Temporary Hoglan	인프로 호글란 임시
哪裡呢？	Where is it?	어디지?
墳墓	Tomb	무덤
入口警告文	Entrance Warning	입구 경고문
王陵抑制器	Royal Mausoleum Suppressor	왕릉 억제기
