攻擊	Attack	공격
[獨角獸卡片] 魔法暗屬性斬擊	[Unicorn Card] Magic Dark Property Slash	[유니콘 카드] 매직 암속성 베기
[魔地獸卡片] 魔法毒屬性魔法	[Moldyhorn Card] Magic Poison Property Magic	[몰디혼 카드] 매직 독속성 마법
[霸王食人花卡片] 魔法毒屬性刺擊	[Rytaswort Card] Magic Poison Property Pierce	[리타스워트 카드] 매직 독속성 찌르기
[夏勒琵雅卡片] 物理電氣屬性斬擊	[Harpeia Card] Physical Lightning Property Slash	[하르피아 카드] 물리 전기속성 베기
[魔斯怪怪卡] 物理電氣屬性刺擊	[Mothstem Card] Physical Lightning Property Pierce	[모스템 카드] 물리 전기속성 찌르기
[摩吉卡片] 物理無屬性斬擊	[Merge Card] Physical Non-Property Slash	[머지 카드] 물리 무속성 베기
[女妖克萊默卡片] 物理毒屬性打擊	[Clymen Card] Physical Poison Property Strike	[클라이멘 카드] 물리 독속성 타격
[惡魔葛洛夫卡片] 魔法電氣屬性打擊	[Devilglove Card] Magic Lightning Property Strike	[데블글로브 카드] 매직 전기속성 타격
[地獄亡靈卡片] 魔法暗屬性魔法	[Necroventer Card] Magic Dark Property Magic	[네크로벤터 카드] 매직 암속성 마법
[莫雷克卡片] 物理暗屬性打擊	[Molich Card] Physical Dark Property Strike	[몰렉 카드] 물리 암속성 타격
[約納喬雷卡片] 魔法無屬性打擊	[Yonazolem Card] Magic Non-Property Strike	[요나졸렘 카드] 매직 무속성 타격
[鐵甲殘魔卡片] 物理暗屬性斬擊	[Abomination Card] Physical Dark Property Slash	[어보미네이션 카드] 물리 암속성 베기
[機角卡洛斯卡片] 物理暗屬性刺擊	[Ellaganos Card] Physical Dark Property Pierce	[엘라가노스 카드] 물리 암속성 찌르기
[亞崑卡片] 物理火屬性打擊	[Archon Card] Physical Fire Property Strike	[아콘 카드] 물리 화속성 타격
[魔龍凱拉斯卡片] 物理火屬性魔法	[Gaigalas Card] Physical Fire Property Magic	[가이갈라스 카드] 물리 화속성 마법
[佛朗布卡片] 魔法暗屬性打擊	[Bramble Card] Magic Dark Property Strike	[브람블 카드] 매직 암속성 타격
[鬼眼蜘蛛卡片] 物理毒屬性打擊	[Honeypin Card] Physical Poison Property Strike	[허니핀 카드] 물리 독속성 타격
[火暴地鼠獸卡片] 物理電氣屬性打擊	[Bebraspion Card] Physical Lightning Property Strike	[베브라스피온 카드] 물리 전기속성 타격
[樹林巨獸] 魔法火屬性魔法	[Giant Red Wood Goblin Card] Magic Fire Property Magic	[자이언트 레드 우드 카드] 매직 화속성 마법
[樹林巨獸卡片] 魔法無屬性魔法	[Giant Wood Goblin Card] Magic Non-Property Magic	[자이언트 우드 고블린 카드] 매직 무속성 마법
[奇魯毛蟲獸卡片] 物理毒屬性刺擊	[Kirmelich Card] Physical Poison Property Pierce	[키르멜리치 카드] 물리 독속성 찌르기
[火山龜獸] 物理火屬性魔法	[Magbug] Physical Fire Property Magic	[매그버크] 물리 화속성 마법
[克帕奇樹妖卡片] 物理毒屬性打擊	[Kepachieftain Card] Physical Poison Property Strike	[케파치프틴 카드] 물리 독속성 타격
[艾哈特卡片] 魔法無屬性魔法	[Achat Card] Magic Non-Property Magic	[에하트 카드] 매직 무속성 마법
[虛拿因卡片] 魔法電氣屬性魔法	[Shnayim Card] Magic Lightning Property Magic	[쉬나임 카드] 매직 전기속성 마법
[鎖鏈羅德卡片] 魔法暗屬性魔法	[Tomb Lord Card] Magic Dark Property Magic	[툼로드 카드] 매직 암속성 마법
[巨眼丹提卡片] 魔法電氣屬性 斬擊	[Denoptic Card] Magic Lightning Property Slash	[덴옵틱 카드] 매직 전기속성 베기
[伊提斯大嘴獸卡片] 物理毒屬性魔法	[Iltiswort Card] Physical Poison Property Magic	[일티스워트 카드] 물리 독속성 마법
[巨魔蠍卡片] 物理毒屬性刺擊	[Scorpio Card] Physical Poison Property Pierce	[스콜피오 카드] 물리 독속성 찌르기
[強化毒] 魔法毒屬性魔法	[Enchant Poison] Magic Poison Property	[인챈트포이즌] 매직 독속성 마법
[尖角皮德蟲卡片] 物理毒屬性打擊	[Ravinepede Card] Physical Poison Property Strike	[라바인피드 카드] 물리 독속성 타격
[拉查托特卡片] 物理水屬性魔法	[Rajatoad Card] Physical Water Property Magic	[라자토드 카드] 물리 수속성 마법
[邪惡寶箱怪卡片] 物理暗屬性打擊	[Unknocker Card] Physical Dark Property Strike	[언낙커 카드] 물리 암속성 타격
[薩爾提斯托卡片] 物理水屬性打擊	[Saltistter Card] Physical Water Property Strike	[살티스터 카드] 물리 수속성 타격
[鐵甲殭屍卡片] 物理無屬性斬擊	[Deadborn Card] Physical Non-Property Slash	[데드본 카드] 물리 무속성 베기
[克洛提德卡片] 魔法神聖屬性魔法	[Corrupted Card] Magic Holy Property Magic	[코럽티드 카드] 매직 신성속성 마법
[瑪爾雷飛龍卡片] 魔法無屬性打擊	[Mallet Wyvern Card] Magic Non-Property Strike	[말렛와이번 카드] 매직 무속성 타격
[莫亞班羅喀卡片] 物理無屬性打擊	[Moyabruka Card] Physical Non-Property Strike	[모야브루카 카드] 물리 무속성 타격
[柯里曼希亞卡片] 物理水屬性打擊	[Colimencia Card] Physical Water Property Strike	[콜리멘시아 카드] 물리 수속성 타격
[魔鬼鰩卡片] 魔法水屬性打擊	[Rajapearl Card] Magic Water Property Strike	[라자펄 카드] 매직 수속성 타격
[蘑菇沃特卡片] 魔法毒屬性魔法	[Mushwort Card] Magic Poison Property Magic	[머쉬워트 카드] 매직 독속성 마법
[雷普斯卡片] 物理水屬性刺擊	[Lepus Card] Physical Water Property Pierce	[레푸스 카드] 물리 수속성 찌르기
[斯帕勒那絲卡片] 物理電氣屬性魔法	[Sparnas Card] Physical Lightning Property Magic	[스파르나스 카드] 물리 전기속성 마법
[仙人掌妖精卡片] 物理毒屬性魔法	[Cactusvel Card] Physical Poison Property Magic	[캑터스벨 카드] 물리 독속성 마법
[丟擲] 物理無屬性打擊	[Throw] Physical Non-Property Strike	[던지기] 물리 무속성 타격
[貝洛查德卡片] 魔法毒屬性魔法	[Velorchard Card] Magic Poison Property Magic	[벨로차드 카드] 매직 독속성 마법
[魯托普士卡片] 物理無屬性刺擊	[Luropus Card] Physical Non-Property Pierce	[루토푸스 카드] 물리 무속성 찌르기
[迪歐尼亞卡片] 魔法無屬性魔法	[Dionia Card] Magic Non-Property Magic	[디오니아 카드] 마법 무속성 매직
[凱吉青苔泥人卡片] 物理火屬性打擊	[Gazing Golem Card] Physical Fire Property Strike	[게이징 골렘 카드] 물리 화속성 타격
[樹葉召喚] 魔法無屬性魔法	[Summon Leaves] Non-Property Magic	[나뭇잎 소환] 매직 무속성 마법
[希德拉卡片] 物理水屬性魔法	[Hydra Card] Physical Water Property Magic	[히드라 카드] 물리 수속성 마법
[莫厄卡片] 物理無屬性打擊	[Moa Card] Physical Non-Property Strike	[모아 카드] 물리 무속성 타격
[南瓜燈籠怪卡片] 魔法火屬性刺擊	[Jack O'Lantern Card] Magic Fire Property Pierce	[잭오랜턴 카드] 매직 화속성 찌르기
[孟堤肯卡片] 物理無屬性魔法	[Manticen Card] Physical Non-Property Magic	[맨티켄 카드] 물리 무속성 마법
[瑪因洛德卡片] 物理電氣屬性魔法	[Mineloader Card] Physical Lightning Property Magic	[마인로더 카드] 물리 전기속성 마법
[克萊獰怪卡片] 魔法火屬性魔法	[Grinender Card] Magic Fire Property Magic	[그라이넨더 카드] 매직 화속성 마법
[赫嘉塞露卡片] 物理暗屬性斬擊	[Helgasercle Card] Physical Dark Property Slash	[헬가세르클 카드] 물리 암속성 베기
[耶庫卡片] 魔法暗屬性打擊	[Yekub Card] Magic Dark Property Strike	[예쿱 카드] 매직 암속성 타격
[物理盾牌] 魔法無屬性魔法	[Physical Shield] Non-Property Magic	[물리 실드] 매직 무속성 마법
[史潘飛行獸人卡片] 物理無屬性魔法	[Sparnasman Card] Physical Non-Property Magic	[스파나스맨 카드] 물리 무속성 마법
突刺	Thrust	쓰러스트
痛擊	Bash	배쉬
奮起	Gung Ho	겅호
專注	Concentrate	콘센트레이트
抑制	Restrain	리스트레인
盾心打擊	Umbo Blow	엄보블로
盾緣敲擊	Rim Blow	림블로
敲盾挑釁	Swash Buckling	스워시 버클링
盾牌投擲	Shield Lob	실드랍
高級守護	High Guard	하이가드
蝴蝶	Butterfly	버터플라이
車輪斬	Wagon Wheel	수레바퀴
蓄力一擊	Cartar Stroke	카타스트로크
擊頭	Crown	크라운
十字守護	Cross Guard	크로스 가드
連續斬	Moulinet	뮬리넷
刺擊	Stabbing	스태빙
貫穿擊	Pierce	피어스
瞄準隙缝	Finestra	피네스트라
雙手突刺	Synchro Thrusting	양손찌르기
長驅直入	Long Stride	롱스트라이드
長矛投擲	Spear Throw	투창
盾牌衝鋒	Shield Charge	실드 챠지
蒙塔諾	Montano	몬타노
盾牌碎擊	Targe Smash	타지스매쉬
盾牌推擊	Shield Push	실드푸시
穿刺	Impaler	임패일러
地動波	Earth Wave	어스 웨이브
疾行	Trot	트롯
騎乘衝鋒	Steed Charge	스티드 챠지
毀滅刺擊	Doom Spike	둠 스파이크
突擊	Rush	돌격
死亡牽引	Dragging Death	드래깅 데쓰
開腸剖肚	Embowel	임바우얼
狂怒	Frenzy	프렌지
侵略者	Aggressor	어그레서
野蠻人	Savagery	새비지리
戰鬥怒吼	Warcry	워크라이
踐踏	Stomping Kick	스톰핑 킥
武器維修	Weapon Maintenance	웨폰 매인터넌스
盔甲維修	Armor Maintenance	아머 매인터넌스
維修	Repair	리페어
捕縛	Arrest	포박
海賊旗	Jolly Roger	졸리로저
鐵鉤	Iron Hook	아이언 후크
龍骨拖引	Keel Hauling	킬 홀링
開箱	Unlock Chest	언락 체스트
取消次武器	Cancel Sub Weapon	서브웨폰 캔슬
徵召	Conscript	컨스크립트
方陣	Phalanx	팔랑크스
大方陣	Tercio	테르시오
鶴翼陣	Winged Formation	윙드 포메이션
楔形陣	Wedge Formation	웨지 포메이션
密集方陣	Schiltron Formation	스킬트론
龜甲陣	Testudo	테스튜도
爭鬥者	Skirmisher	스커미셔
方向轉換	Change Direction	방향전환
英勇行動	Deeds of Valor	디드 오브 밸러
苦痛屏障	Pain Barrier	페인 배리어
擊殺	Mordschlag	살격
雙酬	Double Pay Earn	더블페이언
受到傷害3倍	Three times of hit damage	맞는 대미지 3배
折磨	Punish	퍼니쉬
旋風斬	Cyclone	사이클론
自爆	Selfdestruct	자폭
分身術	Shadow Clone	분신술
攻擊準備	Prepare for Attack	공격 준비
角鬥士1	Murmillo 1	무르밀로1
角鬥士2	Murmillo 2	무르밀로2
撞擊肩膀，震退敵人。	Use shoulder to tackle and push away enemy	어깨를 적에게 부딪쳐 밀쳐냅니다.
增加擊倒力量	Increase Knockdown Power	넉다운파워 증가
詛咒	Curse	저주
能量箭	Energy Bolt	에너지 볼트
虛弱	Lethargy	레써지
催眠	Sleep	슬리프
反射盾	Reflect Shield	리플렉트 실드
地震	Earthquake	어스퀘이크
超級詠唱	Surespell	슈어스펠
魔法飛彈	Magic Missile	매직 미사일
快速施法	Quick Cast	퀵캐스트
火球	Fireball	파이어볼
火牆	Fire Wall	파이어월
火焰附魔	Enchant Fire	인챈트 파이어
烈焰	Flare	플레어
火柱	Fire Pillar	파이어 필라
地獄氣息	Hell Breath	헬브레스
冰箭	Ice Bolt	아이스볼트
冰槍	Ice Pike	아이스파이크
冰爆術	Ice Blast	아이스 블래스트
狂風	Gust	거스트
冰柱	Frost Pillar	프로스트필라
靈能壓力	Psychic Pressure	사이킥 프레셔
念動力	Telekinesis	텔레키네시스
位置互換	Swap	스왑
瞬間移動	Teleportation	텔레포테이션
磁力	Magnetic Force	마그네틱 포스
浮空	Raise	레이즈
重力磁場	Gravity Pole	그라비티 폴
解除鏈結	Unbind	언바인드
物理鏈結	Physical Link	피지컬링크
聯合懲罰	Joint Penalty	조인트 페널티
絞首鏈	Hangman's Knot	행맨스 낫
精神鏈結	Spiritual Chain	스피리추얼 체인
臍帶	Lifeline	탯줄
左臂強化	Swell Left Arm	왼팔 강화
體積縮小	Shrink Body	크기 축소
體積變大	Swell Body	크기 확대
能力調換	Transpose	트랜스포스
法陣反轉	Reversi	리버시
右臂強化	Swell Right Arm	오른팔 강화
頭腦全開	Swell Brain	두뇌 풀가동
電擊	Electrocute	일렉트로큐트
石化咒詛	Stone Curse	스톤커스
冰雹	Hail	헤일
紅焰	Prominence	홍염
隕石	Meteor	메테오
召喚惡魔	Summoning	서모닝
召魔：指定攻擊	Attack Ground	지정 공격
召魔：騎乘	Riding	탑승
召魔：變異	Morph	변이
攻擊加快	Quicken	퀴큰
重生	Reincarnate	환생
停止	Stop	스톱
緩速	Slow	슬로우
移動加快	Haste	헤이스트
時間倒轉	Backmasking	백마스킹
屍塊收集	Gather Corpse	게더 콥스
製造修格斯	Create Shoggoth	쇼고스 만들기
屍塊砲擊	Flesh Cannon	플레쉬 캐논
屍塊護環	Flesh Hoop	플레쉬 후프
土牆	Dirty Wall	더티 월
屍塊挖掘	Disinter	디신터
燃燒	Combustion	컴버스천
魔法大盾	Magic Pavise	마법 파비스
挖掘	Dig	디그
烘培	Roasting	로스팅
熔合	Briquetting	브리케팅
製作藥劑	Tincturing	팅크쳐링
究極煉成	Magnum Opus	마그눔 오푸스
對指定對象施展 [詛咒]，降低防禦能力值。	Apply [Curse] to the target and reduce its defense	지정한 대상에게 [저주]를 걸어 방어능력치를 떨어 트립니다.
目前開發中	Currently in development	현재 개발 중
大理石	Marble	마블
黑洞	Black Hole	블랙홀
倒數	Countdown	카운트다운
提升攻速的BUFF	Buff for adding attack speed	공속올려주는 버프
測試	test	테슷흐
多重射擊	Multi Shot	멀티샷
滿弦	Full Draw	풀드로우
跪射	Kneeling Shot	닐링샷
迅步	Swift Step	스위프트스텝
斜射	Oblique Shot	오블리크 샷
扇射	Barrage	배라지
貫通箭	High Anchoring	하이앵커링
暴擊射擊	Critical Shot	크리티컬 샷
穩定瞄準	Steady Aim	스테디에임
定時炸彈箭	Time Bomb Arrow	타임봄 애로우
彈跳射擊	Bounce Shot	바운스샷
箭雨	Arrow Sprinkle	화살비
螺旋箭	Spiral Arrow	스파이럴 애로우
置盾	Deploy Pavise	파비스 설치
丟擲鐵蒺藜	Scatter Caltrops	캘트롭 뿌리기
撿取石頭	Stone Picking	돌멩이 줍기
石頭射擊	Stone Shot	스톤샷
連續射擊	Rapid Fire	래피드파이어
掃蕩陷阱	Broom Trap	브룸트랩
竹尖釘	Punji Stake	푼지스테이크
引爆陷阱	Detonate Traps	데토네이트 트랩
追蹤咬擊	Coursing	코싱
咬回	Retrieve	리트리브
攫取	Snatching	스내칭
讚揚	Praise	프레이즈
標記	Pointing	포인팅
追蹤	Hounding	하운딩
解毒	Detoxify	해독
吹箭	Needle Blow	취시
蠱惑	Bewitch	고혹
蜈蚣蠱	Wugong Gu	오공고
毒罐	Throw Gu Pot	독항아리
金蠶蠱	Jincan Gu	금잠고
偽裝	Camouflage	카모플라주
響箭	Flu Flu	플루플루
燃燒箭	Flare Shot	플레어 샷
潛行	Cloaking	클로킹
距離扭曲	Perspective Distortion	원근왜곡
掃瞄	Scan	스캔
預備	Be Prepared	차렷
偷襲	Sneak Hit	스닉 힛
佯攻	Feint	페인트
揮舞弓箭	Brandish Bow	브랜디쉬 보우
潛伏	Burrow	버로우
闊箭	Broadhead	브로드헤드
錐箭	Bodkin Point	보드킨 포인트
荊棘箭	Barbed Arrow	바브드애로
交叉火力	Crossfire	크로스파이어
演奏笛子	Playing Flute	피리 연주
感情	Identify	감정
腿部射擊	Leg Shot	다리쏘기
軍刀突刺	Saber Thrust	세이버 쓰러스트
軍刀痛擊	Saber Bash	세이버 배쉬
騎兵集氣	Cavalry Charge	카발리 챠지
軍馬衝突	Horse Tackle	군마충돌
空砲彈	Blank Ammunition	공포탄
集中炮火	Concentrated Fire	집중포화
箭頭攻擊	Pommel Attack	폼멜찍기
弱化	Weakening	약화
逃脫射擊	Caracole	카라콜
騎射	Limacon	리마콘
淨化	Cure	큐어
安全領域	Safety Zone	세이프티 존
破防領域	Deprotected Zone	디프로텍티드 존
神聖力量	Divine Might	디바인 마이트
暴擊魔法陣	Zalciai	잘챠이
神光	Daino	다이노
神聖烙印	Divine Stigma	디바인 스티그마
祈禱	Melstis	멜스티스
潑灑聖水	Aspersion	아스퍼션
聖光體	Monstrance	몬스트런스
祝福	Blessing	블레싱
復活術	Resurrection	리저렉션
聖禮	Sacrament	사크라멘트
消護	Protection	수호
多多拉	Dodola	도돌라
迷惑	Hexing	헥싱
釘草人	Effigy	에피지
驅屍	Tet Mamak La	텟 마카클라
製造殭屍	Zombify	좀비 만들기
符咒	Mackangdal	마캉달
殭屍圍繞	Bwa Kayiman	브와카이망
體力旗幟	Samediveve	삼디베베
力量旗幟	Ogouveve	오구베베
殭屍自爆	Damballa	댐발라
澤米娜女神像	Statue of Goddess Zemyna	제미나 여신상
拉伊瑪女神像	Statue of Goddess Laima	라이마 여신상
雕刻攻擊	Carve Attack	목각 공격
貓頭鷹雕刻	Carve Owl	부엉이 조각
雕刻世界樹	Carve World Tree	세계수 조각
靈魂出竅	Out of Body	유체이탈
魂魄移動範圍150	Body moving range 150	유체 이동 범위 150
靈體合一	Prakriti	프라크리티
支配	Possession	포제션
衰弱	Vashita Siddhi	바쉬타 싯디
靈魂爆炸	Astral Body Explosion	유체 폭발
能量傳送	Transmit Prana	프라나 전송
重擊	Smite	스마이트
恢復	Restoration	리스토레이션
皈依	Conversion	개종
魔法陣持續時間10秒	Magic circle duration 10 seconds	마법진 지속시간 10초
元素抗性	Resist Elements	레지스트 엘레멘츠
驅趕惡靈	Turn Undead	턴 언데드
障壁	Barrier	배리어
鐵布衫	Iron Skin	철포삼
雙鎖功	Double Punch	쌍쇄공
鐵砂掌	Palm Strike	철사장
觀音掌	Hand Knife	관음장
寸勁	One Inch Punch	촌경
氣功波	Energy Blast	양광수
製作驅除器	Dispeller Crafting	디스펠러 제작
聖職買賣	Simony	시모니
推進器製作	Craft Booster	부스터제작
魔法商店	Spell Shop	주문 판매상점 개설
寬恕	Indulgentia	인둘겐티아
奉獻	Oblation	봉헌
心靈控制	Telepath	텔레파쓰
肉食化	Carnivory	육식화
形態變換	Shape Shifting	쉐입시프팅
變形術	Transform	트랜스폼
防禦植物	Sterea Trofh	스트레아 트로페
速成植被	Chortasmata	코르타스마타
植物化	Make into Plant	식물화
女神呼喚	Call of Deities	콜오브디어티스
秘法能量	Arcane Energy	아케인에너지
轉換	Change	체인지
預知眼	Clairvoyance	클레어보이언스
反擊	Counter Spell	카운터스펠
預知	Forecast	포어캐스트
讓組隊成員開始狂熱時間	Fever time starts on party members	파티원에게 피버타임 시작
喚醒對象的靈魂	Take out soul target	대상의 영혼을 꺼낸다
測試技能	Test Skill	테스트스킬
昏倒	Stun	기절
無法行動。	Unable to move	행동 불가.
恐怖	Fear	공포
出血	Bleeding	출혈
過多出血	Excessive Bleed	과다출혈
疾走	Spurt	질주
恢復	Recovery	회복
發現	Discovery	발견
休息	Rest	휴식
安全	Safety	안전
寒氣	Chilly	냉기
結冰	Frozen	결빙
著火	Ignite	발화
復活後遺症	Resurrection After Effects	부활 후유증
移動速度增加	Increase Movement Speed	이동속도증가
衝擊波	Shock wave	충격파
火焰	Fire	화염
召魔：待命	Hold	홀드
固定移動速度	Fixed Movement Speed	이동속도고정
暗黑	Dark	암흑
士氣BUFF	OP Buff	사기버프
猛毒	Deadly Poison	맹독
傳染性劇毒	Contagious Deadly Poison	전염성 맹독
迴避	Evasion	회피
防禦衝擊	Defense Shock	방어 충격
石化	Petrify	석화
強化忍耐	Enhance patience	강화 인내
活著的火花	Burning Flame	살아있는 불꽃
觸發寒氣	Trigger chill	냉기 촉발
燃燒	Burn	타오름
平靜	Calm	진정
中毒	Poison	중독
透明	Transparent	투명
怪物抑制	monster Hold	몬스터 홀드
怪物抑制 Script 連續	Monster hold script link	몬스터 홀드 스크립트 연계
攻擊力增加	Increased Attack	공격력 증가
攻擊力和迴避數值減少	Attack and evasion decrease	공격력과 회피 수치 감소
SP、耐力增加	Increased SP & Stamina	SP, 스태미나 증가
SP、耐力恢復量增加	Increases the amount of SP and Stamina recovery	SP, 스태미나 회복량 증가
憤怒	Rage	분노
中毒氣息	Addiction Aura	중독의 오오라
成長	Growth	성장
混亂	Confusion	혼란
僵直	Staggered	경직
玩家 RAISEUP	Player RAISEUP	플레이어 RAISEUP
凍結	Frozen	얼어붙음
行動者 Frozen	Actor Frozen	액터 Frozen
陣營破壞	Destroy Camp	진영 파괴
吸引	Suction	흡인
反射	Reflection	반사
技能追加中	Adding skills	스킬 추가중
犧牲	Sacrifice	희생
生機位置互換	Exchange life	생기 교환
靜止	Stop	정지
移動速度增加	Increased Movement Speed	이동속도 증가
移動速度大幅增加	Significantly increases Movement Speed	이동속도 대폭 증가
離子	Ion	이온
對象以外周圍傷害	Damage surroundings except target	대상제외 주변데미지
防具破壞	Armor Break	방어구파괴
傷害負面BUFF	Damage Debuff	데미지디버프
隱藏角色(影片用)	Hide character (for video)	캐릭터감추기(영상용)
以念動力抓住敵人	Capture enemies with Telekinesis	텔레키네시스로 적을 붙잡음
被念動力抓住的狀態	Captured by Telekinesis	텔레키네시스로 인해 붙잡힌 상태
反射盾牌	Reflect Shield	리플렉트 쉴드
發生恐怖和混亂	Causes Fear and Confusion	공포와 혼란 발생
響箭效果	Flu Flu Effect	플루플루 효과
發生恐怖	Fear Outbreak	공포 발생
全身汽油	Oil Stains	기름범벅
神聖氣息	Holy Aura	홀리아우라
對我軍施展新取得的BUFF。	Spread newly received buffs to allies	새로받은 버프를 아군에게 뿌린다.
煙霧	Fog	포그
箱子隱藏	Hide in Box	상자숨기
擋開	Parrying	패링
消滅此狀態的敵人後，力量和智力會暫時增加。	STR and INT increased when killing enemy in this state	이 상태의 적을 죽이면 힘과 지능이 일시적으로 증가함
北斗陣	Great Bear camp	북두진
挑釁	Provoke	도발
稍後獲得傷害	Receive damage after a while	잠시 후 피해를 받음
火柱	Fire Pillar	파이어필라
感染	Infection	감염
無法移動	Movement Disabled	이동불가
減少移動速度	Decreased movement speed	이동속도 감소
出血毒	Bleeding Poison	출혈 독
神經毒	Neurotoxin	신경 독
要害強打	Vital Strike	급소 강타
庇護	Bless	블레스
聖水洗禮	Holy Baptism	성수 세례
局限	Limitation	리미테이션
毒液	Venom	베놈
生命之光。	Light of Life	생명의 빛
減少移動速度	Decreased movement speed	이동 속도 감소
神聖氣息	Divine Aura	신성의 기운
增加物理、魔法防禦力	Physical and magic defense increase	물리, 마법 방어력이 증가
笑咪咪	Round	빙글
滴溜溜	All around	빙그르르
無法攻擊狀態	Attack disabled	공격불능상태
懸賞金	Reward	현상금
轉動	Round and round	빙글빙글
體力氣息	HP Aura	체력오오라
鸚鵡	Parrot	앵무새
擊倒力量增加	Increased knockdown power	넉다운파워증가
丟擲裝備	Throw Equipment	장비 던지기
隱藏左手裝備	Hide Left-handed Equipment	왼손장비 감추기
隱藏左手裝備	Hide Left-handed Equipment	왼손장비 감춤
隱藏右手裝備	Hide right handed Equipment	오른손장비 감추기
隱藏右手裝備	Hide Right-handed Equipment	오른손장비 감춤
迅步	Swift Step	스위프트 스텝
發生距離扭曲	Perspective distortion occurs	원근왜곡이 발생하고 있음
神聖力量	Divine Might	디바인마이트
取消次武器	Cancel Sub Weapon	서브웨폰캔슬
衝擊	Shock	충격
增加暴擊攻擊力	Increased critical attack	치명타 공격력 증가
減少暴擊抵抗	Decreased critical resistance	치명타 저항 감소
神聖烙印BUFF	Divine Stigma buff	디바인 스티그마 버프
移動射擊 on	Moving Shot On	무빙샷on
冰爆術	Ice Blast	아이스블래스트
攻擊力強化	Enhanced Attack	공격력 강화
暫時增加攻擊力。	Temporarily increased attack	일시적으로 공격력이 증가합니다
1次暴擊增加	One-Time Increased Critical	1회 크리증가
防禦力增加	Increased defense	방어력증가
力量減少	Reduce STR	힘감소
力量減少	Decreased STR	힘이 감소합니다
神聖	Holiness	신성함
神聖攻擊力追加	Added Holy attack	신성 공격력 추가
防禦力減少	Decreased defense	방어력 감소
敏捷暫時大幅提升	Agility is temporarily increased significantly	민첩이 일시적으로 대폭 상승
增加刺擊傷害。	Increased Pierce damage	찌르기 데미지 증가
強化火焰	Enchant Fire	인챈트파이어
激奮	Rage	격분
傷害增加、SP消耗量增加	Increased damage and SP cost	데미지 증가, sp 소모량 증가
集氣中-迴避	Charging - Evasion	차지중-회피
吹箭毒	Needle Blow Poison	취시 독
高亢毒	Gohang Venom	고항 독
拖引飛行體	Pull down flying object	비행체끌어내리기
失衡	Unbalanced	언밸런스
角鬥士	Murmillo	무르밀로
升級	Level Up	레벨업
分身	Shadow Clone	분신
大頭	Big Head	대두
束縛	Trap	결박
炸彈爆炸，對周圍造成傷害。	Bomb explodes and inflicts damage around	폭탄이 터지고, 주변에 피해를 입힙니다.
增加最大 SP和最大 STA	Increased maximum SP and STA	최대 SP와 최대 STA 증가
魔法無法及消除負面BUFF	Invalid magic and remove debuff	마법 무효 및 디버프 제거
力量增加	Increase Strength	힘 증가
力量增加	Strength increases	힘이 증가
體力增加	Increase HP	체력 증가
體力增加	Increase CON	체력이 증가
智力增加	Increase INT	인트 증가
智力增加	Increase Intelligence	지능이 증가
敏捷增加	Increase DEX	민첩 증가
敏捷增加	Agility is increased	민첩이 증가
破壞力量	Power of destruction	파괴의 힘
守護力量	Power of the guardian	수호의 힘
防禦力增加	Increase defense	방어력 증가
超級瑪利歐	Super Mario	슈퍼마리오
超級瑪利歐 BUFF	Super Mario Buff	슈퍼마리오 버프
女神淨化	Goddess' Purification	여신의 정화
攻擊能力喪失	Loss ability to attack	공격능력 상실
SP 恢復	SP Recovery	SP 회복
SP 恢復	SP Recovery	SP가 회복
HP 恢復	HP Recovery	HP 회복
HP 恢復	HP Recovery	HP가 회복
梅杜莎	Medusa	메두사
卡普利頌的力量	Cafrisun's Power	카프리선의 힘
攻擊時，追加 +12 地屬性固定傷害	+12 additional Earth property damage when attacking	공격시 +12 땅 속성 고정 피해 추가
發動魔龍凱拉斯卡片	Activated Gaigalas Card	가이갈라스 카드 발동
發動波亞塔卡片	Activated Poata Card	포아타 카드 발동
發動梅里那斯賽克爾卡片	Activated Melinas Sequoia Card	멜리나스 세콰이어 카드 발동
發動查里亞斯樹精卡	Activated Zalias Woodspirit Card	잘리아스 우드스피릿 카드 발동
增加地屬性抵抗力。	Increases Earth Property Resistance	땅 속성 저항력이 증가합니다.
發動查伊波卡片	Activated Chafer Card	체이퍼 카드 발동
發動鐵甲殘魔卡片	Activated Abomination Card	어보미네이션 카드 발동
發動樹精卡片	Activated Woodspirit Card	우드스피릿 카드 발동
發動火山龜獸放片	Activated Magbirk Card	매그버크 카드 발동
發動鐵甲殭屍卡片	Activated Deadborn Card	데드본 카드 발동
發動巨眼丹提卡片	Activated Denoptic Card	덴옵틱 카드 발동
發動魔地獸卡片	Activated Moldyhorn Card	몰디혼 카드 발동
發動鎖鏈羅德卡片	Activated Tomb Lord Card	툼로드 카드 발동
發動蘑菇卡利亞卡片	Activated Mushcaria Card	머슈카리아 카드 발동
發動奇葛拉斯卡片	Activated Ginklas Card	긴클라스 카드 발동
發動貝洛查德卡片	Activated Velorchard Card	벨로차드 카드 발동
發動南瓜燈籠怪卡片	Activated Jack O'Lantern Card	잭오랜턴 카드 발동
發動斯帕勒那絲卡片	Activated Sparnas Card	스파르나스 카드 발동
發動利卡烏斯卡片	Activated Rikaus Card	리카우스 카드 발동
發動地獄三頭犬卡片。	Activated Cerberos Card	켈베로스 카드 발동
發動克洛佩斯卡片	Activated Carapace Card	캐러페이스 카드 발동
