皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
假假真真的聖所？(1)	Sanctum of Truth or Lie? (1)	거짓 또는 진실의 성소?(1)
膜拜中/WORSHIP/4/TRACK_BEFORE/SSN_HATE_AROUND	Worshiping WORSHIP / 4 / TRACK_BEFORE / SSN_HATE_AROUND	경배 중/WORSHIP/4/TRACK_BEFORE/SSN_HATE_AROUND
假假真真的聖所？(2)	Sanctum of Truth or Lie? (2)	거짓 또는 진실의 성소?(2)
正在說明聖所的工作/TALK/2/TRACK_BEFORE/None	Describing the work of the Sanctum / TALK / 2 / TRACK_BEFORE / None	성소의 일을 설명 하는 중/TALK/2/TRACK_BEFORE/None
那柯堤斯？大教堂？	Naktis? Great Cathedral?	나크티스? 대성당?
燃燒中/MAKING/3/TRACK_BEFORE/None	Burning / MAKING / 3 / TRACK_BEFORE / None	태우는 중/MAKING/3/TRACK_BEFORE/None
祝福的必要條件	Prequisite Blessing	축복의 필수 조건
盛水來	Get water	물을 떠 온다
不想做	Do not do it	하지 않는다
舀水中/SITGROPE/2/TRACK_BEFORE/None	Getting water/ SITGROPE / 2 / TRACK_BEFORE / None	물 뜨는 중/SITGROPE/2/TRACK_BEFORE/None
放上清水膜拜中/WORSHIP/4/TRACK_BEFORE/None	Worshiping with clean water/ WORSHIP / 4 / TRACK_BEFORE / None	맑은 물을 놓고 경배 중/WORSHIP/4/TRACK_BEFORE/None
尋找真正的女神像	In Search of the True Goddess Statue	진짜 여신상을 찾아
在聖所付出真心	Sincerity in the Sanctum	진심을 성소에
去尋找草花	Get grass flowers	풀꽃을 구해 온다
直接經過	Just pass by	그냥 지나 간다
獻上花朵膜拜中/WORSHIP/3/TRACK_BEFORE/None	Offering flowers and worship/ WORSHIP / 3 / TRACK_BEFORE / None	꽃을 바치고 경배 하는 중/WORSHIP/3/TRACK_BEFORE/None
用金錢獲得的祝福(1)	Blessing through Money (1)	금전으로 받는 축복(1)
捐款	Donate	헌금한다
不捐款	Don't donate	헌금하지 않는다
燃燒淨化符中/FIRE/3/TRACK_BEFORE/None/None/1/BOT/F_pattern004_fire/1/BOT	Buring Purifier/ FIRE / 3 / TRACK_BEFORE / None / None / 1 / BOT / F_pattern004_fire / 1 / BOT	정화부를 태우는 중/FIRE/3/TRACK_BEFORE/None/None/1/BOT/F_pattern004_fire/1/BOT
用金錢獲得的祝福(2)	Blessings through Money (2)	금전으로 받는 축복(2)
用虔誠的心	With Devotion	경건한 마음으로
擺脫迷惑(1)	Avoiding Infatuation (1)	미혹에서 벗어나(1)
來朝聖的理由	Reason for coming in pilgrimage	순례를 온 이유
擺脫迷惑(2)	Avoiding Infatuation (2)	미혹에서 벗어나(2)
現在真麻煩	Now it's tiresome	이제 귀찮다
擺脫迷惑(3)	Avoiding Infatuation (3)	미혹에서 벗어나(3)
逃出來的理由	Reason for escaping	도망 쳐 온 이유
擺脫迷惑(4)	Avoiding Infatuation (4)	미혹에서 벗어나(4)
去一趟再回來	I'll go now	다녀 오겠다고 한다
虛假的交叉路	Bridge Road of Pretense	가식의 교각로
對某人來說重要的	Precious to Someone	누군가에겐 소중한
觀察墓碑中/MAKING/2/TRACK_BEFORE/None	Looking at the tombstone/ MAKING / 2 / TRACK_BEFORE / None	묘비를 살펴 보는 중/MAKING/2/TRACK_BEFORE/None
丟在墓地裡的東西	Discarded in the the grave	묘지에 버려진 것
觀察中/LOOK/3/TRACK_BEFORE/None	Taking a look / LOOK / 3 / TRACK_BEFORE / None	살펴 보는 중/LOOK/3/TRACK_BEFORE/None
開啟箱子中/UNLOCK/2/TRACK_BEFORE/None	Opening the box/UNLOCK/2/TRACK_BEFORE/None	상자를 여는 중/UNLOCK/2/TRACK_BEFORE/None
觀察四周	Look around	주변을 둘러 본다
正在尋找甕/SITGROPE/2/TRACK_BEFORE/None	Looking for the jar/SITGROPE/2/TRACK_BEFORE/None	항아리 찾는 중/SITGROPE/2/TRACK_BEFORE/None
噴灑樹液中/STANDUP/2/TRACK_BEFORE/None/F_light061/1/BOT	Spraying the sap/STANDUP/2/TRACK_BEFORE/None/F_light061/1/BOT	수액을 뿌리는 중/STANDUP/2/TRACK_BEFORE/None/F_light061/1/BOT
為了空間的移動(1)	To Move Across Space (1)	공간의 이동을 위해(1)
這個空間的秘密	Secret of the Unusual Place	이공간의 비밀
王室調查團普雷伊的請求	Royal Investigator Frey's Request	왕실조사단 프레이의 부탁
一邊想著為什麼？我幹嘛做這個？然後拒絕	Why should I do things like that	내가 그런걸 왜 해야 하냐면서 거절한다
奇異的雕像(1)	Eccentric Statue (1)	기이한 조각상(1)
因為沒有關聯，應該很難看到	I think you can't say they are not related	관련이 없다고 보긴 힘들 것 같다고 한다
好像完全沒有任何關聯	They don't seem to be related	전혀 관련이 없을 것 같다고 한다
奇異的雕像(2)	Eccentric Statue (2)	기이한 조각상(2)
去跟史考特拿報告書	I'll get the reports from Scott	스캇에게 보고서를 받아 오겠다고 한다
奇異的雕像(3)	Eccentric Statue (3)	기이한 조각상(3)
將報告書交給普雷伊	I'll deliver the report to Frey	프레이에게 보고서를 전해 주겠다고 한다
樹皮的秘密(1)	Secret of the Bark (1)	나무껍질의 비밀(1)
去收集赤紅布貝弓箭手的精神體	I'll gather the soul of the red Vubbe archer	붉은 부베 궁수의 정신체를 모으겠다고 한다
樹皮的秘密(2)	Secret of the Bark (1)	나무껍질의 비밀(2)
去找找看補給品	I'll find the supplies	보급품을 찾아 보겠다고 한다
樹皮的秘密(3)	Secret of the Bark (3)	나무껍질의 비밀(3)
提議去追蹤怪物看看	I'll try to chase the monsters	몬스터를 추적해보겠다고 제안한다
布貝們的異常行動	Abnormal behavior of Vubbe	부베들의 이상행동
會去追趕布貝們	I'll follow the Vubbes	부베들의 뒤를 쫓겠다고 한다
解散集結幽靈(1)	Disband the Ghost Assembly (1)	유령 집결 해체(1)
去破壞布貝的旗幟	I'll destroy the flag of the Vubbes	부베의 깃발을 파괴하겠다고 한다
Notice/移動至下一個區域#5	Notice /Move to next area # 5	Notice/다음 지역으로 이동#5
解散集結幽靈(2)	Disband the Ghost Assembly (2)	유령 집결 해체(2)
解散集結幽靈(3)	Disband the Ghost Assembly (3)	유령 집결 해체(3)
消滅衝過來的怪物	Defeat the attacking monsters	달려드는 몬스터 처치
觀察中/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND	Taking a look/ SITGROPE / 3 / TRACK_BEFORE / SSN_HATE_AROUND	살펴 보는 중/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND
重新挖掘中/SITGROPE/5/TRACK_AFTER/SSN_HATE_AROUND	Digging it again / SITGROPE / 5 / TRACK_AFTER / SSN_HATE_AROUND	다시 파 보는 중/SITGROPE/5/TRACK_AFTER/SSN_HATE_AROUND
消滅擋住去路的怪物	Defeat the monsters blocking the road	길을 막고있는 몬스터 처치
打開寶物箱	Open the Treasure Chest	보물 상자 열기
貓頭鷹雕像的緣由	Story of the Owl Sculpture	부엉이 조각상의 사연
貓頭鷹雕像的痕跡	Traces of the Owl Sculpture	부엉이 조각상의 흔적
雕像倒下的理由	Why the Owl Sculpture Fell	조각상이 쓰러진 이유
貓頭鷹的永眠	Eternal Sleep of the Owls	부엉이의 영면
正在尋找油/#SITGROPESET2/2/TRACK_BEFORE/None	Finding oil/#SITGROPESET2/2/TRACK_BEFORE/None	기름 찾는 중/#SITGROPESET2/2/TRACK_BEFORE/None
斷層地的破壞者	Destroyer of the Fault Line	단층지의 파괴자
擺設倒下的雕像/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND	Standing the fallen statue/ MAKING / 3 / TRACK_BEFORE / SSN_HATE_AROUND	쓰러진 조각상을 세우는 중/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
貓頭鷹雕像的安息	Rest of the Owl Sculptures	부엉이 조각상의 안식
點火中/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND	Lighting fire/ FIRE / 2 / TRACK_BEFORE / SSN_HATE_AROUND	불 붙이는 중/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND
貓頭鷹雕像的火葬	Owl Sculpture Cremation	부엉이 조각상 화장
點火中/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND	Igniting fire/ MAKING / 3 / TRACK_BEFORE / SSN_HATE_AROUND	불 불이는 중/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
貓頭鷹雕像的葬禮	Owl Sculpture Funeral	부엉이 조각상 장례
薩爾提斯托的奇襲	Saltistter's Raid	살티스터의 급습
快逃吧	Run away quickly	빠르게 도망가자
巡查路的營火(1)	Bonfire of the Patrol Road (1)	순찰로의 모닥불(1)
巡查路的營火(5)	Bonfire of the Patrol Road (5)	순찰로의 모닥불(5)
點火中/FIRE/2/TRACK_BEFORE/None	Lighting fire/FIRE/2/TRACK_BEFORE/None	불 붙이는 중/FIRE/2/TRACK_BEFORE/None
裝靈魂的容器(1)	A Vessel for a Spirit (1)	영혼을 담는 그릇(1)
詢問要怎麼做才能受到引導	Ask him how you can get guidance	어떻게 하면 안내를 받을 수 있는지 묻는다
既然如此決定自己去找	I will find it alone	그렇다면 혼자 찾겠다고 한다
裝靈魂的容器(2)	A Vessel for a Spirit (2)	영혼을 담는 그릇(2)
要把經典找回來	I will find the scripture	경전을 찾아 오겠다고 한다
裝靈魂的容器(3)	A Vessel for a Spirit (3)	영혼을 담는 그릇(3)
詢問召喚方法	Ask him how to call him	부르는 방법을 물어 본다
慈悲與救援(1)	Mercy and Salvation (1)	자비와 구원(1)
我會去尋找慈悲的遺物	I will retrieve the artifacts of the mercy	자비의 유물을 찾아 오겠다고 한다
慈悲與救援(2)	Mercy and Salvation (2)	자비와 구원(2)
詢問那應該怎麼做才好	Ask him what to do	그럼 어떻게 해야 하는지 묻는다
錯過的東西就沒辦法了	Tell him that there is nothing that can be done for the ones missed	놓친 건 어쩔 수 없다고 한다
慈悲與救援(3)	Mercy and Salvation (3)	자비와 구원(3)
我會前往至聖所	I'll go to the Holy place	지성소로 가겠다고 한다
無止盡的不敬	Endlessly Blasphemous	끝없이 불경스러운
會幫你找聖物	I will retrieve the Relics	성물을 찾아 주겠다고 한다
尋找大教堂物品(2)	Find the object of the Great Cathedral(2)	대성당 물건 찾기(2)
別擔心，交給我吧	Tell her not to worry and trust you	걱정 말고 맡겨달라고 한다
祭司們的研究報告書	Research Reports of the Priests	사제들의 연구 보고서
會幫你帶回研究報告書	I will retrieve the research reports	연구 보고서를 구해 주겠다고 한다
大回廊的可疑裝置(1)	The suspicious devices of the great hall(1)	대회랑의 수상한 장치들(1)
拒絕	Reject	거부
梅伊班的裝置(2)	Maven's Device (2)	메이번의 장치(2)
緊急狀況	Critical Situation	긴급 상황
大回廊的可疑裝置(2)	The suspicious devices of the great hall(2)	대회랑의 수상한 장치들(2)
散落在大回廊的文件	The scattered documents at the great hall	대회랑에 흩어진 문서
一起尋找	Look for them together	같이 찾는다.
被搶走的研究資料	Deprived study materials	빼앗긴 연구 자료들
研究成果	Study Output	연구 성과
祭司製作的藥	Medicine which Priest made	사제가 만든 약
那柯堤斯部下的襲擊	The attack of the fellows of Naktis	나크티스의 부하의 습격
祭司的研究(1)	The Priest's Research (1)	사제의 연구(1)
祭司的研究(2)	The Priest's Research (2)	사제의 연구(2)
祭司的研究(3)	The Priest's Research (3)	사제의 연구(3)
祭司的努力(2)	The Priest's Hard Work (2)	사제의 노력(2)
啟動裝置中/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND	The device is activating/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND	장치 작동 중/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND
祭司的研究(4)	The Priest's Research( 4)	사제의 연구(4)
祭司的努力(1)	The Priest's Hard Work (1)	사제의 노력(1)
隨機應變(1)	Adapting to Circumstances (1)	임기응변(1)
隨機應變(3)	Adapting to Circumstances (3)	임기응변(3)
隨機應變(4)	Adapting to Circumstances (4)	임기응변(4)
隨機應變(5)	Adapting to Circumstances (5)	임기응변(5)
至聖所可疑的裝置(1)	The suspicious devices at the sanctuary(1)	지성소의 수상한 장치들(1)
遺失的東西	The Lost Object	잃어버린 물건
被封印的門	The sealed door	봉인된 문
至聖所可疑的裝置(2)	The suspicious devices at the sanctuary(2)	지성소의 수상한 장치들(2)
那柯堤斯的憤怒	Naktis' Wrath	나크티스의 분노
魔族的物品	The object of demons	마족의 물건
祭司的失誤	The mistake of the disciple	사제의 실수
觀察機械裝置中/LOOK/3/TRACK_BEFORE/None	Looking after the device/LOOK/3/TRACK_BEFORE/None	기계 장치 살피는 중/LOOK/3/TRACK_BEFORE/None
主教的最後使命(1)	The Bishop's Last Mission (1)	주교의 마지막 사명(1)
主教的最後使命(2)	The Bishop's Last Mission (2)	주교의 마지막 사명(2)
放置聖書中/MAKING/3/TRACK_BEFORE/None	Putting the Scripture/MAKING/3/TRACK_BEFORE/None	성서 놓는 중/MAKING/3/TRACK_BEFORE/None
隨機應變(2)	Adapting to Circumstances (2)	임기응변(2)
正在收拾祭司的屍體/MAKING/3/TRACK_BEFORE/None	Collecting the corpses of the disciples/MAKING/3/TRACK_BEFORE/None	사제의 시신 수습 중/MAKING/3/TRACK_BEFORE/None
研究資料(1)	Research(1)	연구 자료(1)
這點程度我可以幫你找	I can get them	그 정도는 구해 줄 수 있다고 한다
研究資料(2)	Research(2)	연구 자료(2)
當然能找給你	I can get them for sure	물론 구해 줄 수 있다고 한다
那就先走一步了	I should go back	그만 가 보겠다고 한다
與士兵杜米尼克對話	Talk to Soldier Dominic	병사 도미니크와 대화
偵查貝爾圖伊交叉路	Patrol Veltui Crossroads	벨투이 교차로로 정찰
消滅出現在交叉路上的怪物	Defeat the monsters that appeared near the Crossroads	교차로에 나타난 몬스터 처치
與士兵山姆森對話	Talk to Soldier Samson	병사 샘슨과 대화
在毛蟲獸肚子裡尋找訂婚戒指	Look for the engagement ring in Meleech's stomach	멜리치의 뱃속에서 약혼반지 찾기
交給士兵山姆森	Give it to Soldier Samson	병사 샘슨에게 전달
吞掉訂婚戒指的毛蟲獸	Meleech that swallowed the engagement ring	약혼 반지를 삼킨 멜리치
收集伊薛希奈堤懸崖裡乾掉的樹枝	Collected Dry Thorn Forest Wood from Ishisineti Cliff	이쉬시네티 벼랑에서 마른 나뭇가지 수집
調查腐爛的樹木殘根	Inspect the Rotten Stump	썩은 나무 등걸 조사
消滅樹林巨獸哥布林	Defeat Giant Red Wood Goblin	거대한 우드 고블린을 처치
與士兵里納斯對話	Talk with Soldier Rinas	병사 리나스와 대화
消滅樹林巨獸哥布林	Defeat Giant Red Wood Goblin	자이언트 레드 우드 고블린 처치
與指揮官朱利安對話	Talk to Commander Julian	지휘관 줄리안과 대화
交給士兵福爾特	Hand it over to Soldier Poulter	병사 폴터에게 전달
與士兵福爾特對話	Talk to Soldier Poulter	병사 폴터와 대화
幫助福爾特消滅附近的怪物	Defeat the monsters nearby to help Poulter	폴터를 도와 근처 몬스터 처치
消滅周圍的怪物	Defeat the nearby monsters	주변 몬스터 처치
與指揮官歐路克對話	Talk to Commander O'Rourke	지휘관 오루크와 대화
消滅攻過來的樹林哥布林	Defeat the attacking Wood Goblins	습격해오는 우드고블린 처치
與離開的貓頭鷹雕像對話	Talk to the Substitute Owl Sculpture	떠나가는 부엉이 조각상과 대화
消滅畢雷堤空地的樹精庫爾	Defeat Treegools at Byreti Vacant Lot	비레티 공터의 트리굴 처치
向離開的貓頭鷹雕像報告	Report to the Substitute Owl Sculpture	떠나가는 부엉이 조각상에게 보고
消滅樹精庫爾	Defeat Treegools	트리골 처치
與歐路克對話	Talk with O'Rourke	오루크와 대화
在尼爾羅斯街道尋找士兵	Look for the soldiers at Niurus Highway	니우러스 가도에서 병사 찾기
與士兵卡爾路斯對話	Talk to Soldier Kallus	병사 칼루스와 대화
消滅威脅士兵的怪物	Defeat the monsters threatening the soldier	병사를 위협하는 몬스터 처치
與定居的貓頭鷹雕像對話	Talk to the Settled Owl Sculpture	정착한 부엉이 조각상과 대화
消滅周圍的樹林哥布林	Defeat nearby Ravinelarvae	주변의 우드 고블린 처치
消滅毒妖花	Defeat Ravinelarva	러바인러바 처치
與士兵戴伊紐斯對話	Talk to Soldier Dainus	병사 다이뉴스와 대화
尋找位於德利耶查濕地的其他士兵們	Look for the other soldiers at Drieza Waterland	드리에자 습지에서 다른 병사들 찾기
消滅鋼鐵巴溫	Defeat Ironbaum	아이언바움 처치
發現在破旗森林裡的墳墓	Find the grave at the Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하기
請發掘在破旗森林裡的墳墓。	Find the grave at the Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하세요.
消滅喀葛拉斯山崖的巨大怪物	Defeat the gigantic monster at Kaklas Cliff	카클라스 낭떠러지의 거대한 몬스터 처치
請消滅喀葛拉斯山崖的蘑菇型巨獸。	Defeat the gigantic mushroom-like monster at Kaklas Cliff	카클라스 낭떠러지의 버섯 모양의 거대 몬스터를 처치해 주세요.
消滅蘑菇沃特	Defeat Mushwort	머쉬워트 처치
尋找傳令	Find the Messenger	전령 찾기
尋找在哭泣位子的傳令	Find the Messenger at the Crying Place	우는 자리에서 전령 찾기
與暈倒的傳令對話	Talk with the Fallen Messenger	쓰러진 전령과 대화
消滅襲擊傳令的怪物群	Defeat the monsters who attacked the Messenger	전령을 습격한 몬스터 무리 처치
與王室調查團的史考特對話	Talk with Scott	왕실조사단 스캇과 대화
與王室調查團的優寇特對話	Talk with Royal Survey Corps Ukert	왕실조사단 유커트와 대화
消滅樹精	Defeat Woodspirits	우드스피릿 퇴치
與恐懼的貓頭鷹雕像對話	Talk to the Scared Owl Sculpture	두려운 부엉이 조각상과 대화
交給老實的貓頭鷹隊長	Give it to the Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상에게 전달
與老實的貓頭鷹隊長雕像對話	Talk with the Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상과 대화
交給意志的貓頭鷹雕像	Send the wing to the Devoted Owl Sculpture	의지의 부엉이 조각상에게 날개 전달
將翅膀碎片交給痛苦的貓頭鷹雕像	Hand the Wing Fragment to the Troubled Owl Sculpture	괴로운 부엉이 조각상에게 날개 조각 전달
向老實的貓頭鷹隊長雕像報告	Report to the Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상에게 보고
消滅攻擊貓頭鷹雕像的怪物	Defeat the monsters that are attacking the Owl Sculpture	부엉이 조각상을 공격하는 몬스터 처치
與偵查兵對話	Talk to the Patrolling Officer	순찰병과 대화
點燃營火	Light up the Bonfires	모닥불 켜기
與軍官皮爾利克斯對話	Talk to Commander Felix	장교 필릭스와 대화
與指揮官巴塞寧對話	Talk with the Commander Vacenin	지휘관 바세닌과 대화
請回到巴塞寧身邊告知他傳令沒事。	Return to Vacenin and tell him that the messenger is safe	바세닌에게 돌아가 전령이 무사하다는 사실을 알려주세요.
收集兩個靈魂石	Collect two spirit stones	두 영혼석을 수집
與墳墓看守人貓頭鷹雕像對話	Talk with the grave protecting owl	무덤지기 부엉이조각상과 대화
召喚墮落靈魂並消滅它	Summon the corrupted spirit and defeat it	타락한 영혼을 소환하여 처치
收集水母怪幼蟲	Collect Miduza Larvae	미듀쟈 유충 수집
請與有許多眷戀的護衛兵靈魂進行對話	Talk with the spirit of the escort soldier that has lots of regrets	미련많은 호위병 영혼과 대화하세요
請消滅在馬車附近的柯利樹樁怪	Defeat Colimenprus near the wagon	마차 주변 콜리스텀프를 처치하세요
消滅柯利樹樁怪	Defeat Collimenprus	콜리스텀프 처치
請與有許多眷戀的商人靈魂進行對話	Talk with the spirit of the merchant with many regrets	미련많은 상인 영혼과 대화하세요
尋找有許多眷戀的商人的包袱	Find the luggage of the merchant with many regrets	미련많은 상인의 짐 꾸러미 찾기
與有許多眷戀的學者靈魂對話	Talk with the spirit of the scholar with many regrets	미련많은 학자 영혼와 대화
回收被撕裂的卷軸	Retrieve the ripped order paper	찢겨진 주문서 회수
與迷路的女性探險家靈魂對話	Talk with the wandering adventurer's spirit	길 잃은 여류 탐험가 영혼과 대화
撰寫紀念碑的內容	Write down what's in the epitaph	추모비의 내용 적기
與迫切的貓頭鷹雕像對話	Talk with the desperate owl sculpture	절박한 부엉이 조각상과 대화
與軍官達扭斯對話	Talk to Officer Danus	장교 다뉴스와 대화
消滅對後防部隊虎視眈眈的怪物	Defeat the monsters that are attacking the Readguard Unit	후방부대를 노리는 몬스터 처치
與脆弱的貓頭鷹雕像對話	Talk to the Weak Owl Sculpture	약한 부엉이 조각상과 대화
收拾士兵們的遺骸	Collect the soldiers' corpses	병사들의 유해 수습
收集士兵們的遺物	Collect the soldiers' belongings	병사들의 유품 수집
士兵們的遺物	Soldiers' Belongings	병사들의 유품
收集蝴蝶香	Collect Butterfly Fragrance	나비향 수집
為可憐的靈魂祈禱	Prayer for the Regretful Souls	불쌍한 영혼을 위한 기도
舉行慰靈祭	Perform the Memorial Ceremony	위령제를 지내기
與悲傷的貓頭鷹雕像對話	Talk to the Sad Owl Sculpture	슬픈 부엉이 조각상과 대화
收集利迪梅得的葉片	Collect Ridimed Leaves	리디메디의 잎사귀 수집
利迪梅得的葉片	Ridimed Leaves	리디메드의 잎사귀
獲得南瓜精的腳根	Obtain Sakmoli Roots	사크몰리의 다리뿌리 획득
南瓜精的腳根	Sakmoli Roots	사크몰리의 다리뿌리
與害羞的貓頭鷹雕像對話	Talk to the Shy Owl Sculpture	부끄러운 부엉이 조각상과 대화
釋放被束縛的士兵的靈魂	Rescue the spirit of the restrained soldier	속박당한 병사 영혼 구출
與悲痛的貓頭鷹雕像對話	Talk to Sad Owl Sculpture	애절한 부엉이 조각상과 대화
說服迷路的靈魂	Persuade the souls that lost their way	길 잃은 영혼을 설득
消滅突然出現的灰色青苔泥人	Defeat the Gray Golem that suddenly appeared	갑자기 나타난  회색 골렘 처치
消滅突然出現的灰色青苔泥人後往前走	Advance to defeat the Gray Golem that suddenly appeared	갑자기 나타난  회색 골렘을 처치하여 나아갑시다.
消滅突然出現的灰色青苔泥人	Defeat the Gray Golem that suddenly appeared	갑자기 나타난 회색 골렘 처치
與軍官的靈魂對話	Talk to the Officer's Spirit	장교의 영혼과 대화
收集野蜘蛛的堅固木橋	Collect Legs of Solid Wood from Bushspiders	크루마보의 단단한 나무다리 수집
收集沙沙作響的外皮	Collect Kepa Skin that make rustling sounds	부스럭거리는 껍질 수집
獲得沙沙作響的外皮	Obtain Rustling Skin	부스럭거리는 껍질 획득
實驗魔族誘餌	Demon Decoy Experiment	마족 미끼 실험
收集艾倫的葉片	Collect Ellom Leaves	엘룸의 잎사귀 수집
艾倫的葉片	Ellom Leaves	엘룸의 잎사귀
在克洛比斯十字路使用誘餌後完成最後任務	Complete the last mission using the decoy at Grobis Crossroads	그로비스 사거리에서 미끼를 사용하여 마지막 임무 완수
在1分30秒內消滅10隻怪物	Defeat 10 monsters within 1 minute and 30 seconds	1분 30초동안 몬스터 10마리 처치
與偵查兵們對話	Talk with the Scouts	정찰병들과 대화
消滅鐵甲殭屍	Defeat Deadborn	데드본 처치
尋找達扭斯的偵查兵	Look for Danus' scouts 	다뉴스의 정찰병 찾기
與達扭斯的偵查兵對話	Talk to Danus' Scout	다뉴스의 정찰병과 대화
消滅大黃蜂	Defeat Bites	바이트 처치
尋找補給官	Look for the Supply Officer	보급관 찾기
與補給官對話	Talk to the Supply Officer	보급관과 대화
回收補給品	Retrieve the Supplies	보급품 회수
交給補給官	Hand it over to the Supply Officer	보급관에게 전달
將補給品交給軍官達扭斯	Hand over the supplies to Officer Danus	장교 다뉴스에게 보급품 전달
與士兵羅伊對話	Talk to Soldier Roy	병사 로이와 대화
收集普朗基的鉤子	Obtain a Puragi's Hook	푸라기의 갈고리 수집
交給士兵羅伊	Hand it over to Soldier Roy	병사 로이에게 전달
與上級軍官皮爾力巴斯對話	Talk to Senior Officer Philipas	선임장교 필리파스와 대화
消滅丘陵上的藍色大蘑菇精	Defeat a Big Blue Griba at the hills	언덕 위의 푸른 빅 그리바 처치
向皮爾力巴斯報告	Report to Philipas	필리파스에게 보고
尋找分隊長約翰	Look for Squad Commander Johan	분대장 요한 찾기
從周圍的怪物身上尋找報告書	Look for the report from the monsters nearby	주변 몬스터에게서 보고서 찾기
交給分隊長約翰	Give them to Squad Commander Johan	분대장 요한에게 전달
與分隊長約翰對話	Talk to Squad Commander Johan	분대장 요한과 대화
收拾分隊員的遺物	Collect the remains of a soldier	분대원의 유품 수습
交給分隊長約翰	Hand them over to Squad Commander Johan	분대장 요한에게 전해주기
追隨上級軍官皮爾力巴斯	Follow the Senior Officer Philipas	선임장교 필리파스 따라가기
上級軍官皮爾力巴斯的任務	Senior Officer Philipas' Mission	선임장교 필리파스의 임무
向上級軍官皮爾力巴斯報告	Report to Senior Officer Philipas	선임장교 필리파스에게 보고
發現一群小蘑菇精	Found a herd of small Gribas	작은 그리바 무리 발견
消滅狼人	Defeat Werewolf	웨어 울프 처치
為亡者祈福	Pray for his soul	명복 빌어 주기
在無名士兵的遺物前為亡者祈禱。	Pray for his soul in front of the belongings of the unknown soldier	무명 병사의 유물 앞에서 그의 명복을 빌어 주세요.
消滅王座大蜘蛛	Defeat Throneweaver	쓰론위버를 처치
請為了悲傷貓頭鷹消滅王座大蜘蛛。	Defeat Throneweaver for the Sad Owl	슬픈 부엉이를 위해 쓰론위버를 처치해 버립시다.
消滅王座大蜘蛛	Defeat Throneweaver	쓰론위버 처치
與士兵魯特爾巴斯對話	Talk with Soldier Rudolfas	병사 루돌파스와 대화
請與士兵魯特爾巴斯進行對話	Talk with Soldier Rudolfas	병사 루돌파스와 대화하세요
消滅突然出現的毛蟲獸	Defeat the Meleeches that suddenly appeared	갑자기 나타난 멜리치 처치
消滅造成妨礙的怪物	Defeat the interfering monsters	방해하는 몬스터 처치
與士兵阿斯巴斯對話	Talk to Soldier Aspas	병사 아스파스와 대화
消滅正攻擊過來的凱帕雷德	Defeat the Keparaiders that are attacking	공격해오는 케파레이더 처치
進入痛哭廣場	Enter the Square of Lamentation	통곡의 광장 진입
請進入痛哭廣場。	Enter the Square of Lamentation	통곡의 광장에 진입하세요
與王國軍蕾堤亞對話	Talk to Royal Army Guard Retia	왕국군 레티아와 대화
請與王國軍蕾堤亞對話。	Talk to Royal Army Guard Retia	왕국군 레티아와 대화하세요
痛哭廣場的王國軍蕾堤亞在等待某人的幫助。	Royal Army Guard Retia is waiting for someone's help at the Square of Lamentation	통곡의 광장의 왕국군 레티아가 누군가의 도움을 기다리고 있습니다
確認石化探測器	Examine the Petrification Detector	석화탐지기 확인
消除微弱的霜	Remove the weak Petrifying Frost	미약한 서리 제거
與盜墓者胡貝爾塔斯對話	Talk to Grave Robber Hubertas	도굴꾼 후베르타스와 대화
痛哭廣場的盜墓者胡貝爾塔斯正在等待某人的幫助。	Grave Robber Hubertas is waiting for someone's help at the Square of Lamentation	통곡의 광장의 도굴꾼 후베르타스가 누군가의 도움을 기다리고 있습니다
收集怪物的腳指甲	Collect monsters' toenails	몬스터의 발톱 수집
偷石化贓物	Steal Petrification Stolen Goods	석화 장물 훔치기
收集石化花	Collect Petrified Flower	석화된 꽃 수집
轉交刻有暗號的水瓶	Deliver the Cryptically Engraved Bottle	암호가 새겨진 물병 전달
與盜墓者班賈米那斯對話	Talk to Grave Robber Benjaminas	도굴꾼 벤자미나스와 대화
收集會發出香味的石粉	Collect Fragrant Stone Powder	향나는 돌가루 수집
沾染香氣石粉	Rub the Fragrant Stone Powder	향나는 돌가루 묻히기
消滅薩爾提斯托	Defeat Saltistter	살티스터 처치
與警備兵葛普坦對話	Talk to Guard Gofden	경비병 고프덴과 대화
破壞叛亂軍記錄物	Destroy the Rebel Army Records	반란군 기록물 파괴
